指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/about/statistics_and_research,,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,,
年次,2025/2取得,,,国立（高等学校のみ）,https://www.minkou.jp/hischool/search/pref=tokyo/c=2/,,,,
URL,右記参照,,,,,,,,
備考,（2019年度：498件、2020年度：733件、2021年度：716件、2022年度：711件、2023年度：716件、2024年度：723件）,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,国公私,カテゴリ,データ年次
新宿区,上落合２丁目,-,東京都新宿区上落合2-10-23,35.712926,139.689038,落合第二,公立,小学校,2024年5月1日
新宿区,西落合１丁目,-,東京都新宿区西落合1-12-20,35.720904,139.682438,落合第三,公立,小学校,2024年5月1日
新宿区,下落合２丁目,-,東京都新宿区下落合2-9-34,35.718310,139.700238,落合第四,公立,小学校,2024年5月1日
新宿区,上落合３丁目,-,東京都新宿区上落合3-1-6,35.714625,139.685793,落合第五,公立,小学校,2024年5月1日
新宿区,西落合４丁目,-,東京都新宿区西落合4-11-21,35.688205,139.717906,落合第六,公立,小学校,2024年5月1日
新宿区,北新宿３丁目,-,東京都新宿区北新宿3-17-1,35.701885,139.691537,淀橋第四,公立,小学校,2024年5月1日
新宿区,百人町４丁目,-,東京都新宿区百人町4-2-1,35.707913,139.698962,西戸山,公立,小学校,2024年5月1日
新宿区,新宿１丁目,-,東京都新宿区新宿1-22-1,35.689056,139.712207,花園,公立,小学校,2024年5月1日
新宿区,北新宿２丁目,-,東京都新宿区北新宿2-11-1,35.700299,139.690240,柏木,公立,小学校,2024年5月1日
新宿区,西新宿４丁目,-,東京都新宿区西新宿4-35-5,35.688429,139.685743,西新宿,公立,小学校,2024年5月1日
新宿区,四谷２丁目,-,東京都新宿区四谷2-6,35.686689,139.724858,四谷,公立,小学校,2024年5月1日
江東区,深川２丁目,-,東京都江東区深川2-17-26,35.676144,139.798167,明治,公立,小学校,2024年5月1日
江東区,高橋,-,東京都江東区高橋14-10,35.685922,139.799534,深川,公立,小学校,2024年5月1日
江東区,新大橋３丁目,-,東京都江東区新大橋3-1-15,35.686919,139.795576,八名川,公立,小学校,2024年5月1日
江東区,門前仲町１丁目,-,東京都江東区門前仲町1-1-6,35.672492,139.793208,臨海,公立,小学校,2024年5月1日
江東区,富岡１丁目,-,東京都江東区富岡1-18-7,35.672583,139.799676,数矢,公立,小学校,2024年5月1日
江東区,木場１丁目,-,東京都江東区木場1-2-2,35.667464,139.802643,平久,公立,小学校,2024年5月1日
江東区,東陽３丁目,-,東京都江東区東陽3-27-12,35.670743,139.815591,東陽,公立,小学校,2024年5月1日
江東区,千石２丁目,-,東京都江東区千石2-9-12,35.679650,139.817219,川南,公立,小学校,2024年5月1日
江東区,石島,-,東京都江東区石島18-5,35.681149,139.812300,扇橋,公立,小学校,2024年5月1日
江東区,白河４丁目,-,東京都江東区白河4-3-19,35.682218,139.808387,元加賀,公立,小学校,2024年5月1日
江東区,毛利２丁目,-,東京都江東区毛利2-2-2,35.691473,139.816427,毛利,公立,小学校,2024年5月1日
江東区,住吉１丁目,-,東京都江東区住吉1-12-2,35.688094,139.812473,東川,公立,小学校,2024年5月1日
江東区,豊洲４丁目,-,東京都江東区豊洲4-4-4,35.653819,139.797953,豊洲,公立,小学校,2024年5月1日
江東区,枝川３丁目,-,東京都江東区枝川3-5-3,35.659178,139.810263,枝川,公立,小学校,2024年5月1日
江東区,辰巳１丁目,-,東京都江東区辰巳1-11-1,35.646568,139.810655,辰巳,公立,小学校,2024年5月1日
江東区,亀戸２丁目,-,東京都江東区亀戸2-5-7,35.698800,139.821931,第一亀戸,公立,小学校,2024年5月1日
江東区,亀戸６丁目,-,東京都江東区亀戸6-36-1,35.694782,139.830331,第二亀戸,公立,小学校,2024年5月1日
江東区,亀戸４丁目,-,東京都江東区亀戸4-26-22,35.703667,139.826217,香取,公立,小学校,2024年5月1日
江東区,亀戸５丁目,-,東京都江東区亀戸5-22-22,35.700455,139.828238,水神,公立,小学校,2024年5月1日
江東区,大島２丁目,-,東京都江東区大島2-41-4,35.689820,139.825535,第一大島,公立,小学校,2024年5月1日
江東区,大島３丁目,-,東京都江東区大島3-16-2,35.689587,139.830123,第二大島,公立,小学校,2024年5月1日
江東区,大島９丁目,-,東京都江東区大島9-5-3,35.692400,139.844959,第三大島,公立,小学校,2024年5月1日
江東区,大島６丁目,-,東京都江東区大島6-7-8,35.691231,139.834026,第四大島,公立,小学校,2024年5月1日
江東区,大島８丁目,-,東京都江東区大島8-40-13,35.688208,139.844619,第五大島,公立,小学校,2024年5月1日
江東区,北砂４丁目,-,東京都江東区北砂4-13-23,35.677746,139.829402,砂町,公立,小学校,2024年5月1日
江東区,南砂６丁目,-,東京都江東区南砂6-3-13,35.672619,139.833290,第三砂町,公立,小学校,2024年5月1日
江東区,南砂２丁目,-,東京都江東区南砂2-13-18,35.675033,139.822047,第四砂町,公立,小学校,2024年5月1日
江東区,東砂８丁目,-,東京都江東区東砂8-11-5,35.667065,139.838881,第五砂町,公立,小学校,2024年5月1日
江東区,北砂６丁目,-,東京都江東区北砂6-26-6,35.681718,139.837577,第六砂町,公立,小学校,2024年5月1日
江東区,東砂３丁目,-,東京都江東区東砂3-21-5,35.678918,139.842400,第七砂町,公立,小学校,2024年5月1日
江東区,北砂５丁目,-,東京都江東区北砂5-22-10,35.681764,139.831507,小名木川,公立,小学校,2024年5月1日
江東区,辰巳１丁目,-,東京都江東区辰巳1-1-22,35.648369,139.808095,第二辰巳,公立,小学校,2024年5月1日
江東区,東砂２丁目,-,東京都江東区東砂2-12-14,35.683786,139.843984,東砂,公立,小学校,2024年5月1日
江東区,東陽２丁目,-,東京都江東区東陽2-1-20,35.668397,139.813882,南陽,公立,小学校,2024年5月1日
江東区,北砂１丁目,-,東京都江東区北砂1-3-36,35.683131,139.823474,北砂,公立,小学校,2024年5月1日
江東区,北砂５丁目,-,東京都江東区北砂5-20-16,35.684865,139.833625,亀高,公立,小学校,2024年5月1日
江東区,東雲２丁目,-,東京都江東区東雲2-4-11,35.642677,139.798932,東雲,公立,小学校,2024年5月1日
江東区,越中島３丁目,-,東京都江東区越中島3-6-38,35.665735,139.797014,越中島,公立,小学校,2024年5月1日
江東区,亀戸９丁目,-,東京都江東区亀戸9-22-4,35.698647,139.841890,浅間竪川,公立,小学校,2024年5月1日
江東区,東砂７丁目,-,東京都江東区東砂7-17-30,35.675259,139.838996,第二砂町,公立,小学校,2024年5月1日
江東区,南砂２丁目,-,東京都江東区南砂2-3-21,35.672135,139.824474,南砂,公立,小学校,2024年5月1日
