,,,,,,,
指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2025/2/20取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention_venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件、2021年度：199件、2022年度：202件、2023年度：198件、2024年度：167件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
新宿区,西新宿２丁目,-,新宿区西新宿2-6-1,35.69202,139.69246,新宿住友ホール・スカイルーム,https://www.bellesalle.co.jp/
新宿区,西新宿３丁目,-,新宿区西新宿3-7-1,35.68604,139.68993,パークタワーホール,http://www.ozone.co.jp/parktowerhall/
新宿区,西新宿２丁目,-,新宿区西新宿2-2-1,35.68999,139.69434,京王プラザホテル,https://www.keioplaza.co.jp/
新宿区,西新宿６丁目,-,新宿区西新宿6-6-2,35.69254,139.69113,ヒルトン東京,https://tokyo.hiltonjapan.co.jp/
新宿区,西新宿２丁目,-,新宿区西新宿2-7-2,35.69125,139.69138,ハイアットリージェンシー東京,http://www.hyattregencytokyo.com
新宿区,西新宿３丁目,-,新宿区西新宿3-7-1-2,35.68604,139.68993,パークハイアット東京,http://tokyo.park.hyatt.jp
新宿区,戸塚町１丁目,-,新宿区戸塚町1-104-19,35.71008,139.72224,リーガロイヤルホテル東京,https://www.rihga.co.jp/tokyo/
新宿区,大久保３丁目,-,新宿区大久保3-8-2,35.70868,139.70309,ベルサール高田馬場,https://www.bellesalle.co.jp/shisetsu/shinjuku/bs_takadanobaba/
新宿区,霞ケ丘町,-,新宿区霞ヶ丘町4-1,35.67445,139.71547,日本青年館ホール,http://nippon-seinenkan.or.jp/dai-hall/index.html
新宿区,西新宿６丁目,-,新宿区西新宿6-13-1,35.69297,139.68872,ベルサール新宿セントラルパーク,https://www.bellesalle.co.jp/shisetsu/shinjuku/bs_shinjuku/
新宿区,霞ケ丘町,-,新宿区霞ヶ丘町4-1,35.67445,139.71547,日本青年館ホテル,http://nippon-seinenkan.or.jp/
新宿区,西新宿２丁目,-,新宿区西新宿2-6-1,35.69202,139.69246,新宿住友ビル 三角広場,https://office-b.sumitomo-rd.co.jp/sankakuhiroba/
千代田区,丸の内３丁目,大丸有,千代田区丸の内3-5-1,35.67685,139.76387,東京国際フォーラム,https://www.t-i-forum.co.jp
千代田区,丸の内２丁目,大丸有,千代田区丸の内2-7-2,35.67908,139.76468,JPタワー ホール&カンファレンス,http://www.jptower-hall.jp
千代田区,有楽町２丁目,大丸有,千代田区有楽町2-10-1,35.67495,139.76436,東京交通会館,http://www.kotsukaikan.co.jp/
千代田区,有楽町２丁目,大丸有,千代田区有楽町2-5-1,35.67358,139.7628,有楽町朝日ホール,https://www.asahi-hall.jp/
千代田区,内幸町２丁目,-,千代田区内幸町2-1-1,35.67111,139.75316,イイノホール&カンファレンスセンター,http://www.iino.co.jp/hall/
千代田区,丸の内２丁目,大丸有,千代田区丸の内2-4-1,35.68105,139.76379,丸ビルホール&コンファレンススクエア,https://www.marunouchi-h-c.jp/
千代田区,日比谷公園,-,千代田区日比谷公園1-3,35.67276,139.75409,日比谷公会堂,http://www.hibiya-kokaido.com
千代田区,有楽町１丁目,大丸有,千代田区有楽町1-11-1,35.67539,139.76288,有楽町よみうりホール,https://yomi-h.jp/
千代田区,内幸町１丁目,-,千代田区内幸町1-1-1,35.67138,139.75806,帝国ホテル東京,http://www.imperialhotel.co.jp
千代田区,丸の内１丁目,大丸有,千代田区丸の内1-1-1,35.68456,139.76176,パレスホテル東京,http://www.palacehoteltokyo.com/
千代田区,丸の内１丁目,大丸有,千代田区丸の内1-9-1,35.68125,139.76724,東京ステーションホテル,http://www.tokyostationhotel.jp/
千代田区,有楽町１丁目,大丸有,千代田区有楽町1-8-1,35.6747,139.76044,ザ・ペニンシュラ東京,https://www.peninsula.com/ja/tokyo/
千代田区,大手町１丁目,大丸有,千代田区大手町1-3-2,35.69013,139.76237,経団連会館カンファレンス,http://www.keidanren-kaikan.jp/
千代田区,一ツ橋２丁目,-,千代田区一ツ橋2-6-2,35.69425,139.75655,日本教育会館,http://www.jec.or.jp
千代田区,一ツ橋２丁目,-,千代田区一ツ橋2-1-1,35.69233,139.75815,如水会館,http://www.kaikan.co.jp/josui
千代田区,大手町１丁目,大丸有,千代田区大手町1-7-2,35.68707,139.76505,大手町サンケイプラザ,http://www.s-plaza.com
千代田区,大手町２丁目,大丸有,千代田区大手町2-6-1,35.68487,139.76945,大手町サンスカイルーム,http://www.sunskyroom.jp
千代田区,丸の内１丁目,大丸有,千代田区丸の内1-7-12,35.6835,139.76794,ステーションコンファレンス東京,https://www.tstc.jp/tokyo/
千代田区,丸の内１丁目,大丸有,千代田区丸の内1-8-1,35.68267,139.76956,トラストシティ カンファレンス・丸の内,http://www.mori-trust.co.jp/tcc-m/
千代田区,丸の内１丁目,大丸有,千代田区丸の内1-8-3,35.68267,139.76956,シャングリ・ラ ホテル 東京,http://www.shangri-la.com
千代田区,大手町１丁目,大丸有,千代田区大手町1-4-1,35.69045,139.76003,KKRホテル東京,http://www.kkr-hotel-tokyo.gr.jp
千代田区,大手町１丁目,大丸有,千代田区大手町1-3-7,35.69013,139.76237,日経ホール＆カンファレンスルーム,http://www.nikkei-hall.com/
