指標名,薬局,,,,,,,
出典,病院なび,,,,,,,
年次,2025/3/6取得,,,,,,,
URL,https://byoinnavi.jp/,,,,,,,
備考,"（2020年度：1,315件、2021年度：1,321件、2022年度：1,323件、2023年度：1,310件、2024年度：1,336件）",,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,URL
中央区,京橋２丁目,日八京,東京都中央区京橋二丁目5番21号 京橋NSビル1階,35.67644,139.77014,クオール薬局 京橋店,薬局,-
中央区,勝どき２丁目,-,東京都中央区勝どき二丁目11番10号,35.65856,139.77698,アピス薬局 勝どき店,薬局,-
中央区,京橋３丁目,日八京,東京都中央区京橋三丁目1番1号 東京スクエアガーデン地下1階,35.67606,139.76888,ウエルシア薬局 東京スクエアガーデン店,薬局,-
中央区,銀座５丁目,-,東京都中央区銀座五丁目8番9号 BINO GINZA 1階,35.67015,139.76461,薬局マツモトキヨシ 銀座みゆきAve.店,薬局,-
中央区,月島１丁目,-,東京都中央区月島一丁目5番2号 キャピタルゲートプレイス109,35.65958,139.69873,ぱぱす薬局 月島1丁目店,薬局,-
中央区,銀座３丁目,-,東京都中央区銀座三丁目12番11号 第2タチバナ銀座ビル1階,35.67024,139.76871,ぱぱす薬局 銀座木挽町店,薬局,-
中央区,勝どき４丁目,-,東京都中央区勝どき四丁目2番14号 1階,35.65797,139.77621,日本調剤 勝どき薬局,薬局,-
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町二丁目2番3号 アライヴ人形町1階,35.68473,139.78404,セイムス調剤薬局 人形町店,薬局,-
中央区,勝どき４丁目,-,東京都中央区勝どき四丁目8番5号 アクティ東仲通り1階,35.65684,139.77586,パンダ薬局 勝どき店,薬局,-
中央区,晴海１丁目,-,東京都中央区晴海一丁目8番16号 晴海トリトン2階,35.65737,139.78278,薬局トモズ 晴海トリトン店,薬局,-
中央区,明石町,-,東京都中央区明石町7番15号 ぱぱす明石町ビル1階,35.66768,139.77870,ぱぱす薬局 明石町店,薬局,-
中央区,銀座３丁目,-,東京都中央区銀座三丁目9番5号 伊勢半ビル1階,35.67166,139.76795,りんご薬局,薬局,-
中央区,築地３丁目,-,東京都中央区築地三丁目4番7号 銀鱗ビル1階,35.66835,139.77360,日生薬局 築地店,薬局,-
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町二丁目9番7号 未来堂ビル1階,35.68606,139.78404,テトラ薬局 人形町2丁目店,薬局,-
中央区,月島１丁目,-,東京都中央区月島一丁目13番6号 ウェルネス月島1階,35.66532,139.78271,アイン薬局 月島店,薬局,-
中央区,日本橋久松町,-,東京都中央区日本橋久松町1番2号 4階,35.68874,139.78392,日本橋休日応急薬局,薬局,-
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町10番18号 パシフィックマークス1階,35.68943,139.78202,サンローズ薬局 日本橋店,薬局,-
中央区,新川１丁目,-,東京都中央区新川一丁目17番25号 東茅場町有楽ビル1階,35.67851,139.78339,スギ薬局 新川一丁目店,薬局,-
中央区,銀座４丁目,-,東京都中央区銀座四丁目12番15号 歌舞伎座タワー16階,35.66960,139.76807,日本調剤 歌舞伎座タワー薬局,薬局,-
中央区,佃２丁目,-,東京都中央区佃二丁目17番8号,35.66485,139.78493,中央区休日応急薬局,薬局,-
中央区,東日本橋２丁目,-,東京都中央区東日本橋二丁目16番8号,35.69451,139.78565,玉置薬局,薬局,-
中央区,日本橋室町４丁目,日八京,東京都中央区日本橋室町四丁目1番6号 クアトロ室町ビル1階,35.68919,139.77148,アイ調剤薬局,薬局,-
中央区,八丁堀３丁目,-,東京都中央区八丁堀三丁目20番1号 共伸ビル1階,35.67544,139.77686,テトラ薬局 八丁堀店,薬局,-
中央区,佃２丁目,-,東京都中央区佃二丁目1番6号 リバーシティM-SQUARE1階,35.66951,139.78559,薬局マツモトキヨシ matsukiyoLAB 佃二丁目店,薬局,-
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町4番5号 キスワイヤビル1階,35.69025,139.77869,ハッピー薬局,薬局,-
中央区,日本橋久松町,-,東京都中央区日本橋久松町10番4号 ソフィア日本橋1階,35.68936,139.78475,アイファ薬局 日本橋久松町店,薬局,-
