指標名,ミシュラン掲載レストラン,,,,,,,3つ星,特別な料理,
中央区,銀座４丁目,-,中央区銀座 4-5-5,35.67190,139.76538,銀座 レカン／Ginza L’écrin,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-l-ecrin
中央区,銀座６丁目,-,中央区銀座 6-7-15 B1F,35.67042,139.76242,つるとかめ／Tsurutokame,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tsurutokame
江東区,白河１丁目,-,江東区白河 1-3-6,35.68153,139.79945,エマン／eman,スペイン料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/eman
港区,愛宕２丁目,虎ノ門,港区愛宕 2-3-1 フォレストタワー 2F,35.66372,139.74895,醍醐／Daigo,精進料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/daigo
港区,麻布台３丁目,-,港区麻布台 3-4-11,35.66056,139.73896,シリーズ／Series,中国料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/series
中央区,銀座７丁目,-,中央区銀座 7-6-5 2F,35.66974,139.76197,銀座 安達直人／Ginza Adachi Naoto,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-adachi-naoto
港区,赤坂９丁目,六本木,港区赤坂 9-7-1 ザ・リッツ・カールトン東京 45F,35.66629,139.73128,エリタージュ バイ ケイ コバヤシ／Héritage by Kei Kobayashi,"フランス料理, 現代風フランス料理",1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/heritage-by-kei-kobayashi
港区,虎ノ門１丁目,虎ノ門,港区虎ノ門 1-11-5 B1F,35.66882,139.75030,シャルキュ／CHARCUT,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/charcut
港区,白金台５丁目,-,港区白金台 5-17-9 B1F,35.63747,139.72323,天ぷら 銀屋／Tempura Ginya,天ぷら,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-ginya
渋谷区,神宮前２丁目,-,渋谷区神宮前 2-3-18,35.67319,139.71276,傳／Den,日本料理,2つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/den
品川区,小山３丁目,-,品川区小山 3-22-7,35.61882,139.70636,もち豚とんかつ たいよう／Mochibuta Tonkatsu Taiyo,とんかつ,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/mochibuta-tonkatsu-taiyo
中央区,銀座７丁目,-,中央区銀座 7-3-8 5F,35.67024,139.76047,鮨 こじま／Sushi Kojima,寿司,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-kojima
新宿区,荒木町,-,新宿区荒木町 16,35.69158,139.72462,曙橋 かず／Akebonobashi Kazu,日本料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/akebonobashi-kazu
港区,麻布十番３丁目,-,港区麻布十番 3-7-5,35.65353,139.73498,麻布十番 ふくだ／Azabujuban Fukuda,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/azabujuban-fukuda
新宿区,高田馬場２丁目,-,新宿区高田馬場 2-13-9,35.71290,139.70752,とんかつ ひなた／Tonkatsu Hinata,とんかつ,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tonkatsu-hinata
千代田区,内幸町１丁目,-,千代田区内幸町 1-1-1 帝国ホテル東京 本館 MF,35.67245,139.75790,レ セゾン／Les Saisons,フランス料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/les-saisons-1194250
港区,東麻布３丁目,-,港区東麻布 3-7-5,35.65627,139.73853,中国飯店 富麗華／Chugoku Hanten Fureika,中国料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/chugoku-hanten-fureika
中央区,日本橋浜町３丁目,-,中央区日本橋浜町 3-7-3,35.68409,139.78830,浜町 かねこ／Hamacho Kaneko,蕎麦,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hamacho-kaneko
渋谷区,恵比寿１丁目,-,渋谷区恵比寿 1-23-10 3F,35.64612,139.71593,御料理 一穂／Oryori Ichiho,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/oryori-ichiho
港区,南青山２丁目,-,港区南青山 2-11-11,35.67125,139.72097,鮨 龍次郎／Sushi Ryujiro,寿司,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-ryujiro
新宿区,神楽坂４丁目,-,新宿区神楽坂 4-3-11 2F,35.70198,139.74005,ふしきの／FUSHIKINO,日本料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/fushikino
港区,北青山２丁目,-,港区北青山 2-9-9 7F,35.67139,139.71672,鮨 将司／Sushi Masashi,寿司,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-masashi
港区,白金台５丁目,-,港区白金台 5-17-10,35.63754,139.72318,アルシミスト／Alchimiste,"フランス料理, 現代風料理",1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/alchimiste
港区,西麻布３丁目,-,港区西麻布 3-24-9 B1F,35.65888,139.72426,リストランテ アルポルト／RISTORANTE Al Porto,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ristorante-al-porto
港区,赤坂６丁目,赤坂,港区赤坂 6-4-15,35.67027,139.73437,コム・ア・ラ・メゾン／COMME À LA MAISON,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/comme-a-la-maison
渋谷区,代々木５丁目,-,渋谷区代々木 5-55-7,35.67771,139.69222,ロス レイエス マーゴス／Los Reyes Magos,スペイン料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/los-reyes-magos
港区,白金台４丁目,-,港区白金台 4-9-23 B1F,35.63841,139.72338,ラリューム／L'allium,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-allium
港区,南麻布４丁目,-,港区南麻布 4-12-4,35.64748,139.72440,日日の料理 びおら／Hibinoryori Viola,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hibinoryori-viola
千代田区,有楽町１丁目,大丸有,千代田区有楽町 1-9-4 B1F,35.67512,139.76097,アピシウス／APICIUS,フランス料理,-,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/apicius-1209867
千代田区,六番町,-,千代田区六番町 4-3,35.68916,139.73525,ティン ガナ／Tinc gana,"スペイン料理, 現代風料理",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tinc-gana
新宿区,神楽坂２丁目,-,新宿区神楽坂 2-22,35.70024,139.74126,一宇／Ichiu,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ichiu
港区,南青山１丁目,-,港区南青山 1-23-12,35.66665,139.72502,乃木坂 結／Nogizaka yui,中国料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nogizaka-yui
港区,白金台３丁目,-,港区白金台 3-18-4 2F,35.63526,139.72085,クロデグルメ／Clos Des Gourmets,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/clos-des-gourmets
中央区,銀座５丁目,-,中央区銀座 5-4-8 4F,35.67143,139.76303,銀座 小十／Ginza Kojyu,日本料理,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-koju
中央区,銀座５丁目,-,中央区銀座 5-4-8 B1F,35.67143,139.76303,銀座 奥田／GINZA OKUDA,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-okuda
渋谷区,富ヶ谷１丁目,-,渋谷区富ヶ谷 1-44-2,35.66847,139.68986,パス／PATH,"フランス料理, 現代風料理",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/path
渋谷区,広尾５丁目,-,渋谷区広尾 5-19-7,35.64903,139.72018,ポンテ デル ピアット／PONTE DEL PIATTO,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ponte-del-piatto
新宿区,若宮町,-,新宿区若宮町 35-4,35.69929,139.73841,懐石 小室／Kaiseki Komuro,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kaiseki-komuro
江東区,清澄２丁目,-,江東区清澄 2-15-4,35.68325,139.79671,清澄 たか原／Kiyosumi Takahara,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kiyosumi-takahara
中央区,銀座８丁目,-,中央区銀座 8-2-10,35.66938,139.75951,鮨 こばやし／Sushi Kobayashi,寿司,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-kobayashi
中央区,日本橋人形町２丁目,-,中央区日本橋人形町 2-10-11 6F,35.68564,139.78405,江戸前 晋作／Edomae Shinsaku,天ぷら,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/edomae-shinsaku
中央区,銀座１丁目,-,中央区銀座 1-14-6 7F,35.67303,139.76978,おにく 花柳／Oniku Karyu,牛肉料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/oniku-karyu
中央区,築地２丁目,-,中央区築地 2-14-2,35.66772,139.77058,天麩羅 なかがわ／Tempura Nakagawa,天ぷら,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-nakagawa
中央区,新富２丁目,-,中央区新富 2-7-4,35.67087,139.77371,新富町 湯浅／Shintomicho Yuasa,中国料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shintomicho-yuasa
港区,南青山２丁目,-,港区南青山 2-27-18 パサージュ青山 2F,35.66914,139.71668,リストランテ アクアパッツァ／Ristorante ACQUA PAZZA,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ristorante-acqua-pazza
港区,東麻布１丁目,-,港区東麻布 1-20-3,35.65578,139.74330,クローニー／Crony,"フランス料理, 現代風料理",2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/crony-1194937
港区,南青山４丁目,-,港区南青山 4-11-2,35.66604,139.71810,伯雲／Hakuun,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hakuun
港区,六本木６丁目,六本木,港区六本木 6-10-1 六本木ヒルズ ヒルサイド 2F,35.66053,139.72997,ラトリエ ドゥ ジョエル・ロブション／L'ATELIER de Joël Robuchon,"フランス料理, 現代風料理",1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-atelier-de-joel-robuchon-1194216
港区,六本木６丁目,六本木,港区六本木 6-12-2 六本木ヒルズ レジデンス B棟 3F,35.65860,139.72921,すきやばし 次郎 六本木店／Sukiyabashi Jiro Roppongiten,寿司,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sukiyabashi-jiro-roppongiten
渋谷区,東３丁目,-,渋谷区東 3-15-8,35.65026,139.70960,ビストロエビス／Bistro YEBISU,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/bistro-yebisu
渋谷区,西原３丁目,-,渋谷区西原 3-2-3,35.67045,139.68251,ジーテン／jeeten,中国料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jeeten
中央区,築地３丁目,-,中央区築地 3-7-2 2F,35.66792,139.77375,櫻木／Sakuragi,日本料理,-,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sakuragi
渋谷区,千駄ケ谷３丁目,-,渋谷区千駄ヶ谷 3-7-13 B1F,35.67690,139.70433,シンシア／Sincère,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sincere
新宿区,荒木町,-,新宿区荒木町 9-15,35.69025,139.72217,御料理 ほりうち／Oryori Horiuchi,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/oryori-horiuchi
中央区,日本橋２丁目,日八京,中央区日本橋 2-10-11 2F,35.68098,139.77461,焼鳥 髙はし／Yakitori Takahashi,焼鳥,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yakitori-takahashi
中央区,銀座１丁目,-,中央区銀座 1-3-3,35.67532,139.76655,エシカ／ETHICA,メキシコ料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ethica
港区,南青山４丁目,-,港区南青山 4-16-3,35.66584,139.71717,ラス／L'AS,"フランス料理, 現代風料理",ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-as
中央区,築地３丁目,-,中央区築地 3-7-2 ,35.66792,139.77375,鮨処 やまと／Sushidokoro Yamato,寿司,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushidokoro-yamato
港区,南青山２丁目,-,港区南青山 2-27-16 B1F,35.66859,139.71699,マルカ／malca,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/malca
中央区,銀座７丁目,-,中央区銀座 7-8-17 11F,35.66928,139.76241,エスプリ セー ケイ ギンザ／ESPRIT C. KEI GINZA,"フランス料理, 現代風料理",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/esprit-c-kei-ginza
中央区,銀座６丁目,-,中央区銀座 6-12-2,35.66929,139.76490,ヌガ／Le Nougat,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-nougat
港区,南青山１丁目,-,港区南青山 1-21-9,35.66717,139.72473,ハルカ ムロオカ／Haruka Murooka,クリエイティブ,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/haruka-murooka
港区,虎ノ門３丁目,虎ノ門,港区虎ノ門 3-22-7,35.66152,139.74756,ジャジューカ／joujouka,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/joujouka
港区,虎ノ門２丁目,虎ノ門,港区虎ノ門 2-6-2 虎ノ門ヒルズステーションタワー 49F,35.66733,139.74731,ケイ コレクション パリ／KEI Collection PARIS,"フランス料理, 現代風料理",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kei-collection-paris
港区,南青山１丁目,-,港区南青山 1-2-6,35.67222,139.72551,トラットリア シチリアーナ・ドンチッチョ／TRATTORIA SICILIANA Don Ciccio,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/trattoria-siciliana-don-ciccio
新宿区,四谷４丁目,-,新宿区四谷 4-25-10,35.68910,139.71545,ラーメン マツイ／RAMEN MATSUI,ラーメン,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ramen-matsui
中央区,銀座７丁目,-,中央区銀座 7-3-6 10F,35.67036,139.76065,銀座 呑小路 やま岸／Ginza Nominokoji Yamagishi,居酒屋,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-nominokoji-yamagishi
港区,芝２丁目,-,港区芝 2-18-9,35.65154,139.75070,佐野鮨／Sanosushi,寿司,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sanosushi
渋谷区,広尾５丁目,-,渋谷区広尾 5-17-4,35.64977,139.72039,鮨 ゆうき／Sushi Yuki,寿司,-,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-yuki-1213818
渋谷区,恵比寿１丁目,-,渋谷区恵比寿 1-26-17 2F,35.64721,139.71563,アベス／ABBESSES,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/abbesses
新宿区,神楽坂３丁目,-,新宿区神楽坂 3-1 5F,35.70198,139.74098,てんぷら 拓／Tempura Taku,天ぷら,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-taku
港区,西麻布４丁目,-,港区西麻布 4-2-6,35.65830,139.72337,マルゴット・エ・バッチャーレ／Margotto e Baciare,現代風料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/margotto-e-baciare
港区,三田４丁目,-,港区三田 4-1-4,35.64775,139.74142,鮨 三か田／Sushi Mikata,寿司,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-mikata
渋谷区,本町１丁目,-,渋谷区本町 1-28-8,35.68019,139.68017,ユヌ イメルシオン／UNE IMMERSION,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/une-immersion
渋谷区,恵比寿南１丁目,-,渋谷区恵比寿南 1-17-17 4F,35.64479,139.71041,匠 鮨 おわな／Takumi Sushi Owana,寿司,-,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/takumi-sushi-owana
千代田区,内幸町１丁目,-,千代田区内幸町 1-1-1 帝国ホテル東京 本館 B1F,35.67245,139.75790,寅黒／Torakuro,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/torakuro
千代田区,丸の内３丁目,大丸有,千代田区丸の内 3-2-3 二重橋スクエア 2F,35.67781,139.76134,ヤウメイ／YAUMAY,"中国料理, 飲茶",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yaumay
港区,元麻布３丁目,-,港区元麻布 3-12-41,35.65634,139.73180,一平飯店／Ippei Hanten,中国料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ippei-hanten
港区,南青山６丁目,-,港区南青山 6-15-4 B1F,35.65945,139.71415,ネモ／NéMo,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nemo
港区,元麻布３丁目,-,港区元麻布 3-12-4 2F,35.65611,139.73249,焼鳥 ひなた／Yakitori Hinata,焼鳥,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yakitori-hinata
渋谷区,恵比寿１丁目,-,渋谷区恵比寿 1-24-10,35.64666,139.71546,イル バロンドーロ／IL BALLOND'ORO,イタリア料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/il-ballond-oro
渋谷区,神宮前３丁目,-,渋谷区神宮前 3-1-28 B1F,35.66989,139.71429,青山 おとと／Aoyama Ototo,日本料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/aoyama-ototo
渋谷区,代々木４丁目,-,渋谷区代々木 4-6-2 B1F,35.67835,139.69295,レガーロ／Regalo,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/regalo
港区,西麻布４丁目,-,港区西麻布 4-9-11,35.65702,139.72212,白寧／hakunei,現代風料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hakunei
港区,赤坂６丁目,赤坂,港区赤坂 6-19-46,35.66773,139.73341,鮨 みうら／Sushi Miura,寿司,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-miura
港区,東麻布２丁目,-,港区東麻布 2-26-16,35.65653,139.73995,ラ・リューン／La Lune,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-lune-1210250
江東区,富岡１丁目,-,江東区富岡 1-2-9,35.67113,139.79622,渡辺料理店／Watanabe Ryouri-mise,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/watanabe-ryouri-mise
新宿区,神楽坂２丁目,-,新宿区神楽坂 2-11-7 2F,35.70124,139.74194,ジェフリー／Jfree,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jfree
中央区,銀座３丁目,-,中央区銀座 3-14-2,35.67055,139.77015,中華そば 銀座 八五／Chukasoba Ginza Hachigou,ラーメン,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/chukasoba-ginza-hachigo
新宿区,岩戸町,-,新宿区岩戸町 19,35.70150,139.73767,和しょく えびはら／Washoku Ebihara,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/washoku-ebihara
港区,西麻布１丁目,-,港区西麻布 1-4-23 ,35.66152,139.72392,メラキ／Merachi,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/merachi
港区,赤坂８丁目,赤坂,港区赤坂 8-13-19 B1F,35.66971,139.73060,タンモア／Le temps moelleux,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-temps-moelleux
港区,白金台５丁目,-,港区白金台 5-18-17 2F,35.63714,139.72336,ジョンティ アッシュ／gentil H,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/gentil-h
中央区,銀座４丁目,-,中央区銀座 4-12-1 4F,35.67020,139.76797,銀座 四代目 髙橋屋／Ginza Yondaime TAKAHASHIYA,うなぎ,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-yondaime-takahashiya
千代田区,丸の内１丁目,大丸有,千代田区丸の内 1-1-1 パレスホテル東京 5F,35.68450,139.76123,中国飯店 琥珀宮／Chugoku Hanten Kohakukyu (Amber Palace),中国料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/chugoku-hanten-kohakukyu-amber-palace
中央区,新富１丁目,-,中央区新富 1-15-11,35.67237,139.77504,鮨 美幸／Sushi Miyuki,寿司,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-miyuki
中央区,京橋２丁目,日八京,中央区京橋 2-12-12,35.67601,139.77150,サカキ／SAKAKI,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sakaki
中央区,銀座２丁目,-,中央区銀座 2-10-11 3F,35.67208,139.76829,銀座 きた川／Ginza Kitagawa,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-kitagawa
港区,麻布十番２丁目,-,港区麻布十番 2-7-14,35.65589,139.73342,クラージュ／Courage,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/courage
港区,赤坂８丁目,赤坂,港区赤坂 8-12-12,35.67007,139.73002,フィレモネ／Filemone,イタリア料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/filemone
渋谷区,猿楽町,-,渋谷区猿楽町 2-5 B1F,35.65299,139.70483,代官山 いっさい喝采／Daikanyama Issai Kassai,居酒屋,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/daikanyama-issai-kassai
港区,白金１丁目,-,港区白金 1-25-32 2F,35.64456,139.73160,アルチェッポ／AlCeppo,イタリア料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/alceppo
渋谷区,代々木５丁目,-,渋谷区代々木 5-9-9,35.67101,139.68801,礼讃／Raisan,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/raisan
中央区,銀座５丁目,-,中央区銀座 5-6-7 9F,35.67099,139.76386,アマラントス／amarantos,"フランス料理, 現代風料理",1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/amarantos
千代田区,丸の内３丁目,大丸有,千代田区丸の内 3-2-1 東京會舘 2F,35.67778,139.76134,プルニエ／PRUNIER,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/prunier-1200289
新宿区,荒木町,-,新宿区荒木町 2-9,35.68857,139.72236,の弥七／Noyashichi,中国料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/noyashichi
港区,南青山２丁目,-,港区南青山 2-6-15,35.67156,139.72189,ナリサワ／NARISAWA,イノベーティブ,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/narisawa
中央区,銀座５丁目,-,中央区銀座 5-10-11,35.66981,139.76544,能登 金沢の幸 銀座 ふる田／Noto Kanazawanosachi Ginza Furuta,日本料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/noto-kanazawanosachi-ginza-furuta
中央区,日本橋富沢町,-,中央区日本橋富沢町 16-3,35.68807,139.78440,ヤマト／YAMATO,居酒屋,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yamato-1194199
港区,麻布十番２丁目,-,港区麻布十番 2-4-8 2F,35.65582,139.73483,プリンチピオ／Principio,イタリア料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/principio
中央区,湊３丁目,-,中央区湊 3-5-10,35.66965,139.77822,旬恵庵 あら垣／Shunkeian Arakaki,天ぷら,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shunkeian-arakaki
港区,西麻布２丁目,-,港区西麻布 2-11-5,35.66133,139.72227,西麻布 拓／Nishiazabu Taku,寿司,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nishiazabu-taku
港区,南青山６丁目,-,港区南青山 6-8-18,35.66019,139.71641,ローブリュー／LAUBURU,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/lauburu
港区,西麻布３丁目,-,港区西麻布 3-8-6,35.65474,139.72610,蕎麦 たじま／Soba Tajima,蕎麦,ビブグルマン,¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/soba-tajima
千代田区,九段南４丁目,-,千代田区九段南 4-1-10,35.69154,139.74106,シェ オリビエ／Chez Olivier,"フランス料理, 現代風料理",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/chez-olivier
中央区,銀座２丁目,-,中央区銀座 2-8-17 B1F,35.67294,139.76782,銀座 しのはら／Ginza Shinohara,日本料理,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-shinohara
中央区,日本橋室町２丁目,日八京,中央区日本橋室町 2-1-1 マンダリン オリエンタル 東京 37F,35.68705,139.77306,シグネチャー／SIGNATURE,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/signature-1193960
