指標名,ミシュラン掲載レストラン,,,,,,,3つ星,特別な料理,
港区,赤坂５丁目,赤坂,港区赤坂 5-3-1 赤坂Bizタワー 2F,35.67305,139.73628,広東名菜 赤坂璃宮／Canton Meisai Akasaka Rikyu,中国料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/canton-meisai-akasaka-rikyu
新宿区,舟町,-,新宿区舟町 15,35.69182,139.72153,すし処 志げる／Sushidokoro Shigeru,寿司,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushidokoro-shigeru
港区,西麻布３丁目,-,港区西麻布 3-2-34 B1F,35.65944,139.72671,明寂／Myojaku,日本料理,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/myojaku
港区,西新橋２丁目,虎ノ門広域,港区西新橋 2-13-6,35.66683,139.75160,港式料理 鴻禧／Koshikiryori Koki,中国料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/koshikiryori-koki
中央区,銀座７丁目,-,中央区銀座 7-16-21,35.66714,139.76564,トワヴィサージュ／TROIS VISAGES,"フランス料理, 現代風料理",1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/trois-visages
渋谷区,広尾５丁目,-,渋谷区広尾 5-19-1,35.64899,139.71946,飄香／Piao-Xiang,中国料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/piao-xiang
渋谷区,広尾５丁目,-,渋谷区広尾 5-19-1 2F,35.64899,139.71946,広尾 石阪／Hiroo Ishizaka,寿司,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hiroo-ishizaka
新宿区,荒木町,-,新宿区荒木町 6-39,35.68924,139.72261,車力門 おの澤／Sharikimon Onozawa,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sharikimon-onozawa
千代田区,有楽町１丁目,大丸有,千代田区有楽町 1-8-1 ザ・ペニンシュラ東京 2F,35.67476,139.76047,ヘイフンテラス／Hei Fung Terrace,中国料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hei-fung-terrace
港区,麻布十番２丁目,-,港区麻布十番 2-7-2,35.65594,139.73356,麻布 かどわき／Azabu Kadowaki,日本料理,3つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/azabu-kadowaki
渋谷区,神宮前３丁目,-,渋谷区神宮前 3-1-25,35.66988,139.71387,ジュリア／JULIA,現代風料理,-,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/julia-1209244
港区,白金１丁目,-,港区白金 1-1-12,35.64698,139.73183,ロッツォ シチリア／ROZZO SICILIA,イタリア料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/rozzo-sicilia
渋谷区,恵比寿南１丁目,-,渋谷区恵比寿南 1-17-16 2F,35.64466,139.71029,すしさとる／Sushi Satoru,寿司,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-satoru
