指標名,ホテル,,,,,,,,,
出典,Rakuten API,,,,,,,,,
年次,2024/12/10取得,,,,,,,,,
URL,https://app.rakuten.co.jp/services/api/Travel/SimpleHotelSearch/20170426,,,,,,,,,
備考,(2022年度：1721件、2023年度：1099.0件、2024年度：1124件),,,,,,,,,
,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,レビュー数,室数,ホテルURL
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1,35.6870475,139.7730634,マンダリン　オリエンタル　東京,4,23,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184009
中央区,銀座２丁目,-,東京都中央区銀座2-11-6,35.67250809,139.7690989,ザ・スクエアホテル銀座,4.31,227,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168198
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-2-1,35.67262343,139.7597391,レム日比谷,4.26,2526,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=68107
千代田区,鍛冶町１丁目,-,東京都千代田区鍛冶町1-9-15,35.69065329,139.7733093,ホテルＳＵＩ神田ｂｙＡＢＥＳＴ,4.03,688,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168314
江東区,南砂７丁目,-,東京都江東区南砂7-10‐14,35.66899922,139.8348482,Ｌ　ｓｔａｙ＆ｇｒｏｗ南砂町,4.32,327,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181376
中央区,日本橋馬喰町１丁目,-,東京都中央区日本橋馬喰町1-10-11,35.69414664,139.7829168,コンフォートホテル東京東日本橋,3.89,6418,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=70295
中央区,京橋１丁目,日八京,東京都中央区京橋1-3-6,35.67841442,139.7708002,三井ガーデンホテル京橋,3.91,760,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=151505
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町2-13-5,35.67905381,139.7799038,スマイルホテル東京日本橋,3.88,3285,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=958
中央区,日本橋小網町４丁目,-,東京都中央区日本橋小網町4-6,35.6819841,139.7821674,アルモントイン東京日本橋,4.25,3042,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1835
江東区,東陽２丁目,-,東京都江東区東陽2-3-12,35.66784218,139.8169011,ホテルルートインＧｒａｎｄ東京東陽町,4.43,1261,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=16727
中央区,日本橋本町４丁目,日八京,東京都中央区日本橋本町4-7-9,35.68998856,139.7752121,東急ステイ日本橋,3.84,1917,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=40568
中央区,八丁堀２丁目,-,東京都中央区八丁堀2-26-3,35.6756382,139.7781749,アパホテル〈八丁堀駅前〉（全室禁煙）,4.25,119,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=188020
中央区,銀座５丁目,-,東京都中央区銀座5-11-1,35.66987932,139.7661224,ミレニアム三井ガーデンホテル東京,4.46,487,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147093
中央区,新富２丁目,-,東京都中央区新富2-5-10,35.671605,139.773834,アパホテル〈銀座　新富町駅前〉,4.03,660,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=142746
中央区,日本橋小舟町１４丁目,-,東京都中央区日本橋小舟町14-13,35.68759726,139.7787896,スーパーホテル東京・日本橋三越前,4.11,1188,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=136289
中央区,八丁堀３丁目,-,東京都中央区八丁堀3-26-11,35.67497144,139.7786626,イチホテル東京八丁堀,4.13,54,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179205
中央区,築地４丁目,-,東京都中央区築地4-11-5,35.66586616,139.770869,東急ステイ築地（旧：東急ステイ東銀座）,4.22,1072,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=41702
中央区,京橋３丁目,日八京,東京都中央区京橋3-7-8,35.67555153,139.7708477,ホテルインターゲート東京京橋,4.38,613,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165175
中央区,日本橋浜町３丁目,-,東京都中央区日本橋浜町3-20-2,35.68457927,139.7893906,ＨＡＭＡＣＨＯ　ＨＯＴＥＬ　ＴＯＫＹＯ（浜町ホテル　東京）,4.58,685,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171899
千代田区,鍛冶町１丁目,-,東京都千代田区鍛冶町1-4-3,35.68954683,139.7706236,神田ステーションホテル,3.52,2420,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=7342
中央区,八丁堀１丁目,-,東京都中央区八丁堀1-13-7,35.67671792,139.7784346,ホテル　サードニクス東京,4.43,3490,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=15204
中央区,新富１丁目,-,東京都中央区新富1-14-7,35.67314046,139.7754266,アパホテル〈八丁堀駅南〉（２０２４年７月客室設備リニューアル）,3.97,1166,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=109469
千代田区,岩本町２丁目,-,東京都千代田区岩本町2-1-1,35.69213277,139.7751203,アパホテル〈神田駅東〉,4.04,973,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=136820
千代田区,外神田４丁目,-,東京都千代田区外神田4-12-5,35.70270097,139.7732617,すえひろの湯　ドーミーイン秋葉原（ドーミーイン・御宿野乃　ホテルズグループ）,3.79,5137,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=39980
江東区,白河１丁目,-,東京都江東区白河1-6-12,35.68229009,139.7996159,コンフォートホテル東京清澄白河,3.92,7217,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=31972
千代田区,外神田１丁目,-,東京都千代田区外神田1-2-12,35.698002,139.770831,安心お宿　秋葉原電気街店,4.24,993,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=142653
中央区,銀座４丁目,-,東京都中央区銀座4丁目9-2,35.67081273,139.767233,ソラリア西鉄ホテル銀座,4.5,877,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=134799
中央区,日本橋堀留町１丁目,-,東京都中央区日本橋堀留町1-10-10,35.6889638,139.7797589,ビジネスホテル堀留ヴィラ,3.71,995,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1420
中央区,京橋３丁目,日八京,東京都中央区京橋3-6-7,35.675158,139.770526,アパホテル〈銀座　京橋〉（東京駅八重洲南口）,4,755,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=143288
中央区,日本橋箱崎町２０丁目,-,東京都中央区日本橋箱崎町20-12 ホテルアクサス日本橋,35.6802386,139.786287,ＨＯＴＥＬ　ＡＸＡＳ　ＮＩＨＯＮＢＡＳＨＩ（ホテルアクサス日本橋）,4.13,348,-,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=158639
