,,,,,,,,,,,
,指標名,観光地,,,,,,,,,
,出典,google places API,,,,,,,,,
,年次,2025/02/05取得,,,,,,,,,
,URL,google places API,,,,,,,,,
,備考,(2022年度：1922件、2023年度：2497.0件、2024年度：2182件),,,,,,,,,
,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,place_id
,港区,虎ノ門３丁目,虎ノ門,港区虎ノ門３丁目６−１,35.6667276,139.7452294,江戸見坂,"tourist_attraction, point_of_interest, establishment",4,29,ChIJN5LqUpCLGGARQm-GwODjL_Y
,千代田区,永田町１丁目,赤坂,千代田区永田町１丁目１０,35.6741622,139.7463738,茱萸坂,"tourist_attraction, point_of_interest, establishment",3.5,12,ChIJ1fioLHaMGGAR4Q6XtRRsm5c
,千代田区,永田町１丁目,赤坂,千代田区永田町１丁目１,35.6771485,139.7485644,櫻の井,"tourist_attraction, point_of_interest, establishment",3.6,32,ChIJryeESYqLGGAR60avG3cGwd0
,港区,六本木１丁目,虎ノ門,港区六本木１丁目５,35.6659314,139.7404212,スペイン坂,"tourist_attraction, point_of_interest, establishment",5,1,ChIJG2boZACLGGARLTivwzf9QN8
,千代田区,日比谷公園,-,千代田区日比谷公園１−１,35.6752447,139.7577295,リュウゼツラン,"tourist_attraction, point_of_interest, establishment",4.3,7,ChIJ_YndeACLGGAR4Hh7CJ4qPDo
,港区,赤坂５丁目,赤坂,港区赤坂５丁目３,35.6723723,139.7355812,TBS前広場,"tourist_attraction, point_of_interest, establishment",4.1,47,ChIJAxYFwoaLGGARhUnycGuMVTA
,港区,赤坂１丁目,虎ノ門,港区赤坂１丁目１３−１,35.6669253,139.7408917,パイプオルゴール（からくり時計）,"tourist_attraction, point_of_interest, establishment",0,0,ChIJc-lwdwCLGGARQWyBLGxqSSs
,千代田区,北の丸公園,-,千代田区北の丸公園１−１,35.6927833,139.752582,清水門,"tourist_attraction, point_of_interest, establishment",4.1,246,ChIJ70n0MROMGGARMjFhBBLsEGk
,千代田区,千代田,-,千代田区千代田１−１,35.6867824,139.7571445,皇居東御苑,"tourist_attraction, park, point_of_interest, establishment",4.4,8256,ChIJPfFaQhOMGGAR-QPbNQoAG6M
,千代田区,北の丸公園,-,千代田区北の丸公園２,35.6925238,139.751884,河津桜,"tourist_attraction, point_of_interest, establishment",4,3,ChIJx--EcjiNGGAR3RgZmtrrbUI
,千代田区,千代田,-,千代田区千代田１,35.6896111,139.7578611,平川門,"tourist_attraction, point_of_interest, establishment",4.2,135,ChIJTajifQ6MGGAR7Hm1Kn2631A
,千代田区,皇居外苑,-,千代田区皇居外苑３−１,35.6833415,139.7608736,和田倉噴水公園,"tourist_attraction, park, point_of_interest, establishment",4.2,2125,ChIJV4TDwfeLGGARZZY83rpWpSA
,千代田区,北の丸公園,-,千代田区北の丸公園２−５,35.6940476,139.7493268,田安門,"tourist_attraction, point_of_interest, establishment",4.3,256,ChIJQwJLmGuMGGARZaD_O7oWHPI
,千代田区,九段北３丁目,-,千代田区九段北３丁目１,35.6944726,139.7438709,ソメイヨシノの標本木(東京),"tourist_attraction, point_of_interest, establishment",4.4,74,ChIJsV-c1IqNGGARKep9AmuyJ04
,千代田区,北の丸公園,-,千代田区北の丸公園３−１,35.6905432,139.7546932,東京国立近代美術館,"tourist_attraction, museum, point_of_interest, establishment",4.3,6508,ChIJL0kSfg2MGGARKv5KX53ZZ2Y
,千代田区,九段南２丁目,-,千代田区九段南２丁目２−１８,35.6946395,139.7483607,千代田区立九段坂公園,"park, tourist_attraction, point_of_interest, establishment",4.3,140,ChIJGZArzGuMGGARPTxpzTl2nHE
,千代田区,皇居外苑,-,千代田区皇居外苑３−１,35.6836034,139.7615996,和田倉門跡,"tourist_attraction, point_of_interest, establishment",4.3,148,ChIJn_Bp6PeLGGARAfpWo7lBTcA
,千代田区,千代田,-,"千代田区千代田１−１, 東御苑, 皇居",35.6854051,139.7555505,松の大廊下跡,"tourist_attraction, point_of_interest, establishment",3.9,88,ChIJhZsO6QuMGGARKpytUX8ZqOs
,千代田区,北の丸公園,-,千代田区北の丸公園２−１,35.691589,139.753069,科学技術館,"tourist_attraction, museum, point_of_interest, establishment",4.1,3637,ChIJdfZ2xRKMGGARQSyxv6wfzw8
,千代田区,大手町１丁目,大丸有,千代田区大手町１丁目４,35.689474,139.7601244,和気清麻呂像,"tourist_attraction, point_of_interest, establishment",3.9,151,ChIJi5nZHw-MGGARjf6RhUw_QjM
,千代田区,九段北２丁目,-,千代田区九段北２丁目１−４,35.6955051,139.7479212,さざれ石,"tourist_attraction, point_of_interest, establishment",4.8,12,ChIJ6xv7V--NGGAReRAJJ7vza5Y
,千代田区,北の丸公園,-,千代田区北の丸公園１−１,35.6926852,139.7498228,時計台,"tourist_attraction, point_of_interest, establishment",4.1,53,ChIJp8s7DqGNGGAR4bsVhMgJC1s
