,,,,,,,,,,,
,指標名,観光地,,,,,,,,,
,出典,google places API,,,,,,,,,
,年次,2025/02/05取得,,,,,,,,,
,URL,google places API,,,,,,,,,
,備考,(2022年度：1922件、2023年度：2497.0件、2024年度：2182件),,,,,,,,,
,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,place_id
,江東区,青海１丁目,-,江東区青海１丁目,35.625004,139.7827147,水の広場公園（西側地区）,"park, tourist_attraction, point_of_interest, establishment",4.1,153,ChIJg0iLNvuJGGARTWHNZxnELwM
,品川区,東八潮,-,品川区東八潮１,35.62339,139.7695743,潮風公園,"park, tourist_attraction, point_of_interest, establishment",3.9,1380,ChIJo9rFlRyKGGARxGX4YMCH2dA
,港区,台場２丁目,-,港区台場２丁目４,35.6270145,139.7745476,KOWAテレビ望遠鏡,"tourist_attraction, point_of_interest, establishment",0,0,ChIJ4YykUQCJGGAR7nhXlHuJKbU
,江東区,青海１丁目,-,江東区青海１丁目３−１２,35.6268349,139.780792,夢の広場,"park, tourist_attraction, point_of_interest, establishment",4,576,ChIJwTciifqJGGAR2cIA2TjqbVo
,港区,台場２丁目,-,港区台場２丁目４−８ フジ テレビ 25 階,35.6270654,139.7746611,フジテレビ球体展望台 はちたま,"tourist_attraction, point_of_interest, establishment",3.9,336,ChIJb2CosfeJGGAR_TIVIcsMyK4
,江東区,青海１丁目,-,江東区青海１丁目１,35.6274911,139.7822121,シンボルプロムナード公園,"park, tourist_attraction, point_of_interest, establishment",4.2,1638,ChIJp2AeuvmJGGARp1TP1Qj317Q
,港区,台場１丁目,-,港区台場１丁目４,35.6344578,139.7757697,静岡県韮山町の記念碑,"tourist_attraction, point_of_interest, establishment",3.2,5,ChIJtVDiBGqJGGARaQdosKf-caM
,江東区,青海１丁目,-,江東区青海１丁目３,35.6254983,139.7778514,紫陽花の小路,"tourist_attraction, point_of_interest, establishment",4.7,35,ChIJW58iviCJGGARr9dgFYICUxw
,江東区,有明２丁目,-,江東区有明２丁目３,35.6319472,139.7813949,のぞみ橋,"tourist_attraction, point_of_interest, establishment",3.9,49,ChIJtyVbjvGJGGARk5eVjrjjCZI
,港区,台場,-,港区台場,35.6283445,139.7788883,テレポートブリッジ,"tourist_attraction, point_of_interest, establishment",4.1,35,ChIJic5uxPCJGGARHFHBqjf1nXo
,港区,台場１丁目,-,港区台場１丁目１０−10番1号,35.6331542,139.7717641,品川台場,"tourist_attraction, point_of_interest, establishment",4.2,31,ChIJhy8XBlaLGGAR_O8PEA4d-Xk
,江東区,青海１丁目,-,江東区青海１丁目,35.6267096,139.7799935,「TOKYO」文字モニュメント,"tourist_attraction, point_of_interest, establishment",4.2,27,ChIJyVdfgWGJGGAR1vj5VaRAois
,江東区,青海１丁目,-,江東区青海１丁目３,35.6259173,139.7785881,いきものの谷,"tourist_attraction, point_of_interest, establishment",4.4,10,ChIJ-4svUvCJGGARsnO38wjrih0
,江東区,青海１丁目,-,江東区青海１丁目１,35.6241609,139.7739598,「自由の炎 “LA FLAMME DE LA LIBERTE”」マルク・クチュリエ,"tourist_attraction, landmark, point_of_interest, establishment",3.8,218,ChIJwfoYF_iJGGAR-dd9gpYUQC0
,江東区,有明３丁目,-,江東区有明３丁目１−８,35.6308444,139.7854833,東京都水の科学館,"tourist_attraction, museum, point_of_interest, establishment",4.1,1128,ChIJIfO-oO-JGGARxJYVjpssowo
,品川区,東八潮,-,品川区東八潮２,35.6218821,139.7715982,水と緑のプロムナード,"tourist_attraction, point_of_interest, establishment",3.8,20,ChIJnVRViwKKGGARCBrwJb6FffE
,江東区,青海１丁目,-,江東区青海１丁目１,35.6234282,139.7748435,セントラル広場,"park, tourist_attraction, point_of_interest, establishment",4.1,462,ChIJzzgdUPiJGGAR1hYokt2VdGE
,江東区,青海１丁目,-,江東区青海１丁目１−１０ ダイバーシティ東京 プラザ７F,35.6254768,139.7761383,ガンダムベース 東京,"tourist_attraction, museum, store, point_of_interest, establishment",4.5,16288,ChIJIy1S0_mJGGAR2d0UgvPKUPg
,江東区,有明２丁目,-,江東区有明２丁目２−２２,35.634751,139.787094,START1000,"tourist_attraction, point_of_interest, establishment",0,0,ChIJrUhpcgCJGGARm46PE24Ab7k
,江東区,青海１丁目,-,江東区青海１丁目１−１０ ダイバーシティ東京プラザ 内 2F フェスティバル広場,35.6244291,139.7754991,かつてのガンダムたち,"tourist_attraction, point_of_interest, establishment",4.8,18,ChIJM0hYDZOJGGAREraoUKVamsU
,江東区,有明２丁目,-,江東区有明２丁目３,35.6324747,139.7829215,有明北緑道公園,"park, tourist_attraction, point_of_interest, establishment",3.7,57,ChIJ_x-YL-6JGGARcuveOb2QXy0
,江東区,青海２丁目,-,江東区青海２丁目５−８,35.6180933,139.7792012,滝の広場,"park, tourist_attraction, point_of_interest, establishment",3.8,104,ChIJXa1G8_2JGGARK8xWCpdsoeY
,江東区,青海２丁目,-,江東区青海２丁目５−１０,35.6174613,139.7804881,テレコムセンター 展望室,"tourist_attraction, point_of_interest, establishment",4.3,272,ChIJmUbGdgdiGGAR-Q6aGHfT5dU
,港区,台場２丁目,-,港区台場２丁目４−８,35.626605,139.774056,（株）フジテレビジョン,"tourist_attraction, point_of_interest, establishment",3.8,9918,ChIJQQ6UsPeJGGAR3LFE4U43_NQ
,江東区,青海２丁目,-,江東区青海２丁目３−６,35.6193359,139.7763995,日本科学未来館,"tourist_attraction, museum, point_of_interest, establishment",4.1,14354,ChIJz_149P6JGGARoImMn3NlsfY
,港区,台場２丁目,-,港区台場２丁目３−１ トレードピアお台場 １Ｆ,35.6278162,139.7760922,Kawasaki Robostage,"tourist_attraction, point_of_interest, establishment",4.4,233,ChIJy7jAHPeJGGARj9nEku7az9s
,江東区,青海２丁目,-,江東区青海２丁目,35.6187145,139.7739592,青海北ふ頭公園,"park, tourist_attraction, point_of_interest, establishment",4,213,ChIJY-jDzQZiGGARow0aVh8jH9E
,港区,台場２丁目,-,港区台場２丁目４−８,35.6266076,139.7740561,FCGビル,"tourist_attraction, point_of_interest, establishment",4,146,ChIJw3qKQduJGGARWr0DnXUAjV8
,江東区,青海２丁目,-,江東区青海２丁目６−３,35.61607,139.7756369,青海南ふ頭公園,"park, tourist_attraction, point_of_interest, establishment",4,330,ChIJlRH3kQBiGGAR8VJAfZQgVbE
,江東区,青海１丁目,-,江東区青海１丁目１−１０ ダイバーシティ東京 プラザ７F,35.6254768,139.7761383,ガンダムベース 東京,"tourist_attraction, museum, point_of_interest, store, establishment",4.5,16288,ChIJIy1S0_mJGGAR2d0UgvPKUPg
,江東区,青海２丁目,-,江東区青海２丁目４−２４ 20F 青海フロンティアビル,35.6176193,139.7785674,東京臨海部広報展示室 TOKYO ミナトリエ,"tourist_attraction, museum, point_of_interest, establishment",4.3,234,ChIJ11Qx-P2JGGARQAFMjXp8r1s
,江東区,有明３丁目,-,江東区有明３丁目,35.6272873,139.7859087,あけみ橋,"tourist_attraction, point_of_interest, establishment",4.2,22,ChIJizGyvTyJGGARMdTxG3Dpqf0
,江東区,有明４丁目,-,江東区有明４丁目 シンボルプロムナード公園,35.6303751,139.7874441,つどい橋,"tourist_attraction, point_of_interest, establishment",4,22,ChIJoXPjVu-JGGARYtb1O1ksONA
,江東区,有明２丁目,-,江東区有明２丁目３−５,35.6334065,139.7842541,東京都虹の下水道館,"tourist_attraction, museum, point_of_interest, establishment",4,267,ChIJ2zTrCO6JGGARVaDvZEqlV74
,江東区,青海４丁目,-,江東区青海４丁目１−７,35.6207856,139.780251,青海中央ふ頭公園,"park, tourist_attraction, point_of_interest, establishment",3.8,37,ChIJ576BsP6JGGARCyg0ofYBI3Q
,品川区,東八潮,-,品川区東八潮３−１,35.6190313,139.7739009,南極観測船宗谷,"tourist_attraction, museum, point_of_interest, establishment",4.5,395,ChIJReqUU_-JGGARzyBGB0CrRwE
,中央区,浜離宮庭園,-,中央区浜離宮庭園１−１,35.6624093,139.7639592,三百年の松,"tourist_attraction, point_of_interest, establishment",4.4,222,ChIJETsVn9yLGGARO6YBehyxOIQ
,港区,芝公園４丁目,-,港区芝公園４丁目２−８,35.6585805,139.7454329,東京タワー,"tourist_attraction, landmark, art_gallery, shopping_mall, point_of_interest, establishment",4.5,80904,ChIJCewJkL2LGGAR3Qmk0vCTGkg
,港区,浜松町２丁目,-,港区浜松町２丁目４,35.655486,139.7565829,瓦斯燈,"tourist_attraction, point_of_interest, establishment",5,1,ChIJM7sMqACLGGAR6xpmqUn4E5c
,港区,-,-,港区３,35.6532584,139.7564286,延命地蔵尊,"place_of_worship, tourist_attraction, point_of_interest, establishment",3.3,13,ChIJG4EHwciLGGARAHjbncTLu1E
,港区,浜松町２丁目,-,港区浜松町２丁目１３−３,35.6533393,139.7545538,浜松町四丁目児童遊園,"park, tourist_attraction, point_of_interest, establishment",3.5,67,ChIJp_8Se8iLGGARU3cHLTDP8HE
,港区,芝浦１丁目,-,港区芝浦１丁目１−番10号,35.6524367,139.7586898,新浜公園,"park, tourist_attraction, point_of_interest, establishment",3.5,16,ChIJw7awRsmLGGARlt-jplcTR_w
,港区,東新橋１丁目,虎ノ門広域,港区東新橋１丁目８−１ カレッタ汐留 46F 無料展望スペース,35.6644594,139.7625223,SKY VIEW,"tourist_attraction, point_of_interest, establishment",4.4,278,ChIJrx_Ez8KLGGARPUaHxocRqHk
,港区,東新橋１丁目,虎ノ門広域,港区東新橋１丁目６−１ 日本テレビタワー,35.6644529,139.7605455,Nettle Tower in Shiodome,"tourist_attraction, point_of_interest, establishment",0,0,ChIJoYSsFwCLGGAR9cr8m8-0Ydw
,港区,海岸１丁目,-,港区海岸１丁目１２,35.654717,139.7625957,モヤイ像（竹芝客船ターミナル）,"tourist_attraction, point_of_interest, establishment",4,16,ChIJj9zko6mLGGARPQClKoJ3rRE
,中央区,浜離宮庭園,-,中央区浜離宮庭園１−１,35.6588479,139.7618309,浜離宮のトウカエデ,"tourist_attraction, point_of_interest, establishment",4.2,5,ChIJRS5Fx7eLGGARyM9iOryPYlA
,港区,-,-,港区,35.6365639,139.7631443,レインボーブリッジ,"tourist_attraction, point_of_interest, establishment",4.5,3344,ChIJbWVFlTCKGGARr5l6ox-7_CA
,港区,芝２丁目,-,港区芝２丁目１２−３,35.6516053,139.7530381,芝新堀町児童遊園,"tourist_attraction, park, point_of_interest, establishment",3.4,30,ChIJSS8vJciLGGARatZ3-KOvYBQ
,港区,芝公園４丁目,-,港区芝公園４丁目２−８,35.6585805,139.7454329,東京タワー,"tourist_attraction, art_gallery, shopping_mall, landmark, point_of_interest, establishment",4.5,80904,ChIJCewJkL2LGGAR3Qmk0vCTGkg
,中央区,銀座８丁目,-,中央区銀座８丁目１０−８,35.6675091,139.7618196,芝口御門跡,"tourist_attraction, point_of_interest, establishment",3.4,26,ChIJL3czbuiLGGARonaJgcjbyHA
,港区,芝公園３丁目,虎ノ門,港区芝公園３丁目５,35.659191,139.7463317,堀杏庵の墓,"cemetery, tourist_attraction, point_of_interest, establishment",3,1,ChIJ_yVmQPiLGGARBQFFp52TQDk
,中央区,浜離宮庭園,-,中央区浜離宮庭園１−１,35.6591253,139.7631115,松の御茶屋,"tourist_attraction, point_of_interest, establishment",3.9,38,ChIJq6oG0dqLGGARbqmloLdHBfg
,港区,海岸１丁目,-,港区海岸１丁目７−１ ３F,35.6552416,139.7605559,東京ポートシティ竹芝 ストリートピアノ,"tourist_attraction, point_of_interest, establishment",4.7,9,ChIJRV6xQmuLGGARui6HdKhGueU
,中央区,浜離宮庭園,-,中央区浜離宮庭園１−１,35.6596559,139.7634091,浜離宮恩賜庭園,"tourist_attraction, park, point_of_interest, establishment",4.4,10620,ChIJwfegutyLGGARGjiY-L2eSps
,港区,海岸１丁目,-,港区海岸１丁目５−２０,35.6537918,139.7575461,ガス創業の地,"tourist_attraction, point_of_interest, establishment",3.5,8,ChIJw4d6M8-LGGARn0uwbiVJmIM
,港区,東麻布１丁目,-,港区東麻布１丁目２１−８,35.6557099,139.7438591,飯倉公園,"park, tourist_attraction, point_of_interest, establishment",4,242,ChIJpYUm77yLGGARlJwfA5eJP0I
,中央区,銀座８丁目,-,中央区銀座８丁目２０,35.66465,139.763631,浜離宮前踏切跡,"tourist_attraction, point_of_interest, establishment",4,70,ChIJPdj7I92LGGARR9f4X1-fID0
,港区,芝公園４丁目,-,港区芝公園４丁目２−８,35.6585805,139.7454329,東京タワー,"landmark, art_gallery, tourist_attraction, shopping_mall, point_of_interest, establishment",4.5,80904,ChIJCewJkL2LGGAR3Qmk0vCTGkg
,港区,海岸,-,港区海岸５,35.6525284,139.7599006,浜崎橋,"tourist_attraction, point_of_interest, establishment",4.1,13,ChIJJ_jn0DeKGGARqTvKgH2AlIE
,港区,愛宕２丁目,虎ノ門,港区愛宕２丁目４−７,35.6628624,139.748567,萬年山 青松寺,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.2,236,ChIJfy9hNJSLGGAR41_DfA3WUB0
,港区,東新橋１丁目,虎ノ門広域,港区東新橋１丁目５−１ パナソニック東京汐留ビル 4階,35.6659066,139.7619241,パナソニック汐留美術館,"art_gallery, tourist_attraction, museum, point_of_interest, establishment",4,1624,ChIJ6Sypp8KLGGAR4lmmX-zFFmo
,中央区,銀座５丁目,-,中央区銀座５丁目１−１,35.6726412,139.7623365,数寄屋橋公園,"park, tourist_attraction, point_of_interest, establishment",3.7,817,ChIJ40N1fO-LGGARcTqd0Q-RpDc
,港区,新橋２丁目,虎ノ門広域,港区新橋２丁目１５−５,35.6667888,139.7567841,烏森神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.2,4138,ChIJmyHLzuuLGGAR_dp7Ams-EI4
,港区,新橋２丁目,虎ノ門広域,港区新橋２丁目７,35.6671368,139.7574245,蒸気機関車 C11形292号機,"tourist_attraction, point_of_interest, establishment",4,158,ChIJNUBM2OuLGGARdhOeLr3QcM8
,中央区,銀座６丁目,-,中央区銀座６丁目１８,35.6673935,139.7672408,築地川采女橋公園,"park, tourist_attraction, point_of_interest, establishment",3.4,117,ChIJKZcP5d2LGGARdgYADLEjCgU
,千代田区,内幸町１丁目,-,千代田区内幸町１丁目６−８,35.6690711,139.7585754,URACORI 銀座裏コリドー,"tourist_attraction, restaurant, point_of_interest, food, establishment",3.8,57,ChIJyax9WoCLGGARsCQ5yr2RjNE
,中央区,銀座３丁目,-,中央区銀座３丁目,35.6736764,139.7656132,並木通り,"tourist_attraction, point_of_interest, establishment",4.1,49,ChIJie-XJjSLGGARkF7l_8BMlUM
,中央区,-,-,中央区３ 中央区築地５丁目１−１,35.6657335,139.7661369,築地川千代橋公園,"park, tourist_attraction, point_of_interest, establishment",3.2,66,ChIJzyRXst2LGGARSThDMARiY04
,中央区,銀座５丁目,-,中央区銀座５丁目１０,35.6702739,139.7654308,三原小路銀座,"tourist_attraction, point_of_interest, establishment",4,12,ChIJ5wENpauLGGARmW0riUjl-Q0
,千代田区,内幸町１丁目,-,千代田区内幸町１丁目６−８,35.6690711,139.7585754,URACORI 銀座裏コリドー,"tourist_attraction, restaurant, food, point_of_interest, establishment",3.8,57,ChIJyax9WoCLGGARsCQ5yr2RjNE
,中央区,銀座８丁目,-,中央区銀座８丁目 中央通り,35.6705813,139.7643418,銀座歩行者天国,"tourist_attraction, point_of_interest, establishment",4.6,186,ChIJcTA-aeaLGGARj3kIPKAI23M
,中央区,銀座８丁目,-,中央区銀座８丁目１９,35.6655188,139.7660865,千代橋,"tourist_attraction, point_of_interest, establishment",3.3,4,ChIJuQQlrt2LGGARtVCRJxJ86-c
,中央区,銀座３丁目,-,中央区銀座３丁目６ 中央通り,35.6721871,139.7659944,銀座中央通り,"tourist_attraction, point_of_interest, establishment",4.4,50,ChIJRQ2BJ-SLGGARBo5lWSuc-jM
,中央区,浜離宮庭園,-,中央区浜離宮庭園１−１,35.6606908,139.7630242,芳梅亭,"tourist_attraction, park, point_of_interest, establishment",4,42,ChIJh23vSduLGGARP_2KeeyV4Gw
,中央区,銀座４丁目,-,中央区銀座４丁目１２−１５ 歌舞伎座タワー 5F,35.6697503,139.7680034,歌舞伎座ギャラリー,"tourist_attraction, art_gallery, museum, travel_agency, point_of_interest, establishment",3.9,68,ChIJv7Dpy-CLGGARH1EUcwwPtL4
,中央区,銀座７丁目,-,中央区銀座７丁目１４,35.6669733,139.7641404,建物の礎石（汐留遺跡）,"tourist_attraction, point_of_interest, establishment",3.5,10,ChIJAfneiOeLGGAR2QxCkwMahlU
,中央区,築地４丁目,-,中央区築地４丁目１５−２,35.6660464,139.768613,市場橋公園,"park, tourist_attraction, point_of_interest, establishment",3.2,71,ChIJ_7_Sjd6LGGARbsL1p098360
,中央区,築地４丁目,-,中央区築地４丁目１,35.6672279,139.7677451,采女橋,"tourist_attraction, point_of_interest, establishment",4,8,ChIJfVrJnlKLGGARnOCUVziw2mQ
,中央区,銀座５丁目,-,中央区銀座５丁目１３−１５,35.6687557,139.7666855,銀座五丁目,"tourist_attraction, point_of_interest, establishment",5,5,ChIJKTOibneLGGARn79_2Atdhqo
,中央区,銀座６丁目,-,中央区銀座６丁目９−１６,35.670233,139.7632341,Suzuran street,"tourist_attraction, point_of_interest, establishment",4.7,9,ChIJC2kcLwCLGGAR9jwSgFY5XU0
,中央区,銀座６丁目,-,中央区銀座６丁目１４−５ 東武銀座第1ビル,35.668985,139.765361,tokyo sky tree,"tourist_attraction, point_of_interest, establishment",0,0,ChIJoWd_GQCLGGAReWXkZWeXwpw
,中央区,銀座７丁目,-,中央区銀座７丁目１１−１０,35.6679603,139.7630729,少女像「はな」,"tourist_attraction, point_of_interest, establishment",0,0,ChIJJZfmddOLGGARx_9jb2a-jjY
,中央区,築地４丁目,-,中央区築地４丁目９−１１,35.6655523,139.7696519,築地交番所跡,"tourist_attraction, point_of_interest, establishment",4,1,ChIJ2QsVqtGLGGARwqIYN4ZRm3c
,中央区,銀座１丁目,-,中央区銀座１丁目１２−６,35.674316,139.7699932,水谷橋公園,"park, tourist_attraction, point_of_interest, establishment",4,121,ChIJq5bv0eOLGGARrlEm2rzrx1U
,中央区,銀座１丁目,-,中央区銀座１丁目２５−２,35.6729106,139.7716197,京橋公園,"park, tourist_attraction, point_of_interest, establishment",3.7,333,ChIJn76wuOGLGGAR78WCEuv9vTQ
,港区,高輪３丁目,-,港区高輪３丁目１３−２１,35.6304242,139.7349935,高輪森の公園,"park, tourist_attraction, point_of_interest, establishment",3.7,109,ChIJeX5U41aKGGARpQJCQQWMQrE
,港区,高輪４丁目,-,港区高輪４丁目１０−３０ 品川プリンスホテル内,35.6282839,139.7352393,マクセル アクアパーク 品川,"aquarium, tourist_attraction, point_of_interest, establishment",4.3,16071,ChIJC1aZZFeKGGARGLX8IHTOn-c
,港区,高輪３丁目,-,港区高輪３丁目１８−１８,35.6329215,139.7354937,高輪公園,"park, tourist_attraction, point_of_interest, establishment",3.9,236,ChIJG5biIlSKGGAR8WaSxLR3gBM
,港区,高輪２丁目,-,港区高輪２丁目１４−１８,35.6352917,139.7379167,高輪神社(旧常照寺太子堂),"tourist_attraction, place_of_worship, point_of_interest, establishment",4.1,507,ChIJl-1sm1OKGGARKF7IMwZLpYk
,港区,高輪３丁目,-,港区高輪３丁目１４,35.6335062,139.7329533,ゆうれい地蔵,"place_of_worship, tourist_attraction, point_of_interest, establishment",3.3,3,ChIJ45VtnlWKGGARMqIZqLcFk-g
,港区,高輪２丁目,-,港区高輪２丁目１１−１,35.6377397,139.7364006,泉岳寺,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.3,3432,ChIJh64KT6uLGGARKx4cxgOaL54
,品川区,東五反田２丁目,-,品川区東五反田２丁目１５−２０,35.6221598,139.729093,御成橋公園,"park, tourist_attraction, point_of_interest, establishment",3.8,145,ChIJVVV8-vaKGGAR7pGh82VFE-o
,港区,高輪２丁目,-,港区高輪２丁目１９,35.639467,139.7406425,高輪大木戸跡,"tourist_attraction, point_of_interest, establishment",3.7,114,ChIJCVfWNq2LGGARvuAHzNroBTc
,港区,高輪３丁目,-,港区高輪３丁目１３−１,35.6318463,139.7358207,旧竹田宮邸洋館,"tourist_attraction, point_of_interest, establishment",4.2,50,ChIJBeLUl1aKGGARHfcT-DlHVC4
,港区,高輪３丁目,-,港区高輪３丁目１５−１８,35.6349814,139.7340404,高野山 東京別院,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.3,779,ChIJ4Y-GGVWKGGARAHFc8A6VDf0
,港区,高輪３丁目,-,港区高輪３丁目１６−１６,35.6343376,139.7353311,東禅寺,"tourist_attraction, place_of_worship, point_of_interest, establishment",4,115,ChIJlaWyUFSKGGARjGBTT9eQH-M
,港区,白金台５丁目,-,港区白金台５丁目１８−１８ バルビゾン18 6F,35.6374063,139.7237662,プラチナ通り銀杏並木,"tourist_attraction, point_of_interest, establishment",3.2,5,ChIJ0dylheSLGGARXn6UMKbfUZA
,港区,白金台５丁目,-,港区白金台５丁目２１−５,35.6373601,139.721015,旧白金御料地,"tourist_attraction, point_of_interest, establishment",4.2,6,ChIJs6tOl1qLGGARCCkSOSIloeA
,港区,白金台５丁目,-,港区白金台５丁目２１−９,35.6369465,139.7190408,東京都庭園美術館,"tourist_attraction, museum, point_of_interest, establishment",4.4,4057,ChIJQS7vBxuLGGAR-Grk6oJ8etw
,港区,白金台１丁目,-,港区白金台１丁目１,35.6389125,139.7279829,日吉坂,"tourist_attraction, point_of_interest, establishment",3.2,6,ChIJU4S1KAeLGGARrHUp84nOk9Q
,港区,白金台３丁目,-,港区白金台３丁目２−１９,35.6373116,139.7269666,瑞聖寺,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.2,201,ChIJ11c1XwGLGGARw7yjtmaO3HA
,港区,白金台５丁目,-,港区白金台５丁目１９−１,35.6365634,139.722171,白金台どんぐり児童遊園,"park, tourist_attraction, point_of_interest, establishment",4,419,ChIJC4HlpgSLGGAReROnuAfh3n0
,港区,白金２丁目,-,港区白金２丁目１−７,35.643216,139.7313315,白金氷川神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.3,329,ChIJWXpokgeLGGARRc7Blgtb41Y
,港区,白金台５丁目,-,港区白金台５丁目１１−１６,35.6406272,139.7211646,日東坂,"tourist_attraction, point_of_interest, establishment",3.9,14,ChIJT04iBhCLGGARi96MDVRUjBo
,港区,白金２丁目,-,港区白金２丁目１,35.643626,139.73037,三光坂,"tourist_attraction, point_of_interest, establishment",3.6,35,ChIJGyeOGqGLGGARGL5jUTXneT0
,港区,白金台５丁目,-,港区白金台５丁目２１−９,35.6367721,139.7194525,旧朝香宮邸,"tourist_attraction, point_of_interest, establishment",4.7,36,ChIJ41V6qRuLGGAR3hfLAFHax1A
,港区,白金台２丁目,-,港区白金台２丁目２０−１２,35.632356,139.726872,荏原 畠山美術館,"tourist_attraction, museum, point_of_interest, establishment",4,181,ChIJZQpgdf6KGGARXCH1FGs07t0
,港区,白金台２丁目,-,港区白金台２丁目２４−３,35.6328559,139.7293547,白金児童遊園（猿町公園）,"park, tourist_attraction, point_of_interest, establishment",4,163,ChIJhWmksv-KGGARqLLIKtoyfz0
,港区,白金台４丁目,-,港区白金台４丁目７−６,35.6380673,139.7258751,白台児童遊園,"park, tourist_attraction, point_of_interest, establishment",3.9,53,ChIJrfgWDASLGGARWZNOc9f7grs
,港区,白金台５丁目,-,港区白金台５丁目１２−６,35.6400385,139.7219841,松岡美術館,"tourist_attraction, museum, point_of_interest, establishment",4.4,445,ChIJLfAnTQWLGGARjQW3e3gEzrw
,港区,白金台３丁目,-,港区白金台３丁目２−１９ 紫雲山瑞聖禅寺,35.6372857,139.7269595,瑞聖寺 大雄宝殿,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.3,7,ChIJcVS8_LKLGGARn6hNZbotZ4w
,港区,白金台１丁目,-,港区白金台１丁目２−３７,35.6368266,139.7310332,明治学院大学インブリー館,"tourist_attraction, point_of_interest, establishment",4.2,9,ChIJY7X7bgCLGGARUVRCUO3oU5o
,港区,白金台５丁目,-,港区白金台５丁目２１−５,35.6386054,139.7175105,大蛇の松,"tourist_attraction, point_of_interest, establishment",4,4,ChIJn_TvA8GLGGARDzL1S9Gj4Ac
,港区,白金６丁目,-,港区白金６丁目５−１０,35.6440948,139.7244504,雷神山児童遊園,"park, tourist_attraction, point_of_interest, establishment",3.9,46,ChIJ05ZDGQ-LGGARDfUKPa7O8m8
,品川区,東五反田５丁目,-,品川区東五反田５丁目１９−５,35.6303085,139.7224971,品川区立 ねむの木の庭,"tourist_attraction, park, point_of_interest, establishment",3.9,325,ChIJf7QDOv2KGGARrlfaScGfh3o
,港区,三田２丁目,-,港区三田２丁目１２−５ 弘法寺,35.6499708,139.7437403,Terakoya NINJA | Tea Ceremony and Ikebana in Tokyo,"tourist_attraction, place_of_worship, point_of_interest, establishment",5,10,ChIJRaXBF_2LGGARmP3LaG6A34k
,港区,三田３丁目,-,港区三田３丁目７−１６,35.6431052,139.7414462,御田八幡神社,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.1,377,ChIJX_Qh8q2LGGARghTq3Di6f8g
,港区,三田４丁目,-,港区三田４丁目７−３０,35.6441564,139.7377905,忍願寺,"tourist_attraction, place_of_worship, point_of_interest, establishment",3.5,12,ChIJRb_N2q6LGGARDxgxOv7lMBM
,港区,南麻布５丁目,-,港区南麻布５丁目７−２９,35.6520827,139.7257986,有栖川宮記念公園,"tourist_attraction, park, point_of_interest, establishment",4.3,2774,ChIJBZk1rgyLGGARtjJYTaN0hBA
,港区,白金３丁目,-,港区白金３丁目１−１６,35.6467552,139.7292377,白金公園,"park, tourist_attraction, point_of_interest, establishment",3.6,146,ChIJA30KCQmLGGARkIlnntrSxOA
,港区,白金３丁目,-,港区白金３丁目１,35.6468214,139.7290849,白金公園橋,"tourist_attraction, point_of_interest, establishment",5,2,ChIJJz4NDAmLGGARvr9nGJtPEug
,港区,高輪２丁目,-,港区高輪２丁目１１−１,35.6373568,139.7367212,首洗い井戸,"tourist_attraction, point_of_interest, establishment",4,24,ChIJsYMRTauLGGARM4SwXVL4N4w
,港区,高輪２丁目,-,港区高輪２丁目１−２８,35.637791,139.7374949,泉岳寺 中門,"tourist_attraction, point_of_interest, establishment",4.2,22,ChIJ1T-1rKyLGGARxv05GXYzjik
,港区,高輪２丁目,-,港区高輪２丁目１５−３７,35.637334,139.7380139,泉岳寺前児童遊園,"tourist_attraction, park, point_of_interest, establishment",4,50,ChIJoV9gUFOKGGARtdGqsuW_2GU
,港区,高輪２丁目,-,港区高輪２丁目１１−１６,35.6371051,139.7366192,大石内蔵助良雄墓,"tourist_attraction, point_of_interest, establishment",4.3,42,ChIJVz-cNauLGGARqP4z7F-0dyM
,港区,高輪２丁目,-,港区高輪２丁目２−２６,35.6387877,139.736112,保安寺,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.2,23,ChIJCWZucKuLGGARTJ16cpGhJ3k
,港区,高輪１丁目,-,港区高輪１丁目５−４４,35.6426649,139.7362681,高松くすのき公園,"park, tourist_attraction, point_of_interest, establishment",3.9,75,ChIJKXMIRamLGGARDlEnzmXhxqM
,港区,高輪１丁目,-,港区高輪１丁目１６−６,35.6399991,139.7348477,大石良雄外十六人忠烈の跡,"tourist_attraction, point_of_interest, establishment",4,80,ChIJt8JMCKmLGGAROamwk0o7_-o
,港区,高輪１丁目,-,港区高輪１丁目１５−２２,35.6396695,139.7343281,高松児童遊園,"park, tourist_attraction, point_of_interest, establishment",3.9,29,ChIJ5wpfSaqLGGAR6q8ks2I980Y
,港区,三田２丁目,-,港区三田２丁目１５−５０,35.6483895,139.742295,三田演説館,"tourist_attraction, point_of_interest, establishment",4,20,ChIJ6fYVHbCLGGARO6V6Z6Cj-Pg
