,指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,
,出典,The Tabelog Award 2025,,,,,,,,,,,,,
,年次,2025/01/31取得,,,,,,,,,,,,,
,URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,
,備考,(2022年度：147件、2023年度：137.0件、2024年度：185件),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,受賞・選出歴,星数,口コミ数,夜予算,昼予算,URL
,渋谷区,西原３丁目,-,東京都渋谷区西原3-23-1,35.6706199,139.6834603,ete,イノベーティブ、フレンチ,SILVER,"2025/silver, 2024/silver, 2023/bronze, 2022/silver",4.43,111,-,-,https://tabelog.com/tokyo/A1318/A131811/13249143/
,港区,六本木３丁目,六本木,東京都港区六本木3-1-1,35.6653635,139.7379918,エディション・コウジ シモムラ,フレンチ、イノベーティブ,BRONZE,"2025/bronze, 2020/bronze, 2019/bronze, 2018/-, 2017/-, 2023/hyakumeiten, 2021/hyakumeiten",4.04,607,"￥20,000～￥29,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1307/A130701/13042074/
,中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2-10-11,35.685642,139.7840497,江戸前晋作,天ぷら,BRONZE,"2025/bronze, 2023/hyakumeiten",4.06,230,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1302/A130204/13270572/
,新宿区,神楽坂５丁目,-,東京都新宿区神楽坂5-37,35.7013408,139.7391271,NK,日本料理、創作料理,SILVER,"2025/silver, 2024/silver, 2023/bronze, 2023/hyakumeiten",4.34,244,"￥40,000～￥49,999","￥40,000～￥49,999",https://tabelog.com/tokyo/A1309/A130905/13249655/
,渋谷区,恵比寿南１丁目,-,東京都渋谷区恵比寿南1-17-2,35.6446715,139.7104864,恵比寿 えんどう,寿司,BRONZE,"2025/bronze, 2022/hyakumeiten, 2021/hyakumeiten",3.91,309,"￥20,000～￥29,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1303/A130302/13231081/
,渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿1-11-5,35.6463317,139.7117979,蕃 YORONIKU,焼肉、ホルモン,SILVER,"2025/silver, 2024/silver, 2023/silver, 2022/silver, 2021/silver, 2020/silver, 2019/silver, 2018/-, 2024/hyakumeiten, 2023/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten, 2020/hyakumeiten, 2019/hyakumeiten, 2018/hyakumeiten",4.35,1566,"￥10,000～￥14,999",-,https://tabelog.com/tokyo/A1303/A130302/13211927/
,新宿区,荒木町７丁目,-,東京都新宿区荒木町7-13,35.6891044,139.7222649,オオクサ,焼き鳥,BRONZE,"2025/bronze, 2024/silver, 2023/silver, 2022/silver, 2021/bronze, 2024/hyakumeiten, 2023/hyakumeiten, 2022/hyakumeiten, 2021/hyakumeiten",4.37,376,"￥8,000～￥9,999",-,https://tabelog.com/tokyo/A1309/A130903/13240980/
,港区,芝大門１丁目,-,東京都港区芝大門1-2-2,35.6601761,139.7545584,御成門はる,日本料理,BRONZE,"2025/bronze, 2022/bronze, 2023/hyakumeiten, 2021/hyakumeiten",4.03,188,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1314/A131401/13233057/
,中央区,銀座１丁目,-,東京都中央区銀座1-14-6,35.6730276,139.7697806,おにく 花柳,牛料理,BRONZE,2025/bronze,4.00,173,"￥30,000～￥39,999",-,https://tabelog.com/tokyo/A1301/A130101/13278579/
,港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3-17-1,35.6640428,139.7464543,おみ乃 神谷町,焼き鳥、鳥料理,BRONZE,"2025/bronze, 2024/hyakumeiten, 2023/hyakumeiten, 2022/hyakumeiten",3.94,371,"￥15,000～￥19,999",-,https://tabelog.com/tokyo/A1307/A130704/13255846/
