指標名,大使館・領事館,,,,,,,
出典,外務省,,,,,,,
年次,2025/3/9取得,,,,,,,
URL,https://www.mofa.go.jp/mofaj/link/emblist/,,,,,,,
備考,（2020年度：159件、2021年度：159件、2022年度：154件、2023年度：152件、2024年度：155件）,,,,,,,
,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,施設名,英語名,エリア
品川区,荏原１丁目,-,東京都品川区荏原1丁目10-2,35.620629,139.715245,ザンビア共和国大使館,Embassy of the Republic of Zambia in Japan,アフリカ
港区,北青山２丁目,-,東京都港区北青山2-10-22　K2ビル,35.671564,139.715588,ジョージア大使館,Embassy of Georgia in Japan,ヨーロッパ
港区,虎ノ門４丁目,虎ノ門,東京都港区虎ノ門4-3-20 神谷町MTビル14階 41～43号室,35.663508,139.744635,マルタ共和国大使館,Embassy of the Republic of Malta to Japan,ヨーロッパ
港区,西新橋３丁目,虎ノ門,東京都港区西新橋3-13-7 VORT虎ノ門サウスビル10階,35.664461,139.750802,コソボ共和国大使館,Embassy of the Republic of Kosovo in Japan,ヨーロッパ
港区,芝公園４丁目,-,東京都港区芝公園3-4-30 32芝公園ビル9階（移転：令和5年5月29日）,35.65891,139.743828,ノルウェー王国大使館,Royal Norwegian Embassy in Japan,ヨーロッパ
港区,芝公園３丁目,虎ノ門,東京都港区芝公園3丁目6-3,35.661761,139.745816,オランダ王国大使館,Embassy of the Kingdom of the Netherlands in Japan,ヨーロッパ
港区,西麻布３丁目,-,東京都港区西麻布3-5-31,35.657156,139.725168,ウクライナ大使館,Embassy of Ukraine in Japan,ヨーロッパ
港区,西麻布３丁目,-,東京都港区西麻布3丁目16-19,35.657925,139.724507,ルーマニア大使館,Embassy of Romania in Japan,ヨーロッパ
港区,西麻布３丁目,-,東京都港区西麻布3丁目16-30,35.658358,139.726012,ギリシャ大使館,Embassy of Greece in Japan,ヨーロッパ
港区,西麻布３丁目,-,東京都港区西麻布3－6－6（移転：令和5年1月16日）,35.655652,139.726186,ポルトガル大使館,Embassy of Portugal in Japan,ヨーロッパ
港区,六本木１丁目,虎ノ門,東京都港区六本木1丁目3-29,35.665619,139.741502,スペイン王国大使館,Embassy of the Kingdom of Spain in Japan,ヨーロッパ
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-8-14,35.660122,139.741553,カザフスタン共和国大使館,Embassy of the Republic of Kazakhstan in Japan,ヨーロッパ
港区,麻布台２丁目,-,東京都港区麻布台2丁目1-1,35.659434,139.741336,ロシア連邦大使館,Embassy of the Russian Federation in Japan,ヨーロッパ
港区,元麻布１丁目,-,東京都港区元麻布1丁目1-20,35.655875,139.732792,オーストリア共和国大使館,Embassy of the Republic of Austria in Japan,ヨーロッパ
港区,元麻布２丁目,-,東京都港区元麻布2-11-33,35.654395,139.730484,スロバキア共和国大使館,Embassy of the Slovak Republic in Japan,ヨーロッパ
港区,元麻布３丁目,-,東京都港区元麻布3-5-1,35.656853,139.728312,サンマリノ共和国大使館,Embassy of the Republic of San Marino in Japan,ヨーロッパ
港区,元麻布３丁目,-,東京都港区元麻布3-7-18,35.656275,139.729737,リトアニア共和国大使館,Embassy of the Republic of Lithuania in Japan,ヨーロッパ
港区,南麻布４丁目,-,東京都港区南麻布4－6－28 ヨーロッパハウス4階,35.650026,139.72709,キプロス共和国大使館,Embassy of the Republic of Cyprus in Japan,ヨーロッパ
港区,南麻布４丁目,-,東京都港区南麻布4丁目5-10,35.650781,139.725207,ドイツ連邦共和国大使館,Embassy of the Federal Republic of Germany in Japan,ヨーロッパ
