,,,,,,,,,,,,
指標名,国際会議,,,,,,,,,,,
出典,日本政府観光局（JNTO）,,,,,,,,,,,
年次,2023年,,,,,,,,,,,
URL,https://mice.jnto.go.jp/document/statistics.html,,,,,,,,,,,
備考,（2018年：164件、2019年：110件、2020年：14件、2021年：1件、2022年：2件、2023年：78件）,,,,,,,,,,,
,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,会議名,期間（2023年）,"参加国数
（日本含）",外国人参加者数,国内参加者数,参加者総数
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前５丁目５３−７０,35.66232069,139.7083123,国連大学,ESD-Net 2030 グローバル会合,12/18～12/20,79,144,61,205
新宿区,戸塚町１丁目,-,東京都新宿区戸塚町１丁目１０４,35.70877432,139.7196449,早稲田大学,第5回アジア太平洋研究公正ネットワークミーティング2023,03/20～03/22,15,73,121,194
新宿区,西新宿２丁目,-,東京都新宿区西新宿２丁目２−１,35.69026087,139.6942564,京王プラザホテル,第1回国際研究皮膚科学会(ISID2023),05/10～05/13,50,1802,792,2594
新宿区,西新宿２丁目,-,東京都新宿区西新宿２丁目４−１,35.68805475,139.6934932,新宿ＮＳビル,第1回国際研究皮膚科学会(ISID2023),同上,同上,同上,同上,同上
新宿区,西新宿２丁目,-,京都新宿区西新宿２丁目７ー２,35.69151919,139.6908578,ハイアットリージェンシー東京,上原国際シンポジウム2023 - Big DataDriven Approaches with AI in Life Sciences ,06/05～06/07,8,15,83,98
新宿区,西新宿２丁目,-,東京都新宿区西新宿２丁目２−１,35.69025437,139.6942516,京王プラザホテル,第35回日本肝胆膵外科学会学術集会,06/30～07/01,20,144,1546,1690
新宿区,戸塚町１丁目,-,東京都新宿区戸塚町１丁目１０４,35.70877432,139.7196449,早稲田大学,第10回国際産業数理・応用数理会議,08/20～08/25,80,3547,922,4469
新宿区,市谷八幡町,-,東京都新宿区市谷八幡町2−８ TKP市ヶ谷ビル B1階 9階（事務所：2階,35.69227758,139.7345718,TKP市ヶ谷カンファレンスセンター,令和5年度第1回航空宇宙防衛力シンポジウム,09/26～09/26,4,4,62,66
新宿区,西新宿２丁目,-,東京都新宿区西新宿２丁目２−１,35.69025326,139.6942488,京王プラザホテル,第50回日本肩関節学会学術集会,10/13～10/14,7,49,1661,1710
新宿区,市谷本村町,-,東京都新宿区市谷本村町１０−５ JICA市ヶ谷ビル,35.69446907,139.7312848,JICA市ヶ谷ビル,第63回海外日系人大会「飛躍するニッケイ社会へ－期待される新世代のイニシアティブ」,10/16～10/18,18,181,110,291
新宿区,神楽坂１丁目,-,東京都新宿区神楽坂１丁目３,35.6998247,139.7414443,東京理科大学,16th International Symposium on Computer Music Multidisciplinary Research (CMMR 2023),11/13～11/17,18,73,88,161
新宿区,西新宿２丁目,-,東京都新宿区西新宿２丁目２−１,35.69025437,139.6942516,京王プラザホテル,Laser Week IV in Tokyo(第44回日本レーザー医学会総会、第35回日本レーザー歯学会総会・学術大会、第33回日本光線力学学会学術講演会、第35回日本脳神経外科光線力学学会の4学会合同開催),11/25～11/26,3,2,647,649
新宿区,西新宿２丁目,-,東京都新宿区西新宿２丁目２−１,35.69025437,139.6942516,京王プラザホテル,国際生活時間学会第45回大会,11/27～11/30,20,67,31,98
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関１丁目１−１,35.67591952,139.7549835,法務省,第42回刑事政策公開講演会　①国際法に基づき最も深刻な犯罪の解明と責任追及について　国際刑事裁判所の果たす役割 特に児童に対する犯罪に目を向けて－、②ケニアにおける少年司法制度の発展及び暴力犯罪に関わる児童の処遇,01/27～01/27,17,22,76,98
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目３−７,35.68857182,139.7623422,日経ホール&カンファレンスルーム,第52回日本神経放射線学会,02/16～02/18,3,2,274,276
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町１−２ 他,35.67998386,139.737947,東京ガーデンテラス紀尾井町,脱炭素都市国際フォーラム2023,03/01～03/01,5,8,50,58
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内３丁目２−１ 丸の内二重橋ビル B1～4F・7F,35.67758613,139.7610627,東京会館,東京国際仲裁フォーラム(ICC Tokyo Arbitration Day),04/18～04/18,10,75,112,187
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内３丁目５−１,35.67680388,139.7637639,東京国際フォーラム,第31回日本医学会総会2023東京,04/21～04/23,6,14,9986,10000
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内３丁目５−１,35.67674287,139.7637854,東京国際フォーラム,第63回日本呼吸器学会学術講演会,04/28～04/30,4,12,4451,4463
千代田区,霞が関３丁目,虎ノ門広域,東京都千代田区霞が関３丁目２−２,35.67140549,139.7486131,文部科学省,原子力損害の補完的な補償に関する条約(CSC)第3回締約国・署名国会合,06/06～06/08,14,30,25,55
千代田区,内幸町２丁目,-,東京都千代田区内幸町２丁目１−１ 飯野ビルディング 4F～6F,35.67088746,139.7528684,イイノホール&カンファレンスセンター,サステナブルファッションに関する日EU国際シンポジウム,06/20～06/20,3,3,80,83
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２丁目１−１ 如水会ビルディング,35.69202928,139.7583628,如水会館,フランス公正取引委員会訪日フォーラム,07/21～07/21,17,54,58,112
千代田区,平河町２丁目,-,東京都千代田区平河町２丁目４−１,35.68107511,139.7386188,都市センターホテル,第21回北東アジア標準協力フォーラム,07/24～07/26,5,64,50,114
千代田区,九段南４丁目,-,東京都千代田区九段南４丁目８−２４,35.69100896,139.7375724,日本大学,World Conference on Floating Solutions WCFS2023 Japan,08/28～08/29,18,48,72,120
