,,,,,,,,,,,,,,
,指標名,バス停,,,,,,,,,,,,
,出典,NAVITIME,,,,,,,,,,,,
,年次,2025/2/5 取得,,,,,,,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,,,,,,,
,備考,（2022年度：3590件、2023年度：3645件、2024年度：3652件）,,,,,,,,,,,,
,,,,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面1,方面2,種類
,千代田区,八重洲１丁目１０東京駅八重洲北口,日八京,東京都中央区八重洲１丁目１０ 東京駅八重洲北口,35.6822966,139.7698979,東京駅八重洲北口〔鉄鋼ビル〕,4,0.25,２３区内エリア-羽田空港(東京),空港連絡バス,羽田空港第３ターミナル（バス）方面,,バス停
,千代田区,八重洲１丁目１０東京駅八重洲北口,日八京,東京都中央区八重洲１丁目１０ 東京駅八重洲北口,35.6822966,139.7698979,東京駅八重洲北口〔鉄鋼ビル〕,4,0.25,浅草・秋葉原・東京・銀座-羽田空港〔早朝〕,空港連絡バス,羽田空港第３ターミナル（バス）方面,,バス停
,千代田区,八重洲１丁目１０東京駅八重洲北口,日八京,東京都中央区八重洲１丁目１０ 東京駅八重洲北口,35.6822966,139.7698979,東京駅八重洲北口〔鉄鋼ビル〕,4,0.25,成田空港-銀座・日比谷エリア,空港連絡バス,東京シティ・エアターミナル方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,ちばきたライナー(東京駅八重洲口→草野車庫),京成バス,草野車庫（千葉県）方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,マイタウン・ダイレクトバス：東京千城台線,高速バス,千城台駅方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,深夜急行：船橋・北習志野・八千代緑が丘方面,船橋新京成バス,鎌ヶ谷大仏（バス）方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,マイタウン・ダイレクト〔ユーカリが丘-東京〕,高速バス,ユーカリが丘（バス）方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,マイタウン・ダイレクト〔国立歴史民俗博物館-東京〕,高速バス,国立歴史民俗博物館方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,マイタウンライナーおゆみ野／ちはら台線,平和交通,ちはら台駅方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,幕張ベイエリア線,平和交通/あすか交通,平和交通本社方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,マイタウンライナー外房大網線〔深夜急行〕,平和交通,大網駅/山田インター入口方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,マイタウンライナー成田線〔深夜急行〕,平和交通,ＪＲ佐倉駅〔北口〕/ＪＲ成田駅〔東口〕方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,マイタウンライナー千葉ニュータウン線〔深夜急行〕,平和交通,新鎌ケ谷駅/印旛日本医大駅方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,マイタウンライナー勝田台・ユーカリが丘線〔深夜急行〕,平和交通,ユーカリが丘駅北入口方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,マイタウンライナー内房五井線〔深夜急行〕,平和交通,おゆみ野駅/五井駅東口方面,,バス停
,千代田区,八重洲１丁目６?１７大久保ビル1F,日八京,東京都中央区八重洲１丁目６?１７ 大久保ビル 1F,35.6815033,139.7698559,東京駅八重洲口前,32,0.03125,マイタウンライナー蘇我線〔深夜急行〕,平和交通,蘇我駅西口方面,,バス停
