指標名,バス停,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2023/1/27 取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2021年度：3,601件、2022年度：3568件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面1,方面2,種類
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,ひたち号：東京-日立・高萩,高速バス,日立駅/高萩駅（茨城県）方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,ノクターン号【3列車】：首都圏-青森,高速バス,弘前バスターミナル方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,萩エクスプレス：東京-山口・萩,高速バス,萩バスセンター方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-青森/シリウス号,高速バス,八戸中心街ターミナル〔三日町〕/七戸十和田駅〔南口〕方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,神奈川・東京-秋田/レイク＆ポート号,高速バス,横手バスターミナル/大曲バスターミナル方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-群馬/四万温泉号,高速バス,渋川駅前/四万温泉方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,あそう号：東京-香取神宮・佐原・潮来・麻生・鉾田,高速バス,佐原駅南口/鉾田駅方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-ひたちなか・東海,高速バス,勝田駅前〔東口〕/東海駅東口方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-宮城/ニュースター号〔東北急行バス〕,高速バス,仙台駅西口〔旧仙台ホテル前〕方面,-,バス停
千代田区,丸の内一丁目,大丸有,東京都中央区八重洲2丁目2東京駅八重洲南口(ﾊﾞｽ),35.679675,139.768259,東京駅〔八重洲南口〕,118,0.008475,東京-静岡/東京-富士・富士宮,高速バス,富士駅〔南口〕/富士宮駅方面,-,バス停
