指標名,スーパー,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/20 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：458件、2021年度：532件、2022年度：523件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
中央区,日本橋二丁目,日八京,東京都中央区日本橋2-5-1 日本橋高島屋S.C.新館1F,紀ノ國屋アントレ 日本橋高島屋S.C.店,その他スーパー,35.68128,139.773788
中央区,日本橋本町三丁目,日八京,東京都中央区日本橋本町3-4-7 大三新日本橋ビル,肉のハナマサ 新日本橋店,その他スーパー,35.689049,139.775072
中央区,勝どき三丁目,-,東京都中央区勝どき3-5-5,東武ストア 勝どき店,その他スーパー,35.658763,139.775951
中央区,日本橋二丁目,日八京,東京都中央区日本橋2-5-1 日本橋高島屋S.C.新館 B1F,Bio c Bon(ビオ セ ボン) 日本橋高島屋S.C.店,その他スーパー,35.68128,139.773788
中央区,新川二丁目,-,東京都中央区新川2-22-4,万英プロデュース 新川店,コープ,35.674104,139.782182
中央区,日本橋二丁目,日八京,東京都中央区日本橋2丁目4-1,MEIDI-YA STORE日本橋ストアー,その他スーパー,35.680824,139.773435
中央区,豊海町,-,東京都中央区豊海町3-16,クイーンズ伊勢丹お客さま相談担当,その他スーパー,35.653086,139.770919
港区,北青山三丁目,-,東京都港区北青山3-11-7 AoビルB1F,KINOKUNIYA INTERNATIONAL(紀ノ国屋インターナショナル),その他スーパー,35.663812,139.710655
港区,北青山三丁目,-,東京都港区北青山3-6-12 地下鉄表参道駅 改札内,OMO KINOKUNIYA(オモ キノクニヤ) エチカ表参道店,その他スーパー,35.665251,139.712092
港区,六本木七丁目,六本木,東京都港区六本木7-15-14 塩業会館ビル 1F,明治屋六本木ストアー,その他スーパー,35.6625,139.729797
港区,芝浦四丁目,-,東京都港区芝浦4-22-2 芝浦アイランド,ピーコックストア 芝浦アイランド店,その他スーパー,35.6413,139.7522
港区,白金台三丁目,-,東京都港区白金台3丁目16-8,いなげや白金台店,その他スーパー,35.636135,139.723093
港区,台場二丁目,-,東京都港区台場2-2-1,OK お台場店,その他スーパー,35.63026,139.780145
港区,赤坂一丁目,虎ノ門,東京都港区赤坂1-12-32 アーク森ビル1F,成城石井 赤坂アークヒルズ店,その他スーパー,35.667113,139.740135
港区,芝浦三丁目,-,東京都港区芝浦3-15-9,肉のハナマサ 芝浦店,その他スーパー,35.642178,139.747999
港区,麻布十番二丁目,-,東京都港区麻布十番2-5-9,ダイエー麻布十番店,ダイエー,35.656178,139.733709
港区,東麻布二丁目,-,東京都港区東麻布2-32-13,日進ワールドデリカテッセン,その他スーパー,35.656056,139.739929
港区,芝浦三丁目,-,東京都港区芝浦3-1-21 msb Tamachi 田町ステーションタワーS棟 1階,ライフ ムスブ田町店,その他スーパー,35.644751,139.749316
中央区,銀座八丁目,-,東京都中央区銀座8-10先,肉のハナマサ 銀座店,その他スーパー,35.667924,139.762291
港区,港南四丁目,-,東京都港区港南4-6-7,マルエツ 港南ワールドシティ店,その他スーパー,35.627474,139.75059
港区,芝四丁目,-,東京都港区芝4-16-2 カテリーナ三田イーストアーク101,マルエツ プチ 芝四丁目店,その他スーパー,35.6477,139.751033
港区,赤坂五丁目,赤坂,東京都港区赤坂5丁目3-1 赤坂Bizタワー,マルエツ プチ 赤坂Bizタワー店,その他スーパー,35.673175,139.736359
港区,六本木一丁目,虎ノ門,東京都港区六本木1-4-5 アークヒルズサウスタワー B1F アークキッチン内,福島屋 六本木店,その他スーパー,35.665703,139.739381
港区,白金一丁目,-,東京都港区白金1-17-2,クイーンズ伊勢丹白金高輪店,その他スーパー,35.644393,139.733901
港区,三田四丁目,-,東京都港区三田4-9-7 コンフォリア三田伊皿子坂 1F,ピーコックストア 三田伊皿子店,その他スーパー,35.640437,139.738313
港区,麻布十番二丁目,-,東京都港区麻布十番2-9-2,Bio c' Bon(ビオセボン) 麻布十番店,その他スーパー,35.655031,139.734427
港区,浜松町二丁目,-,東京都港区浜松町2-13-14 サンワード浜松町,まいばすけっと 浜松町駅南店,その他スーパー,35.653156,139.756363
港区,新橋五丁目,虎ノ門広域,東京都港区新橋5-15-5 交通ビル,まいばすけっと 新橋5丁目店,その他スーパー,35.662101,139.75583
港区,芝五丁目,-,東京都港区芝5-16-2 VORT三田,まいばすけっと 芝5丁目店,その他スーパー,35.648707,139.746001
港区,麻布十番三丁目,-,東京都港区麻布十番3丁目9-5,ナニワヤ,その他スーパー,35.652685,139.734168
港区,海岸一丁目,-,東京都港区海岸1-10-30 アトレ竹芝タワー棟1F,Bio c' Bon(ビオセボン) アトレ竹芝店,その他スーパー,35.656162,139.762821
港区,六本木一丁目,虎ノ門,東京都港区六本木1-7-10 パークコート六本木ヒルトップ,まいばすけっと 六本木1丁目店,その他スーパー,35.663708,139.740305
港区,東麻布二丁目,-,東京都港区東麻布2-22-5 ベルス麻布,まいばすけっと 東麻布2丁目店,その他スーパー,35.656597,139.740662
