指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/20 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：609件、2021年度：668件、2022年度：899件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
新宿区,高田馬場一丁目,-,東京都新宿区高田馬場1-12-6,新宿諏訪神社,神社,35.709181,139.707698
新宿区,西新宿二丁目,-,東京都新宿区西新宿2-11-2,熊野神社(十二社熊野神社),神社,35.690199,139.688206
新宿区,西新宿八丁目,-,東京都新宿区西新宿8丁目14-10,成子天神社,神社,35.696157,139.692374
新宿区,百人町一丁目,-,東京都新宿区百人町1-11-16,皆中稲荷神社,神社,35.701014,139.699444
新宿区,歌舞伎町二丁目,-,東京都新宿区歌舞伎町2-17-5,稲荷鬼王神社,神社,35.697900,139.705318
新宿区,市谷八幡町,-,東京都新宿区市谷八幡町15,市谷亀岡八幡宮,神社,35.692734,139.733785
新宿区,大久保二丁目,-,東京都新宿区大久保2丁目27-18,夫婦木神社,神社,35.702338,139.703852
新宿区,下落合二丁目,-,東京都新宿区下落合2丁目7-12,氷川神社,神社,35.716721,139.699314
新宿区,西早稲田三丁目,-,東京都新宿区西早稲田3-5-43,水稲荷神社,神社,35.711244,139.715971
新宿区,西早稲田二丁目,-,東京都新宿区西早稲田2-1-11,穴八幡神社,神社,35.707326,139.717227
新宿区,須賀町,-,東京都新宿区須賀町5-6,須賀神社,神社,35.685260,139.722534
新宿区,赤城元町,-,東京都新宿区赤城元町1-10,赤城神社,神社,35.704837,139.736383
新宿区,北新宿三丁目,-,東京都新宿区北新宿3-16-18,鎧神社,神社,35.704528,139.692019
新宿区,左門町,-,東京都新宿区左門町17,田宮稲荷(お岩稲荷)神社,神社,35.685897,139.720818
新宿区,余丁町,-,東京都新宿区余丁町8-5,厳島神社抜弁天,神社,35.697615,139.713362
新宿区,大京町,-,東京都新宿区大京町6,大京神社,神社,35.685899,139.718724
新宿区,榎町,-,東京都新宿区榎町56,稲荷神社,神社,35.704169,139.728780
