指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2023/2/10取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,2020年度：645件、2021年度：679件、2022年度：728件,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,ポート名,緯度,経度,休止・再開・閉鎖情報,営業時間・備考
千代田区,有楽町一丁目,大丸有,東京都千代田区有楽町1-1-2,A4-12.東京ミッドタウン日比谷 / TOKYO MIDTOWN HIBIYA,35.673713,139.759173,-,営業時間 24時間 / Open for 24 hours
千代田区,大手町二丁目,大丸有,東京都千代田区大手町2-2-2,A4-13.アーバンネット大手町ビル / Urbannet Otemachi Building,35.685415,139.767666,-,営業時間 24時間 / Open for 24 hours
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-5-1,A4-14.東京国際フォーラム（有楽町駅ガード側）/ Tokyo International Forum (Yurakucho Station side),35.676946,139.763503,-,営業時間 24時間 / Open for 24 hours
千代田区,大手町二丁目,大丸有,東京都千代田区大手町2-7-1,A4-15.TOKIWAブリッジ / TOKIWA Bridge,35.686234,139.769481,-,営業時間 24時間 / Open for 24 hours
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2-11-1,A5-02.山王パークタワー /?Sanno Park,35.673571,139.740394,-,営業時間 24時間 / Open for 24 hours
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1-11-16,A5-03.参議院第二別館（永田町駅2番出口） /?Second Annex of House of Councillors（Nagatacho station No.2 Exit),35.678134,139.742407,-,営業時間 24時間 / Open for 24 hours
千代田区,内幸町二丁目,-,東京都千代田区内幸町2-1-6地先,"A5-04.日比谷パークフロント前（日比谷公園南面向い歩道上）/ In front of ""HIBIYA PARKFRONT"" Building（On the sidewalk of the southside of Hibiya Park）",35.670874,139.753598,-,営業時間 24時間 / Open for 24 hours
千代田区,永田町二丁目,赤坂,東京都千代田区永田町2-10-2,A5-06.APA HOTEL PRIDE〈国会議事堂前〉/ APA HOTEL PRIDE〈KOKKAIGIJIDOMAE〉,35.674576,139.741152,休止中（2023年2月時点）,営業時間 24時間 / Open for 24 hours
千代田区,内幸町二丁目,-,東京都千代田区内幸町2-2-2,A5-07.富国生命ビル / FUKOKUSEIMEI BLDG.,35.670677,139.755112,-,営業時間 24時間 / Open for 24 hours
千代田区,三番町,-,東京都千代田区三番町18,A6-01.東郷元帥記念公園 /?General Togo memory park,35.690733,139.740849,-,営業時間 24時間 / Open for 24 hours
千代田区,一番町,-,東京都千代田区一番町12,A6-02.いきいきプラザ一番町（西側駐輪場） /?Iki-iki Plaza Ichiban-cho(Western Cycle Port),35.687105,139.739902,-,営業時間 24時間 / Open for 24 hours
千代田区,二番町,-,東京都千代田区二番町5-25,A6-07.二番町センタービル /?Nibancho Center Building,35.6856,139.736096,-,営業時間 24時間 / Open for 24 hours
千代田区,二番町,-,東京都千代田区二番町8-8,A6-08.二番町ガーデン /?Nibancho Garden,35.685955,139.734152,-,営業時間 24時間 / Open for 24 hours
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町3-12,A6-09.紀尾井町ビル（北側） /?Kioicho Building(North side),35.682273,139.736938,-,営業時間 24時間 / Open for 24 hours
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町3-12,A6-10.紀尾井町ビル（西側） /?Kioicho Building(West side),35.682273,139.736938,-,営業時間 24時間 / Open for 24 hours
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-2,A6-11.東京ガーデンテラス紀尾井町 / Tokyo Garden Terrace kioicho,35.679695,139.736948,-,営業時間 24時間 / Open for 24 hours
千代田区,五番町,-,東京都千代田区五番町12-1,A6-13.番町会館 / Banchokaikan,35.688911,139.733391,-,営業時間 / Open平日 / Weekday 8:00-18:30土日祝日 / Weekend & Holidays: Closed
千代田区,五番町,-,東京都千代田区五番町1-9,A6-14.MG市ヶ谷ビルディング / MG Ichigaya Building,35.690788,139.736363,-,営業時間 24時間 / Open for 24 hours
千代田区,四番町,-,東京都千代田区四番町6-2,A6-15.東急番町ビル / Tokyu Bancho Building,35.689308,139.735827,-,営業時間 24時間 / Open for 24 hours
千代田区,一番町,-,東京都千代田区一番町2-2,A6-16.一番町第二TGビル / Ichibancho-daini TG Building,35.688411,139.744271,-,営業時間 24時間 / Open for 24 hours
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町1-2,A6-17.東京ガーデンテラス紀尾井町（プリンス通り側）/ Tokyo Garden Terrace kioicho (Prince Street Side),35.679695,139.736948,-,営業時間 24時間 / Open for 24 hours
千代田区,麹町六丁目,-,東京都千代田区麹町6-6-2,A6-19.東急四谷ビル / TOKYU Yotsuya building,35.685739,139.73208,-,営業時間 24時間 / Open for 24 hours
千代田区,麹町四丁目,-,東京都千代田区麹町4-5-21,A6-20.紀尾井町PREX / Kioicho PREX,35.683675,139.736838,-,営業時間 24時間 / Open for 24 hours
千代田区,麹町五丁目,-,東京都千代田区麹町5-4,A6-21.日本工営ビル / Nippon Koei Building,35.684956,139.733961,-,営業時間 24時間 / Open for 24 hours
千代田区,麹町二丁目,-,東京都千代田区麹町2-5-1,A6-22.半蔵門PREX South / Hanzomon PREX South,35.683684,139.740732,-,営業時間 24時間 / Open for 24 hours
千代田区,三番町,-,東京都千代田区三番町１,A6-23.セブン-イレブン千代田三番町店 / Seven-Eleven Chiyoda Sanbancho,35.689272,139.744907,-,営業時間 24時間 / Open for 24 hours
千代田区,隼町,-,東京都千代田区隼町4-1,A6-24.国立劇場 / National Theatre,35.681545,139.743379,-,営業時間 24時間 / Open for 24 hours
千代田区,平河町二丁目,-,東京都千代田区平河町2-7-4,A6-25.麹町仮住宅 / Kojimachi Temporary Housing,35.679465,139.740285,-,営業時間 24時間 / Open for 24 hours
千代田区,麹町一丁目,-,東京都千代田区麹町1-7-2,A6-26.相互半蔵門ビル / Sougo Hanzoumon Building,35.683367,139.743007,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町5-2,B1-01.十思公園 /?Jisshi Park,35.691103,139.777871,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋本石町四丁目,日八京,東京都中央区日本橋本石町4-4-3,B1-03.常盤公園（北側） /?Tokiwa Park(North Side),35.68797,139.769894,-,営業時間 24時間 / Open for 24 hours
中央区,東日本橋二丁目,-,東京都中央区東日本橋2-22-4,B1-04.産業会館 /?Industrial Hall,35.694017,139.78713,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋堀留町一丁目,-,東京都中央区日本橋堀留町1-1-1,B1-05.日本橋保健センター /? Nihonbashi Health Center,35.687412,139.778963,-,営業時間 24時間 / Open for 24 hours
中央区,日本橋小舟町,-,東京都中央区日本橋小舟町4-1,B1-06.伊場仙ビル / Ibasen Building,35.68754,139.777207,-,営業時間 24時間 / Open for 24 hours
