中央区,日本橋室町二丁目,日八京,東京都中央区日本橋室町2-1-1三井本館7階,35.686393,139.772921,三井記念美術館,050-5541-8600
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-6-2,35.678499,139.763369,三菱一号館美術館,03-3287-7001
港区,白金台四丁目,-,東京都港区白金台4-6-2,35.639391,139.726366,港区立郷土歴史館,03-6450-2869
新宿区,信濃町,-,東京都新宿区信濃町8,35.682619,139.71929,民音音楽博物館,03-5362-3555
千代田区,神田駿河台一丁目,-,東京都千代田区神田駿河台1-1,35.69753,139.761447,明治大学博物館,81-(3)-3296-4448
港区,六本木六丁目,六本木,東京都港区六本木6-10-1六本木ﾋﾙｽﾞ森ﾀﾜｰ,35.660416,139.729248,森美術館,03-6406-6100
千代田区,九段北三丁目,-,東京都千代田区九段北3-1-1,35.694038,139.742548,靖國神社遊就館,03-3261-8326
渋谷区,広尾三丁目,-,東京都渋谷区広尾3-12-36,35.653238,139.713715,山種美術館,03-5467-1101
新宿区,西早稲田一丁目,-,東京都新宿区西早稲田1-6-1,35.70915,139.719072,早稲田大学會津八一記念博物館,03-5286-3835
新宿区,西早稲田一丁目,-,東京都新宿区西早稲田1-6-1,35.70915,139.719072,早稲田大学坪内博士記念演劇博物館,03-5286-1829
港区,六本木五丁目,六本木,東京都港区六本木5-6-20,35.659703,139.734059,六本木ミュージアム,
千代田区,丸の内一丁目,大丸有,東京都千代田区丸の内1-9-1JR東京駅丸の内北口改札前,35.681185,139.768754,東京ステーションギャラリー,http://www.ejrcf.or.jp/gallery/
港区,六本木六丁目,六本木,東京都港区六本木6-10-1六本木ﾋﾙｽﾞ森ﾀﾜｰ52階,35.660416,139.729248,森アーツセンターギャラリー,
千代田区,丸の内二丁目,大丸有,東京都千代田区丸の内2-1-1明治生命館1F,35.622333,139.619273,静嘉堂文庫美術館,
新宿区,霞ヶ丘町,-,東京都新宿区霞ヶ丘町1-1明治神宮外苑,35.6788,139.717662,聖徳記念絵画館,http://www.meijijingugaien.jp/art-culture/seitoku-gallery/
港区,南青山六丁目,-,東京都港区南青山6-6-20K's南青山ﾋﾞﾙ1F,35.660144,139.718113,紅ミュージアム,https://www.isehanhonten.co.jp/
中央区,京橋一丁目,日八京,東京都中央区京橋1-7-2,35.678766,139.772066,アーティゾン美術館,https://www.artizon.museum/
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-4-2丸紅ﾋﾞﾙ3階,35.69055,139.760169,丸紅ギャラリー,
中央区,銀座三丁目,-,東京都中央区銀座3-3-5無印良品銀座6F,35.673341,139.765558,ATELIER MUJI GINZA,
港区,赤坂九丁目,六本木,東京都港区赤坂9-7-6東京ﾐｯﾄﾞﾀｳﾝﾐｯﾄﾞﾀｳﾝ･ｶﾞｰﾃﾞﾝ,35.667527,139.730464,21_21 DESIGN SIGHT,
港区,東新橋一丁目,虎ノ門広域,東京都港区東新橋1-5-3,35.665997,139.761498,旧新橋停車場　鉄道歴史展示室,http://www.ejrcf.or.jp/shinbashi/
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町1-1,35.675875,139.699897,明治神宮ミュージアム,http://www.meijijingu.or.jp
港区,六本木一丁目,虎ノ門,東京都港区六本木1-5-1,35.665078,139.741053,泉屋博古館東京,http://www.sen-oku.or.jp/
港区,南青山六丁目,-,東京都港区南青山6丁目15?1ﾖｯｸﾓｯｸﾐｭｰｼﾞｱﾑ,35.659569,139.713988,ヨックモックミュージアム,
渋谷区,渋谷一丁目,-,東京都渋谷区渋谷1-23-16cocotiB1F(DIESELSHIBUYA内),35.66203,139.70262,DIESEL ART GALLERY,http://www.diesel.co.jp/art
千代田区,一番町,-,東京都千代田区一番町25,35.686064,139.742579,半蔵門ミュージアム,
中央区,京橋三丁目,日八京,東京都中央区京橋3-7-6,35.675494,139.770663,国立映画アーカイブ,https://www.nfaj.go.jp
新宿区,西新宿三丁目,-,東京都新宿区西新宿3-20-2東京ｵﾍﾟﾗｼﾃｨﾀﾜｰ4F,35.682938,139.686854,NTTインターコミュニケーション・センター [ICC],http://www.ntticc.or.jp/
中央区,日本橋蛎殻町一丁目,-,東京都中央区日本橋蛎殻町1-35-7,35.681652,139.785882,ミュゼ浜口陽三・ヤマサコレクション,http://www.yamasa.com/musee/
新宿区,西新宿三丁目,-,東京都新宿区西新宿3-20-2,35.682938,139.686854,東京オペラシティ アートギャラリー,http://www.operacity.jp/ag/
中央区,銀座八丁目,-,東京都中央区銀座8-8-3東京銀座資生堂ﾋﾞﾙ地下1階,35.668555,139.761853,資生堂ギャラリー,http://www.shiseido.co.jp/gallery/
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-5-1東京国際ﾌｫｰﾗﾑｶﾞﾗｽ棟地下1階,35.676946,139.763503,相田みつを美術館,http://www.mitsuo.co.jp/
渋谷区,神南一丁目,-,東京都渋谷区神南1-12-18ﾒｿﾞﾝ渋谷8F,35.662382,139.700606,古代エジプト美術館,
渋谷区,神宮前三丁目,-,東京都渋谷区神宮前3-7-6,35.670668,139.713371,ワタリウム美術館,http://www.watarium.co.jp/
港区,赤坂九丁目,六本木,東京都港区赤坂9-7-1ﾐｯﾄﾞﾀｳﾝ･ﾀﾜｰ5F,35.666201,139.731234,東京ミッドタウン・デザインハブ,
中央区,銀座一丁目,-,東京都中央区銀座1-7-7ﾎﾟｰﾗ銀座ﾋﾞﾙ3階,35.67433,139.767869,ポーラ ミュージアム アネックス,
中央区,銀座三丁目,-,東京都中央区銀座3-9-11紙ﾊﾟﾙﾌﾟ会館5F,35.671177,139.767561,セントラルミュージアム銀座,
品川区,東品川二丁目,-,東京都品川区東品川2-6-10寺田倉庫G号,35.620908,139.748712,WHAT MUSEUM,
渋谷区,松涛一丁目,-,東京都渋谷区松涛1-11-3,35.661429,139.692793,戸栗美術館,http://www.toguri-museum.or.jp/
港区,赤坂九丁目,六本木,東京都港区赤坂9-7-4D-B117東京ﾐｯﾄﾞﾀｳﾝｶﾞﾚﾘｱ地下1階,35.666219,139.728961,とらや 東京ミッドタウン店ギャラリー,
千代田区,隼町,-,東京都千代田区隼町4-1,35.681545,139.743379,伝統芸能情報館,http://www.ntj.jac.go.jp/tradition.html
千代田区,有楽町一丁目,大丸有,東京都千代田区有楽町1-13-1,35.675899,139.760731,第一生命ギャラリー,
港区,六本木六丁目,六本木,東京都港区六本木6-6-9ﾋﾟﾗﾐﾃﾞﾋﾞﾙ1F,35.661844,139.731395,ペロタン東京,
千代田区,永田町一丁目,赤坂,東京都千代田区永田町1-10-1,35.678423,139.744235,国立国会図書館東京本館,http://www.ndl.go.jp/
新宿区,四谷四丁目,-,東京都新宿区四谷4-20四谷ひろば内,35.689821,139.717865,東京おもちゃ美術館,http://goodtoy.org/ttm/
中央区,銀座三丁目,-,東京都中央区銀座3-6-18階ｲﾍﾞﾝﾄｽｸｴｱ,35.672274,139.766683,松屋銀座,http://www.matsuya.com/ginza/
新宿区,愛住町,-,東京都新宿区愛住町2-5,35.688335,139.718751,美術愛住館,http://aizumikan.com/
港区,芝公園四丁目,-,東京都港区芝公園4-2-8,35.658592,139.745441,東京タワー,http://www.tokyotower.co.jp/333/index.html
港区,高輪四丁目,-,東京都港区高輪4-7-15,35.629051,139.732282,物流博物館,http://lmuse.or.jp
千代田区,大手町一丁目,大丸有,東京都千代田区大手町1-2-1大手町ﾜﾝ3F,35.687856,139.763272,大手町三井ホール,
港区,南青山四丁目,-,東京都港区南青山4-18-9,35.663402,139.717585,秋山庄太郎写真芸術館,http://akiyama-shotaro.com/
港区,麻布台一丁目,虎ノ門,東京都港区麻布台1-5-3,35.661292,139.739386,外務省外交史料館,
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3丁目5番1号,35.676946,139.763503,東京国際フォーラム,
港区,南青山五丁目,-,東京都港区南青山5-6-23,35.663582,139.711749,スパイラル,http://www.spiral.co.jp
港区,三田二丁目,-,東京都港区三田2丁目15番45号,35.649254,139.742822,慶應義塾ミュージアム・コモンズ,
新宿区,霞ヶ丘町,-,東京都新宿区霞ヶ丘町4番2号JAPANSPORTOLYMPICSQUARE1･2F,35.674892,139.715143,日本オリンピックミュージアム,
中央区,日本橋二丁目,日八京,東京都中央区日本橋2-4-1日本橋高島屋S.C.本館4階･5階,35.680707,139.773569,高島屋史料館TOKYO,https://www.takashimaya.co.jp/shiryokan/tokyo/
新宿区,新宿三丁目,-,東京都新宿区新宿3丁目26番13号新宿中村屋ﾋﾞﾙ3階,35.691782,139.702183,中村屋サロン美術館,http://www.nakamuraya.co.jp/museum/
江東区,新木場一丁目,-,東京都江東区新木場1-7-22新木場ﾀﾜｰ3F/4F,35.645765,139.831773,木材・合板博物館,https://www.woodmuseum.jp/
港区,南青山六丁目,-,東京都港区南青山6-1-19,35.661308,139.715544,岡本太郎記念館,http://taro-okamoto.or.jp/
中央区,日本橋三丁目,日八京,東京都中央区日本橋3-1-6,35.680821,139.771946,UNPEL GALLERY,
渋谷区,神宮前五丁目,-,東京都渋谷区神宮前5-1011GYREGALLERY/GYRE3F,35.665888,139.706358,GYRE GALLERY,
中央区,銀座三丁目,-,東京都中央区銀座3-5-3ｼｬﾈﾙ銀座ﾋﾞﾙﾃﾞｨﾝｸﾞ4階,35.67303,139.766458,シャネル・ネクサス・ホール,
品川区,西五反田六丁目,-,東京都品川区西五反田6-6-19,35.623162,139.717259,TOC五反田メッセ,
千代田区,北の丸公園,-,東京都千代田区北の丸公園3-2,35.690225,139.753873,国立公文書館,https://www.archives.go.jp/
港区,三田二丁目,-,東京都港区三田2-15-45慶應義塾三田ｷｬﾝﾊﾟｽ内慶應義塾図書館旧館2階,35.649451,139.743772,福澤諭吉記念 慶應義塾史展示館,https://history.keio.ac.jp/
渋谷区,神南一丁目,-,東京都渋谷区神南1-19-8渋谷区立勤労福祉会館1F,35.662555,139.699637,東京都渋谷公園通りギャラリー,
中央区,月島一丁目,-,東京都中央区月島1-14-7,35.665803,139.782302,Temporary Contemporary,
港区,芝公園四丁目,-,東京都港区芝公園4-7-35,35.65742,139.748216,増上寺宝物展示室,http://www.zojoji.or.jp/takara/
千代田区,外神田六丁目,-,東京都千代田区外神田6-11-143331ArtsChiyoda201･202,35.704213,139.770832,アキバタマビ21,http://www.akibatamabi21.com
港区,南麻布五丁目,-,東京都港区南麻布5-11-12togoBldg.B1,35.653242,139.722882,EMON PHOTO GALLERY,
中央区,日本橋一丁目,日八京,東京都中央区日本橋1-12-10たいめいけんﾋﾞﾙ5F,35.682532,139.775627,凧の博物館,
品川区,大崎一丁目,-,東京都品川区大崎1-6-2大崎ﾆｭｰｼﾃｨｰ2号館2F,35.620938,139.729124,O美術館,
千代田区,丸の内三丁目,大丸有,東京都千代田区丸の内3-4-1新国際ﾋﾞﾙ1F,35.676616,139.762183,GOOD DESIGN Marunouchi,https://www.g-mark.org/gdm/
江東区,白河一丁目,-,東京都江東区白河1-3-28,35.681091,139.800553,江東区深川江戸資料館,
新宿区,弁天町,-,東京都新宿区弁天町107,35.703189,139.726506,草間彌生美術館,
新宿区,百人町一丁目,-,東京都新宿区百人町1-1-8,35.698759,139.701568,WHITEHOUSE,
中央区,日本橋室町一丁目,日八京,東京都中央区?本橋室町1-6-2 ?本橋室町162ﾋﾞﾙ1F,35.68523,139.774712,日本橋アナーキー文化センター,
渋谷区,千駄ケ谷五丁目,-,東京都渋谷区千駄ヶ谷5-20-11 1B,35.683029,139.703562,Gallery10[TOH],
渋谷区,神宮前一丁目,-,東京都渋谷区神宮前1-11-6 ﾗﾌｫｰﾚ原宿6F,35.669094,139.705543,ラフォーレミュージアム原宿,
渋谷区,神宮前五丁目,-,東京都渋谷区神宮前5-11-1,35.666967,139.706547,The Mass,
港区,六本木五丁目,六本木,東京都港区六本木5-2-4 ANB Tokyo 2F,35.662314,139.733848,ANB Tokyo,
渋谷区,宇田川町,-,東京都渋谷区宇田川町15-1 渋谷ﾊﾟﾙｺ4F,35.662025,139.698989,PARCO MUSEUM TOKYO,
港区,新橋六丁目,虎ノ門広域,東京都港区新橋6-19-15,35.660765,139.753423,東京美術倶楽部,
