指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/17 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：423件、2021年度：912件、2022年度：959件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
中央区,日本橋浜町二丁目,-,東京都中央区日本橋浜町2-59-1,中央区総合スポーツセンター,スポーツ施設/運動公園,35.687799,139.789413
中央区,銀座二丁目,-,東京都中央区銀座2-11-8 ラウンドクロス銀座2丁目 5F,ライザップ 銀座店,スポーツクラブ/フィットネスクラブ,35.672134,139.768982
中央区,日本橋一丁目,日八京,東京都中央区日本橋1-16-3 日本橋木村ビル 2F,ライザップゴルフ 日本橋店,ゴルフ練習場,35.682292,139.77683
中央区,八丁堀三丁目,-,東京都中央区八丁堀3-17-9,京華スクエア,スポーツ施設/運動公園,35.675083,139.775312
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町5-1,十思スクエア,スポーツ施設/運動公園,35.69111,139.776994
中央区,月島一丁目,-,東京都中央区月島1-9-2,月島スポーツプラザ,スポーツ施設/運動公園,35.66514,139.782981
中央区,豊海町,-,東京都中央区豊海町3-19,豊海テニス場,スポーツ施設/運動公園,35.6534,139.77129
中央区,銀座一丁目,-,東京都中央区銀座1-2-1 東京都高速道路紺屋ビル 2F,ゴールドジム 銀座東京,スポーツクラブ/フィットネスクラブ,35.67519,139.767851
中央区,銀座三丁目,-,東京都中央区銀座3丁目4-12 文祥堂銀座ビルB1・B2F,ゴールドジム 銀座中央,スポーツクラブ/フィットネスクラブ,35.672581,139.765488
中央区,京橋三丁目,日八京,東京都中央区京橋3-7-1 京橋相互館110タワー B1F,FEELCYCLE(フィールサイクル) 銀座京橋,スポーツクラブ/フィットネスクラブ,35.675748,139.77008
中央区,銀座四丁目,-,東京都中央区銀座4-4-1 銀座清水ビル B1F,jump one Ginza.4(ジャンプ ワン ギンザフォー),スポーツクラブ/フィットネスクラブ,35.672317,139.765008
中央区,銀座四丁目,-,東京都中央区銀座4-9-5 銀昭ビル B1F,EXPA(エクスパ) 銀座店,スポーツクラブ/フィットネスクラブ,35.670611,139.767066
中央区,銀座四丁目,-,東京都中央区銀座4-4-1 八光ビルB1F,PLA YGROUND(プレイ グラウンド) 銀座,スポーツクラブ/フィットネスクラブ,35.672394,139.765178
中央区,銀座五丁目,-,東京都中央区晴海5丁目9番,中央区立晴海運動場,スポーツ施設/運動公園,35.670374,139.765785
中央区,八重洲一丁目,日八京,東京都中央区八重洲2-1 八重洲地下街内,Dr.(ドクター)ストレッチ 八重洲地下街店,スポーツスクール/体験,35.680353,139.769219
中央区,銀座二丁目,-,東京都中央区銀座2-6-5 銀座トレシャス8F,サーフフィットスタジオ,スポーツクラブ/フィットネスクラブ,35.673648,139.767151
中央区,銀座五丁目,-,東京都中央区銀座5-4-9 ニューギンザ5ビル 5F,Luxool(ラグール)銀座,スポーツクラブ/フィットネスクラブ,35.671374,139.762792
中央区,湊一丁目,-,東京都中央区湊1-1-2 桜川屋上公園内,桜川ゲートボール場,スポーツ施設/運動公園,35.673499,139.77891
中央区,日本橋本町一丁目,日八京,東京都中央区日本橋本町1-4-9 ミヤギ日本橋ビル 1-2F,エニタイムフィットネス 日本橋本町店,スポーツクラブ/フィットネスクラブ,35.686526,139.776331
中央区,日本橋馬喰町二丁目,-,東京都中央区日本橋馬喰町2-3-2 セントピアビル 1F,エニタイムフィットネス 日本橋馬喰町店,スポーツクラブ/フィットネスクラブ,35.695445,139.782262
中央区,八丁堀三丁目,-,東京都中央区八丁堀3-14-2 東八重洲シティービル B1F,エニタイムフィットネス 八丁堀店,スポーツクラブ/フィットネスクラブ,35.675777,139.775791
中央区,銀座七丁目,-,東京都中央区銀座7-16-21 木挽ビル B1,エニタイムフィットネス 東銀座店,スポーツクラブ/フィットネスクラブ,35.667002,139.765667
中央区,日本橋浜町三丁目,-,東京都中央区日本橋浜町3-3-1 トルナーレ日本橋浜町 1F(113),エニタイムフィットネス 日本橋浜町店,スポーツクラブ/フィットネスクラブ,35.684803,139.788005
中央区,築地三丁目,-,東京都中央区築地3-9-10 築地ビルディング 2階,FASTGYM24 築地店,スポーツクラブ/フィットネスクラブ,35.668082,139.773018
中央区,日本橋人形町一丁目,-,東京都中央区日本橋人形町1-4-10 人形町センタービル 2階,FASTGYM24 人形町店,スポーツクラブ/フィットネスクラブ,35.685783,139.781783
中央区,銀座四丁目,-,東京都中央区銀座4-3-1 並木館銀座8F,ミットネス 銀座店,スポーツクラブ/フィットネスクラブ,35.672547,139.764689
中央区,銀座五丁目,-,東京都中央区銀座5-8-9 BINO銀座B2F,FEELCYCLE Ginza,スポーツクラブ/フィットネスクラブ,35.670099,139.764546
中央区,銀座七丁目,-,東京都中央区銀座7-13-12 サクセス銀座7ビル2F,ライザップ 汐留店,スポーツクラブ/フィットネスクラブ,35.667422,139.763926
中央区,銀座四丁目,-,東京都中央区銀座4-8-4 三原ビルディング 3F,GOLFTEC(ゴルフテック) 銀座ANNEX店,ゴルフ練習場,35.670797,139.766765
中央区,晴海一丁目,-,東京都中央区晴海1-3-29,月島運動場,スポーツ施設/運動公園,35.65915,139.786347
中央区,明石町,-,東京都中央区明石町8-1 聖路加タワー B2F,東急スポーツオアシス聖路加ガーデン店,スポーツクラブ/フィットネスクラブ,35.666942,139.778492
中央区,八丁堀四丁目,-,東京都中央区八丁堀4-9-13 ニチレックビル 2階,FASTGYM24 八丁堀店,スポーツクラブ/フィットネスクラブ,35.674238,139.777009
中央区,銀座二丁目,-,東京都中央区銀座2-2-14,ビューティーテラス マロニエゲート銀座1店,スポーツクラブ/フィットネスクラブ,35.674322,139.765448
中央区,新川二丁目,-,東京都中央区新川2-6-3,武神館 手塚道場,スポーツスクール/体験,35.676493,139.781486
中央区,銀座四丁目,-,東京都中央区銀座4-2-17 銀座111レジャービル13F,ストレッチ専門店Dr.ストレッチ 銀座数寄屋橋店,スポーツスクール/体験,35.672815,139.76415
中央区,銀座三丁目,-,東京都中央区銀座3-3-1 ZOE銀座 4F,ホットヨガスタジオLAVA(ラバ) 銀座本店,スポーツスクール/体験,35.673405,139.765839
中央区,月島三丁目,-,東京都中央区月島3-13-7 マルベリー月島 2F,Fit Bit(フィット ビット) 月島店,スポーツスクール/体験,35.66177,139.780794
中央区,佃二丁目,-,東京都中央区佃2-2-9,フィットネス&スパNAS(ナス) リバーシティ21,スポーツクラブ/フィットネスクラブ,35.669075,139.786377
中央区,新富一丁目,-,東京都中央区新富1-6-17 TDKビル,PREMIUM LIFE FITNESS(プレミアムライフフィットネス) 新富町店,スポーツクラブ/フィットネスクラブ,35.672875,139.773405
中央区,銀座二丁目,-,東京都中央区銀座2-8-12 ユニデン銀座ビル 9F・10F,b-monster GINZA studio(ビーモンスター ギンザ スタジオ),スポーツクラブ/フィットネスクラブ,35.672518,139.767704
中央区,銀座八丁目,-,東京都中央区銀座8-11-13エリザベスビル3F,SKY GOLF SCHOOL(スカイゴルフスクール),ゴルフ練習場,35.667789,139.762796
中央区,日本橋人形町一丁目,-,東京都中央区日本橋人形町1-17-7 ナンヤビル 5F,櫻井ゴルフスタジオ,ゴルフ練習場,35.685197,139.782961
中央区,銀座六丁目,-,東京都中央区銀座6-10-1 GINZA SIX内,BEAUTY TERRACE GINZA -DRESS CIRCLE-(ビューティー テラス ギンザ ドレス サークル) GINZA SIX店,スポーツクラブ/フィットネスクラブ,35.669656,139.763988
中央区,銀座四丁目,-,東京都中央区銀座4-2-17 銀座111レジャービル 11-13F,美健LABO フィットネス館,スポーツクラブ/フィットネスクラブ,35.672815,139.76415
中央区,勝どき一丁目,-,東京都中央区勝どき1-1 プラザ勝どき A棟2F,スポーツクラブNAS 勝どき,スポーツクラブ/フィットネスクラブ,35.661231,139.77647
中央区,銀座四丁目,-,東京都中央区銀座4-3-1 並木館10F,LOIVE-plus-(ロイブプラス) 銀座店,スポーツクラブ/フィットネスクラブ,35.672547,139.764689
中央区,築地一丁目,-,東京都中央区築地1-13-1 銀座松竹スクエア 2F,PGM ゴルフアカデミー 銀座,スポーツスクール/体験,35.668154,139.769481
中央区,日本橋二丁目,日八京,東京都中央区日本橋2-5-1 日本橋高島屋S.C.新館4F,ニュートラルワークス.ニホンバシ 日本橋高島屋S.C.店,スポーツクラブ/フィットネスクラブ,35.68128,139.773788
中央区,銀座一丁目,-,東京都中央区銀座1-8-19 3F,Face Lift Lesson(フェイス レフト レッスン) スタジオ,スポーツクラブ/フィットネスクラブ,35.674358,139.768724
中央区,日本橋二丁目,日八京,東京都中央区日本橋2-2-20 日本橋仲通りビル 6F,CREBIQ(クレビック) 東京日本橋店,スポーツクラブ/フィットネスクラブ,35.682031,139.772017
中央区,銀座三丁目,-,東京都中央区銀座3-9-2,ヨガ教室ノア 銀座校,スポーツクラブ/フィットネスクラブ,35.671928,139.768133
中央区,八丁堀二丁目,-,東京都中央区八丁堀2-30-16 T&Yビル 2・3F,TRY Fitness & Sports Space(トライ フィットネス アンド スポーツ スペース),スポーツクラブ/フィットネスクラブ,35.675963,139.778807
中央区,銀座四丁目,-,東京都中央区銀座4-1 西銀座 B2F,エクササイズコーチ 銀座店,スポーツクラブ/フィットネスクラブ,35.673064,139.763533
中央区,銀座四丁目,-,東京都中央区銀座4-14-6 ウイント銀座8ヒル4F,RDC GYM(アールディーシージム),スポーツクラブ/フィットネスクラブ,35.66916,139.768902
中央区,日本橋人形町三丁目,-,東京都中央区日本橋人形町3-2-3 セイビ人形町ビル別館 1F・3F,SALUTEM GYM & STRETCH(ソルテム ジム アンド ストレッチ),スポーツクラブ/フィットネスクラブ,35.686273,139.780005
中央区,日本橋蛎殻町二丁目,-,東京都中央区日本橋蛎殻町2-6-8 森田ビル 2F,BODY CONTROL(ボディ コントロール) 水天宮スタジオ,スポーツクラブ/フィットネスクラブ,35.683886,139.785957
