0,1,2,3,4,5,6,7,8
,,,,,,,,
,指標名,コンビニ,,,,,,
,出典,navitime,,,,,,
,年次,2026/01/16取得,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,
,備考,(2023年度：2301件、2024年度：2318件、2025年度：2266件),,,,,,
,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,施設名,種類
,千代田区,飯田橋３丁目,-,千代田区飯田橋3-10-8,35.7007849,139.7491568,NewDays エドモント飯田橋,NewDays
,千代田区,霞が関１丁目,虎ノ門広域,千代田区霞が関1-2-2,35.673259,139.7530429,セブンイレブン 中央合同庁舎5号館店,セブンイレブン
,千代田区,永田町１丁目,赤坂,千代田区永田町1-11-28,35.678604,139.7408902,ローソン 永田町一丁目店,ローソン
,千代田区,大手町１丁目,大丸有,千代田区大手町1-6-1半蔵門線大手町駅構内,35.6853494,139.7632784,ナチュラルローソン NL大手町西メトロピア店,ローソン
,千代田区,九段南３丁目,-,千代田区九段南3-1-1,35.6922539,139.7434717,セブンイレブン 九段南大妻通り店,セブンイレブン
,千代田区,外神田４丁目,-,千代田区外神田4-6-1,35.7019661,139.7719078,ファミリーマート 外神田四丁目店,ファミリーマート
,千代田区,内幸町２丁目,-,千代田区内幸町2-2-2,35.6708506,139.7552752,ファミリーマート 内幸町富国生命ビル店,ファミリーマート
,千代田区,神田神保町２丁目,-,千代田区神田神保町2-2,35.6964345,139.757755,セブンイレブン 神田神保町2丁目店,セブンイレブン
,千代田区,外神田２丁目,-,千代田区外神田2-14-7,35.7027427,139.7693074,セブンイレブン 外神田2丁目妻恋坂店,セブンイレブン
,千代田区,麹町５丁目,-,千代田区麹町5-7-13,35.6824137,139.7348934,セブンイレブン 紀尾井坂店,セブンイレブン
,千代田区,紀尾井町,赤坂,千代田区紀尾井町7-1,35.6841522,139.7327545,セブンイレブン 上智大学店,セブンイレブン
,千代田区,神田須田町１丁目,-,千代田区神田須田町1-2-3,35.6950356,139.7678103,セブンイレブン 神田須田町1丁目店,セブンイレブン
,千代田区,神田三崎町２丁目,-,千代田区神田三崎町2-22-1,35.7020385,139.7544269,NewDays 水道橋東口,NewDays
,千代田区,神田岩本町,-,千代田区神田岩本町1,35.6931483,139.7789467,デイリーヤマザキ 神田岩本町店,デイリーヤマザキ
,千代田区,岩本町３丁目,-,千代田区岩本町3-3-6,35.6952883,139.7764398,デイリーヤマザキ 岩本町3丁目店,デイリーヤマザキ
,千代田区,神田三崎町３丁目,-,千代田区神田三崎町3-7-1金沢ビル1階,35.701331,139.7521722,ファミリーマート 水道橋西通り店,ファミリーマート
,千代田区,神田錦町２丁目,-,千代田区神田錦町2-2-1,35.6931713,139.7632877,ローソン 神田スクエア店,ローソン
,千代田区,霞が関１丁目,虎ノ門広域,千代田区霞が関1-1-4地下1階,35.67528110000001,139.7523823,ファミリーマート 東京高等裁判所内店,ファミリーマート
,千代田区,紀尾井町,赤坂,千代田区紀尾井町1-2,35.6794453,139.737261,ファミリーマート ファミマ東京ガーデンテラス店,ファミリーマート
,千代田区,霞が関３丁目,虎ノ門広域,千代田区霞が関3-2-5霞が関ビルディング,35.6712436,139.7471765,ファミリーマート ファミマ霞が関ビルディング店,ファミリーマート
,千代田区,神田司町２丁目,-,千代田区神田司町2-2-13,35.6923842,139.767644,ファミリーマート 神田司町店,ファミリーマート
,千代田区,神田佐久間町１丁目,-,千代田区神田佐久間町1-6-10,35.698958,139.7742547,ファミリーマート TX秋葉原駅店,ファミリーマート
,千代田区,六番町,-,千代田区六番町1,35.6877592,139.7350358,ファミリーマート 六番町日テレ前店,ファミリーマート
