0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
,指標名,駅,,,,,,,,,,
,出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,
,年次,2025(対象区は更新なし),,,,,,,,,,
,URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,
,備考,新幹線駅除く。,,,,,,,,,,
,,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,乗降客数（2023年度）,駅コード（路線別）,駅コード（路線不問）
,千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681753,139.764708,東京,丸ノ内線,東京地下鉄,186253,2800209,1130101
,中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町１－４－６,35.679752,139.780005,茅場町,日比谷線,東京地下鉄,0,2800310,2800310
,千代田区,神田小川町１丁目,-,東京都千代田区神田淡路町１－２,35.695434,139.767575,淡路町,丸ノ内線,東京地下鉄,54977,2800207,1131203
,新宿区,四谷３丁目,-,東京都新宿区四谷３－８,35.687958,139.720103,四谷三丁目,丸ノ内線,東京地下鉄,41217,2800215,2800215
,千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１丁目,35.67459,139.76017,日比谷,千代田線,東京地下鉄,90430,2800512,1130225
,千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681753,139.764708,東京,京浜東北線,東日本旅客鉄道,0,1133222,1130101
,新宿区,四谷１丁目,-,東京都新宿区四谷１丁目,35.684586,139.729947,四ツ谷,丸ノ内線,東京地下鉄,111376,2800214,1131102
,千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目,35.686564,139.7662,大手町,丸ノ内線,東京地下鉄,312041,2800208,2800208
,千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681753,139.764708,東京,京浜東北線,東日本旅客鉄道,0,1133222,1130101
,新宿区,西新宿８丁目,-,東京都新宿区西新宿６－７－５１,35.694298,139.692778,西新宿,丸ノ内線,東京地下鉄,77992,2800219,2800219
,新宿区,新宿３丁目,-,東京都新宿区新宿３－１４－１,35.690853,139.704828,新宿三丁目,丸ノ内線,東京地下鉄,142867,2800217,2800217
,新宿区,新宿１丁目,-,東京都新宿区新宿１－８－１,35.688588,139.71069,新宿御苑前,丸ノ内線,東京地下鉄,47369,2800216,2800216
,新宿区,新宿３丁目,-,東京都新宿区西新宿一丁目西口地下街１号,35.689729,139.700464,新宿,丸ノ内線,東京地下鉄,193170,2800218,1130208
,千代田区,飯田橋３丁目,-,東京都千代田区飯田橋四丁目１０－３,35.701934,139.743669,飯田橋,東西線,東京地下鉄,150786,2800406,1131316
,新宿区,神楽坂６丁目,-,東京都新宿区矢来町１１２,35.70379,139.734546,神楽坂,東西線,東京地下鉄,38583,2800405,2800405
,新宿区,高田馬場２丁目,-,東京都新宿区高田馬場一丁目３５－１,35.712677,139.703715,高田馬場,東西線,東京地下鉄,167360,2800403,1130210
,新宿区,早稲田町,-,東京都新宿区早稲田南町１２,35.705723,139.721319,早稲田,東西線,東京地下鉄,76014,2800404,2800404
,千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681753,139.764708,東京,京葉線,東日本旅客鉄道,0,1132601,1130101
,中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町１－４－６,35.679752,139.780005,茅場町,東西線,東京地下鉄,0,2800411,2800310
,江東区,門前仲町２丁目,-,東京都江東区門前仲町１丁目,35.671851,139.796209,門前仲町,東西線,東京地下鉄,101848,2800412,2800412
,江東区,木場５丁目,-,東京都江東区木場５－５－１,35.669351,139.807042,木場,東西線,東京地下鉄,69105,2800413,2800413
,千代田区,九段南１丁目,-,東京都千代田区九段南１－６－１,35.695589,139.751948,九段下,東西線,東京地下鉄,258062,2800407,2800407
,千代田区,一ツ橋１丁目,-,東京都千代田区一ツ橋１－１－１,35.690662,139.756817,竹橋,東西線,東京地下鉄,40940,2800408,2800408
,江東区,新砂３丁目,-,東京都江東区南砂３－１１－８５,35.668796,139.83065,南砂町,東西線,東京地下鉄,58300,2800415,2800415
,中央区,日本橋２丁目,日八京,東京都中央区日本橋１丁目,35.682078,139.773516,日本橋,東西線,東京地下鉄,0,2800410,2800109
,江東区,東陽４丁目,-,東京都江東区東陽４－２－１,35.669629,139.817596,東陽町,東西線,東京地下鉄,111204,2800414,2800414
,千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目９－１,35.681753,139.764708,東京,山手線,東日本旅客鉄道,0,1130224,1130101
,千代田区,永田町２丁目,赤坂,東京都千代田区永田町一丁目１１－２８,35.678757,139.740258,永田町,南北線,東京地下鉄,72244,2800913,2800115
,千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681753,139.764708,東京,総武線,東日本旅客鉄道,0,1131401,1130101
,港区,麻布十番４丁目,-,東京都港区麻布十番４－４－９,35.654682,139.737051,麻布十番,南北線,東京地下鉄,41990,2800916,2800916
,千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681753,139.764708,東京,東海道線,東日本旅客鉄道,0,1130101,1130101
,新宿区,市谷田町１丁目,-,東京都千代田区五番町２－１,35.692972,139.736389,市ヶ谷,南北線,東京地下鉄,127095,2800911,1131315
,港区,六本木１丁目,虎ノ門,東京都港区六本木１－４－１,35.665595,139.739,六本木一丁目,南北線,東京地下鉄,68808,2800915,2800915
,港区,高輪１丁目,-,東京都港区高輪１－３－２０,35.642903,139.734104,白金高輪,南北線,東京地下鉄,59415,2800917,2800917
,千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681753,139.764708,東京,東海道線,東日本旅客鉄道,0,1130101,1130101
,中央区,築地１丁目,-,東京都中央区築地一丁目１－１,35.670462,139.773711,新富町,有楽町線,東京地下鉄,35708,2800620,2800312
,千代田区,麹町３丁目,-,東京都千代田区麹町三丁目２,35.684006,139.737613,麹町,有楽町線,東京地下鉄,54142,2800615,2800615
,千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目,35.681753,139.764708,東京,東海道線,東日本旅客鉄道,0,1130101,1130101
,江東区,豊洲３丁目,-,東京都江東区豊洲四丁目１－１,35.653792,139.795414,豊洲,有楽町線,東京地下鉄,202030,2800622,2800622
,千代田区,丸の内３丁目,大丸有,東京都千代田区有楽町一丁目１１－１,35.675714,139.763265,有楽町,有楽町線,東京地下鉄,134610,2800618,1130225
,中央区,月島１丁目,-,東京都中央区月島一丁目３－９,35.664871,139.784233,月島,有楽町線,東京地下鉄,67069,2800621,2800621
,千代田区,霞が関２丁目,虎ノ門広域,東京都千代田区霞が関二丁目１－１,35.677405,139.75149,桜田門,有楽町線,東京地下鉄,13025,2800617,2800617
,中央区,銀座１丁目,-,東京都中央区銀座一丁目７－１２,35.67435,139.767045,銀座一丁目,有楽町線,東京地下鉄,32240,2800619,2800111
,江東区,辰巳１丁目,-,東京都江東区辰巳一丁目１－４４,35.645576,139.81052,辰巳,有楽町線,東京地下鉄,27148,2800623,2800623
,江東区,新木場１丁目,-,東京都江東区新木場一丁目６,35.645832,139.826254,新木場,有楽町線,東京地下鉄,91236,2800624,1132605
,千代田区,丸の内１丁目,大丸有,東京都千代田区大手町１丁目,35.686564,139.7662,大手町,千代田線,東京地下鉄,312041,2800510,2800208
,千代田区,神田駿河台３丁目,-,東京都千代田区神田駿河台３丁目,35.698072,139.766014,新御茶ノ水,千代田線,東京地下鉄,83430,2800509,1131203
,千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目,35.681071,139.761948,二重橋前,千代田線,東京地下鉄,32782,2800511,2800511
,千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目,35.686564,139.7662,大手町,東西線,東京地下鉄,312041,2800409,2800208
,港区,六本木７丁目,六本木,東京都港区南青山１丁目,35.666572,139.726215,乃木坂,千代田線,東京地下鉄,39229,2800516,2800516
,港区,赤坂２丁目,赤坂,東京都港区赤坂５丁目,35.67323,139.738348,赤坂,千代田線,東京地下鉄,74174,2800515,2800515
,千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目,35.686564,139.7662,大手町,半蔵門線,東京地下鉄,312041,2800808,2800208
,千代田区,永田町１丁目,赤坂,東京都千代田区永田町１丁目,35.67393,139.745219,国会議事堂前,千代田線,東京地下鉄,0,2800514,2800212
,千代田区,神田神保町１丁目,-,東京都千代田区神田神保町２－２,35.695966,139.757606,神保町,新宿線,東京都,130940,9930406,2800807
,渋谷区,富ケ谷１丁目,-,東京都渋谷区富ケ谷１丁目,35.669187,139.689099,代々木公園,千代田線,東京地下鉄,27333,2800519,2500104
,千代田区,神田神保町１丁目,-,東京都千代田区神田神保町２－２,35.695966,139.757606,神保町,新宿線,東京都,130940,9930406,2800807
,千代田区,神田神保町１丁目,-,東京都千代田区神田神保町２－２,35.695966,139.757606,神保町,半蔵門線,東京地下鉄,81664,2800807,2800807
,渋谷区,神宮前６丁目,-,東京都渋谷区神宮前１丁目,35.669071,139.703995,明治神宮前,千代田線,東京地下鉄,96345,2800518,1130206
,千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町二丁目１３－１,35.693587,139.770899,神田,京浜東北線,東日本旅客鉄道,175758,1133221,1130223
,千代田区,神田神保町１丁目,-,東京都千代田区神田神保町２－２,35.695966,139.757606,神保町,半蔵門線,東京地下鉄,81664,2800807,2800807
,中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町２－１－１,35.682683,139.785377,水天宮前,半蔵門線,東京地下鉄,68185,2800810,2800309
,千代田区,神田佐久間町１丁目,-,東京都千代田区外神田一丁目１７－６,35.698889,139.774273,秋葉原,京浜東北線,東日本旅客鉄道,423996,1133220,1130222
,江東区,住吉２丁目,-,東京都江東区住吉２－２３－１２,35.689073,139.815681,住吉,半蔵門線,東京地下鉄,52392,2800814,2800814
,千代田区,神田佐久間町１丁目,-,東京都千代田区外神田一丁目１７,35.698889,139.774273,秋葉原,山手線,東日本旅客鉄道,423996,1130222,1130222
,千代田区,麹町１丁目,-,東京都千代田区麹町１－６,35.685703,139.74163,半蔵門,半蔵門線,東京地下鉄,71847,2800805,2800805
,中央区,日本橋本石町１丁目,日八京,東京都中央区日本橋室町１－８－１,35.687101,139.773594,三越前,半蔵門線,東京地下鉄,0,2800809,1131402
,千代田区,永田町１丁目,赤坂,東京都千代田区永田町１丁目,35.67393,139.745219,国会議事堂前,丸ノ内線,東京地下鉄,0,2800212,2800212
,江東区,清澄３丁目,-,東京都江東区白河１－７－１４,35.682105,139.798851,清澄白河,半蔵門線,東京地下鉄,54925,2800811,2800811
,千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台２丁目,35.7001875,139.7639511,御茶ノ水,JR中央・総武緩行線,東日本旅客鉄道,0,1131318,1131203
,千代田区,九段北１丁目,-,東京都千代田区九段南１－６－１,35.695589,139.751948,九段下,半蔵門線,東京地下鉄,258062,2800806,2800407
,千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関２丁目,35.673838,139.750899,霞ヶ関,丸ノ内線,東京地下鉄,128553,2800211,2800211
,千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関２丁目,35.673838,139.750899,霞ヶ関,千代田線,東京地下鉄,128553,2800513,2800211
,港区,高輪３丁目,-,東京都港区白金台２－２６－７,35.631679,139.730305,高輪台,浅草線,東京都,13185,9930206,9930206
,港区,芝４丁目,-,東京都港区芝５－３４－１０,35.64818,139.748775,三田,浅草線,東京都,0,9930208,9930208
,品川区,戸越３丁目,-,東京都品川区戸越３－４－１７,35.614633,139.716495,戸越,浅草線,東京都,20035,9930204,2600503
,中央区,日本橋１丁目,日八京,東京都中央区日本橋１丁目,35.682078,139.773516,日本橋,浅草線,東京都,87756,9930213,2800109
,港区,東新橋１丁目,虎ノ門広域,東京都港区新橋二丁目２１－１,35.665503,139.759644,新橋,浅草線,東京都,83515,9930210,1130102
,品川区,東五反田５丁目,-,東京都品川区東五反田一丁目２６－１４,35.625262,139.724175,五反田,浅草線,東京都,56569,9930205,1130202
,中央区,京橋２丁目,日八京,東京都中央区京橋２－１３－１１,35.675461,139.771767,宝町,浅草線,東京都,28494,9930212,2800110
,港区,高輪２丁目,-,東京都港区高輪２－１６－３４,35.638692,139.74002,泉岳寺,浅草線,東京都,195118,9930207,2700101
,中央区,銀座４丁目,-,東京都中央区銀座４－１２－１５,35.669464,139.767253,東銀座,浅草線,東京都,79058,9930211,2800313
,中央区,東日本橋１丁目,-,東京都中央区東日本橋３－１１－８,35.692126,139.784821,東日本橋,浅草線,東京都,75870,9930215,1131403
,港区,芝大門１丁目,-,東京都港区浜松町１－２７－１２,35.656785,139.75466,大門,浅草線,東京都,95470,9930209,9930121
,中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町２－６－５,35.686307,139.782285,人形町,浅草線,東京都,51427,9930214,2800309
,品川区,豊町６丁目,-,東京都品川区中延４－５－５,35.60571,139.712526,中延,浅草線,東京都,26456,9930203,2600404
,千代田区,永田町２丁目,赤坂,東京都千代田区永田町一丁目１１－２９,35.678757,139.740258,永田町,半蔵門線,東京地下鉄,72244,2800804,2800115
