0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,指標名,ミシュラン掲載レストラン,,,,,,,3つ星,特別な料理,
,出典,ミシュランガイド東京 2025,,,,,,,2つ星,優れた料理,
,年次,2025年,,,,,,,1つ星,高品質な料理,
,URL,https://guide.michelin.com/jp/ja/tokyo-region/restaurants,,,,,,,ビブグルマン,価格以上の満足感が得られる料理,
,備考,（2019年：318件、2020年：322件、2022年度：318件、2023年度：400件、2024年度：419件、2025年度：390件）,,,,,,,,,
,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,店舗名,カテゴリ,星数,価格帯,URL
,港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門2-6-2虎ノ門ヒルズステーションタワー4,35.6673323,139.7473131,アポテオーズ／apothéose,フランス料理,ミシュラン 一つ星: 優れた料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/apotheose
,港区,南青山２丁目,-,東京都港区南青山2-11-11,35.6712475,139.7209746,鮨 龍次郎／Sushi Ryujiro,寿司,ミシュラン 一つ星: 優れた料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-ryujiro
,港区,西麻布１丁目,-,東京都港区西麻布1-4-23,35.6615201,139.7239213,西麻布 大竹／Nishiazabu Otake,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nishiazabu-otake
,港区,北青山２丁目,-,東京都港区北青山2-9-9,35.6713881,139.7167184,鮨 将司／Sushi Masashi,寿司,ミシュラン 一つ星: 優れた料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-masashi
,港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門5-3-3,35.6627677,139.7441996,空花／Sorahana,日本料理,ミシュラン 一つ星: 優れた料理,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sorahana
,港区,南青山２丁目,-,東京都港区南青山2-14-15,35.6702649,139.7202398,慈華／itsuka,中国料理,ミシュラン 一つ星: 優れた料理,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/itsuka
,港区,六本木６丁目,六本木,東京都港区六本木6-12-2六本木ヒルズレジデンスb棟,35.6588727,139.7292609,すきやばし 次郎 六本木店／Sukiyabashi Jiro Roppongiten,寿司,ミシュラン 二つ星: 素晴らしい料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sukiyabashi-jiro-roppongiten
,港区,西新橋１丁目,虎ノ門広域,東京都港区西新橋1-23-7,35.6681603,139.7515587,新ばし 笹田／Shimbashi Sasada,日本料理,ミシュラン 一つ星: 優れた料理,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shimbashi-sasada
,港区,麻布十番３丁目,-,東京都港区麻布十番3-7-5,35.6536524,139.7350358,麻布十番 ふくだ／Azabujuban Fukuda,日本料理,ミシュラン 一つ星: 優れた料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/azabujuban-fukuda
,港区,赤坂６丁目,赤坂,東京都港区赤坂6-11-10,35.6696518,139.7348389,ワキヤ 一笑美茶樓／Wakiya Ichiemicharo,中国料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/wakiya-ichiemicharo
,港区,南青山７丁目,-,東京都港区南青山7-12-12b,35.6577389,139.7183863,スダチ／Sudachi,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sudachi
,港区,赤坂７丁目,赤坂,東京都港区赤坂7-5-34,35.6710196,139.7302038,ライラ／Lyla,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/lyla
,港区,赤坂６丁目,赤坂,東京都港区赤坂6-3-9,35.6708176,139.7355288,炭火割烹 白坂／Sumibikappo SHIROSAKA,日本料理,ミシュラン 一つ星: 優れた料理,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sumibikappo-shirosaka
,港区,麻布台３丁目,-,東京都港区麻布台3-4-11,35.6605613,139.7389574,シリーズ／Series,中国料理,ミシュラン 一つ星: 優れた料理,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/series
,港区,赤坂９丁目,六本木,東京都港区赤坂9-7-1ザ・リッツ・カールトン東京4,35.6662932,139.7312789,エリタージュ バイ ケイ コバヤシ／Héritage by Kei Kobayashi,"フランス料理, 現代風フランス料理",ミシュラン 一つ星: 優れた料理,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/heritage-by-kei-kobayashi
,港区,白金台４丁目,-,東京都港区白金台4-9-23b,35.6384089,139.7233774,ラリューム／L'allium,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-allium
,港区,赤坂２丁目,赤坂,東京都港区赤坂2-17-59,35.6705934,139.7379695,赤坂 渡なべ／Akasaka Watanabe,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/akasaka-watanabe
,港区,元麻布３丁目,-,東京都港区元麻布3-12-41,35.6563375,139.7317968,一平飯店／Ippei Hanten,中国料理,ミシュラン 一つ星: 優れた料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ippei-hanten
,港区,北青山３丁目,-,東京都港区北青山3-4-3ののあおやま,35.6677134,139.7130365,シオ アオヤマ／sio AOYAMA,現代風料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sio-aoyama
,港区,南青山６丁目,-,東京都港区南青山6-15-4b,35.6594485,139.7141548,ネモ／NéMo,フランス料理,ミシュラン 一つ星: 優れた料理,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nemo
,港区,元麻布３丁目,-,東京都港区元麻布3-12-4,35.6561146,139.7324911,焼鳥 ひなた／Yakitori Hinata,焼鳥,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/yakitori-hinata
,港区,赤坂６丁目,赤坂,東京都港区赤坂6-4-15,35.6702688,139.7343673,コム・ア・ラ・メゾン／COMME À LA MAISON,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/comme-a-la-maison
,港区,六本木３丁目,六本木,東京都港区六本木3-1-1六本木ティーキューブ,35.6655427,139.7382225,エディション・コウジ シモムラ／Édition Koji Shimomura,フランス料理,ミシュラン 一つ星: 優れた料理,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/edition-koji-shimomura
,港区,西麻布２丁目,-,東京都港区西麻布2-2-2,35.6637849,139.7203369,田中田 西麻布店／Tanakada Nishiazabuten,居酒屋,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tanakada-nishiazabuten
,港区,南青山２丁目,-,東京都港区南青山2-27-18パサージュ青山,35.6691201,139.7166316,リストランテ アクアパッツァ／Ristorante ACQUA PAZZA,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ristorante-acqua-pazza
,港区,麻布十番３丁目,-,東京都港区麻布十番3-7-4,35.6537331,139.7350202,ラ・メゾン・コンフォターブル／La Maison Confortable,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/la-maison-confortable
,港区,東麻布３丁目,-,東京都港区東麻布3-7-11,35.6563015,139.7383018,富士鮨／Fujisushi,寿司,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/fujisushi
,港区,南青山４丁目,-,東京都港区南青山4-16-3,35.6659614,139.717079,ラス／L'AS,"フランス料理, 現代風料理",ビブグルマン：価格以上の満足感が得られる料理,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-as
,港区,南麻布４丁目,-,東京都港区南麻布4-12-4,35.64748,139.724399,日日の料理 びおら／Hibinoryori Viola,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/hibinoryori-viola
,港区,白金台３丁目,-,東京都港区白金台3-18-4,35.6352612,139.7208483,クロデグルメ／Clos Des Gourmets,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/clos-des-gourmets
,港区,南青山１丁目,-,東京都港区南青山1-23-12,35.6666523,139.7250246,乃木坂 結／Nogizaka yui,中国料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nogizaka-yui
,港区,西麻布３丁目,-,東京都港区西麻布3-24-9b,35.6588751,139.7242628,リストランテ アルポルト／RISTORANTE Al Porto,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ristorante-al-porto
,港区,南青山２丁目,-,東京都港区南青山2-27-16b,35.6685882,139.7169946,マルカ／malca,イタリア料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/malca
,港区,新橋１丁目,虎ノ門広域,東京都港区新橋1-8-4,35.6670775,139.7605238,トキ／TOKi,"現代風料理, 現代風スペイン料理",ミシュラン 一つ星: 優れた料理,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/toki
,港区,麻布十番１丁目,-,東京都港区麻布十番1-6-9,35.6567647,139.7342279,串揚げ料理 かわた／Kushiage Ryori Kawata,串揚げ,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kushiage-ryori-kawata
