0,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,
,指標名,保育園,,,認可保育所,https://www.fukushi.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/index.html,,,,
,出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,
,年次,2026/2/26取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,
,URL,右記参照,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,
,備考,（2023年度：792件、2024年度：1044件、2025年度：1041件）,,,,,,,,
,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,データ時点
,江東区,東雲１丁目,-,東京都江東区東雲1-9-14-104,35.6464767999999,139.8044212,ＹＭＣＡキャナルコート保育園,認可保育所,117,45931
,江東区,東雲１丁目,-,東京都江東区東雲1-9-18-203,35.6476645,139.8042291,ひまわりキッズガーデン東雲,認可保育所,96,45931
,江東区,東雲１丁目,-,東京都江東区東雲1-9-51,35.649169,139.804525,東雲キャナルコートナーサリースクール,認可保育所,90,45931
,江東区,東雲２丁目,-,東京都江東区東雲2-3-173階,35.6396214,139.802278,ナーサリールームベリーベアー東雲,認可保育所,124,45931
,江東区,有明１丁目,-,東京都江東区有明1-2-12,35.641838,139.7945875,みらいく有明園,認可保育所,94,45931
,江東区,有明１丁目,-,東京都江東区有明1-3-1,35.6398438,139.7910232,キッズスマイル江東有明,認可保育所,58,45931
,江東区,有明１丁目,-,東京都江東区有明1-5-22階,35.6375806,139.7814749,さんいく保育園有明,認可保育所,85,45931
,江東区,有明１丁目,-,東京都江東区有明1-5-22,35.6375806,139.7814749,江東湾岸サテライトスマートナーサリースクール,認可保育所,267,45931
,江東区,有明１丁目,-,東京都江東区有明1-6-30,35.6344087,139.7830797,おはよう保育園有明,認可保育所,64,45931
,江東区,有明３丁目,-,東京都江東区有明3-6-113階,35.6311548,139.7904514,ニチイキッズありあけ保育園,認可保育所,71,45931
,江東区,有明１丁目,-,東京都江東区有明1-4-111階,35.6374093,139.7870005,ひまわりキッズガーデン有明,認可保育所,120,45931
,江東区,有明１丁目,-,東京都江東区有明1-4-20,35.6361622,139.7865397,ひまわりキッズガーデン有明の森,認可保育所,117,45931
,江東区,有明３丁目,-,東京都江東区有明3-7-263階,35.6329119,139.7926887,江東湾岸サテライトナーサリースクール,認可保育所,278,45931
,江東区,亀戸１丁目,-,東京都江東区亀戸1-24-6,35.6946499,139.8240444,江東区亀戸第三保育園,認可保育所,135,45931
,江東区,亀戸１丁目,-,東京都江東区亀戸1-43-81階,35.6965966,139.8209887,おはよう保育園　亀戸,認可保育所,45,45931
,江東区,亀戸２丁目,-,東京都江東区亀戸2-8-101階,35.7014127,139.8223405,マミーズエンジェル亀戸保育園,認可保育所,45,45931
,江東区,亀戸２丁目,-,東京都江東区亀戸2-10-10,35.7003583,139.8230937,クオリスキッズ亀戸保育園,認可保育所,80,45931
,江東区,亀戸３丁目,-,東京都江東区亀戸3-43-23,35.7037287,139.8220042,にじいろ保育園亀戸,認可保育所,79,45931
,江東区,亀戸５丁目,-,東京都江東区亀戸5-1-15,35.6978943,139.832299,グローバルキッズ亀戸園,認可保育所,119,45931
,江東区,亀戸６丁目,-,東京都江東区亀戸6-31-1,35.6959468,139.8284989,ポピンズナーサリースクール亀戸,認可保育所,85,45931
,江東区,亀戸６丁目,-,東京都江東区亀戸6-42-13,35.6963423,139.8320402,ソラストこうとう保育園,認可保育所,92,45931
,江東区,亀戸６丁目,-,東京都江東区亀戸6-54-2-101,35.6965195,139.8324595,江東区亀戸保育園,認可保育所,67,45931
,江東区,亀戸７丁目,-,東京都江東区亀戸7-10-11階,35.6973555,139.8345332,まなびの森保育園亀戸,認可保育所,80,45931
,江東区,亀戸７丁目,-,東京都江東区亀戸7-38-121・2階,35.6975438,139.839491,保育園ミルキーウェイ亀戸園,認可保育所,52,45931
,江東区,亀戸７丁目,-,東京都江東区亀戸7-39-28,35.6966532,139.8394068,江東亀戸サテライトグローバルキッズ竪川園,認可保育所,198,45931
,江東区,亀戸７丁目,-,東京都江東区亀戸7-41-163・4階,35.6968751,139.8366522,江東区亀戸第二保育園,認可保育所,103,45931
,江東区,亀戸９丁目,-,東京都江東区亀戸9-34-1-140,35.7003117,139.8406681,亀戸こころ保育園,認可保育所,136,45931
,江東区,亀戸９丁目,-,東京都江東区亀戸9-36-10,35.6984385,139.8389471,亀戸浅間保育園,認可保育所,80,45931
,江東区,亀戸４丁目,-,東京都江東区亀戸4-13-18,35.7009231,139.8281567,アンジェリカ亀戸保育園,認可保育所,78,45931
,江東区,亀戸４丁目,-,東京都江東区亀戸4-21-13,35.7026195,139.8265943,江東区亀戸第四保育園,認可保育所,131,45931
,江東区,亀戸２丁目,-,東京都江東区亀戸2-6-2-102,35.700163,139.8225373,陽だまり保育園,認可保育所,80,45931
,江東区,亀戸６丁目,-,東京都江東区亀戸6-53-111・2階,35.6960993,139.8325143,コビープリスクールかめいど,認可保育所,46,45931
,江東区,大島１丁目,-,東京都江東区大島1-10-5,35.6887108,139.8233708,グローバルキッズ西大島園,認可保育所,73,45931
,江東区,大島３丁目,-,東京都江東区大島3-14-51階,35.6898168,139.8283366,まなびの森プチ・ナーサリー西大島,認可保育所,60,45931
,江東区,大島３丁目,-,東京都江東区大島3-15-10,35.6906187,139.8288317,大島なかよし保育園,認可保育所,45,45931
,江東区,大島４丁目,-,東京都江東区大島4-1-6-130,35.6872024,139.8290212,江東区大島第二保育園,認可保育所,91,45931
,江東区,大島４丁目,-,東京都江東区大島4-21-3-101,35.6864842,139.8318345,江東区大島第五保育園,認可保育所,103,45931
,江東区,大島５丁目,-,東京都江東区大島5-27-13,35.6867785,139.8353406,太陽の子　大島五丁目保育園,認可保育所,78,45931
,江東区,大島５丁目,-,東京都江東区大島5-30-12,35.6877368,139.835003,ＨＯＰＰＡおおじまタウン,認可保育所,60,45931
,江東区,大島５丁目,-,東京都江東区大島5-40-41階,35.6865354,139.837092,江東区大島保育園,認可保育所,98,45931
