0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,港区,南青山３丁目,-,港区南青山3-18-19フェスタ表参道b1f,35.6651715,139.7128739,WALL&WALL,イベントスペース,House ･ Techno ･ etc.,03-6438-9240,-,,400人,,https://www.tokyo-club.net/wallwall/
,港区,六本木７丁目,六本木,港区六本木7-14-10山室ビル2f,35.6632877,139.731796,GERONIMO SHOT BAR,Bar ･ Nightclub ･ Party,80s ･ TOP40 ･ Dance ･ Disco ･ HipHop ･ Allmix,03-3478-7449,-,,100人,2000円,https://www.tokyo-club.net/geronimo/
,港区,六本木７丁目,六本木,港区六本木7-10-3小林ビルb1f,35.6646572,139.7292087,VIVO BAR TOKYO,MUSIC BAR ･ LOUNGE ･ LIVE,80s ･ TOP40 ･ House ･ HipHop ･ Allmix,営業不明,-,,200人,3000円,https://www.tokyo-club.net/vivo-bar/
,港区,西麻布１丁目,-,港区西麻布1-10-11セソーラス西麻布b1/b2f,35.66104,139.7241171,R TOKYO,エンターテイメントスペース,Allmix ･ EDM ･ HIPHOP ･ R&B ･ etc.,Closed,-,,500～800人,,https://www.tokyo-club.net/rtokyo/
,港区,西麻布１丁目,-,港区西麻布1-7-2,35.6610284,139.7263842,A-LIFE,CLUB,House ･ Allmix ･ R&B ･ EDM ･ Electro ･ etc.,Closed,-,,約900人,"7,000円",https://www.tokyo-club.net/alife/
,港区,六本木５丁目,六本木,港区六本木5-18-2大昌第二ビルb1f,35.6612086,139.737256,VARIT.,ライブハウス ･ クラブ,All Genre,Closed,-,,150～160人前後,,https://www.tokyo-club.net/varit/
,港区,六本木６丁目,六本木,港区六本木6-10-1六本木ヒルズウェストウォーク1f,35.6604214,139.729972,TUSK,バー,Allmix,03-3478-9991,-,,80席,"1,000円～3,000円",https://www.tokyo-club.net/tusk-bar/
,港区,南青山６丁目,-,港区南青山6-10-12フェイス南青山1f,35.6592912,139.7151922,Future SEVEN,イベントスペース,Others,Closed,-,,250人,,https://www.tokyo-club.net/future-seven/
,港区,六本木３丁目,六本木,港区六本木3-11-621泰明ビル4f,35.663129,139.7330944,FIRE HORSE,クラブ ･ バー,HOUSE,営業不明,-,,50人,5000円,https://www.tokyo-club.net/fire-horse/
,港区,南青山３丁目,-,港区南青山3-18-19フェスタ表参道b1f,35.6651715,139.7128739,ARC,CLUB,House ･ TechHouse ･ Techno ･ Disco ･ etc.,Closed,-,,400人前後,3000円～,https://www.tokyo-club.net/arc-tokyo/
,港区,新橋１丁目,虎ノ門広域,港区新橋1-10-2植田ビル3f,35.6674349,139.7599669,MixBerry,バー,80s ･ Jazz ･ Rock ･ R&B,Closed,-,,,2013年7月 / 閉店: 2017年12月,https://www.tokyo-club.net/mixberry/
,港区,六本木３丁目,六本木,港区六本木3-12-6六本木プラザビル8f-9f,35.6629686,139.7334692,Cat’s TOKYO,CLUB,Allmix ･ EDM ･ Electro ･ TOP40,Closed,-,,500人,,https://www.tokyo-club.net/cats-tokyo/
,港区,西麻布１丁目,-,港区西麻布1-10-11セソーラス西麻布b1f/b2f,35.66104,139.7241171,BERG and WEST,CLUB,EDM ･ House ･ Techno ･ Electro ･ etc.,Closed,-,,,2015年5月 / 閉店: 2016年1月,https://www.tokyo-club.net/berg-tokyo/
,港区,南青山３丁目,-,港区南青山3-18-19festae表参道ビル新館2f,35.6651607,139.712908,FAME,クラブラウンジ,House ･ Techno ･ Electro,Closed,-,,450人 / 150坪,"MEN : 3500円 / WOMEN : 2500円
※イベントにより異なる場合があります。必ず事前にご確認下さい",https://www.tokyo-club.net/fame/
,港区,六本木５丁目,六本木,港区六本木5-16-5インペリアル(フォーラム)六本木b1f,35.6616993,139.735468,CIRCUS+,イベント ･ パーティー ･ クラブラウンジ,Allmix ･ BlackMusic,Closed,-,,100名 (着席時) / 200名 (立食時),5000円,https://www.tokyo-club.net/dobin/
,港区,西麻布１丁目,-,港区西麻布1-12-51f,35.6601103,139.7241493,BAR BLUE,DJバー,Others,03-6384-5050,-,,"3,300円",2014年3月15日,https://www.tokyo-club.net/bar-blue/
,港区,六本木３丁目,六本木,港区六本木3-10-5マリーナビル3f/4f,35.6631777,139.7334094,APOLLO Club TOKYO,CLUB,House ･ Allmix ･ HipHop ･ Reggae ･ R&B ･ TOP40,Closed,-,,3階 220人 / 4階 50人,,https://www.tokyo-club.net/apollo-club-tokyo/
,港区,南青山３丁目,-,港区南青山3-18-19フェスタ表参道ビル新館2f,35.6652,139.7131175,SHAG,CULB,House ･ Techno ･ Electro ･ Allmix,Closed,-,,450人,エントランス料金 : 無料,https://www.tokyo-club.net/shag/
,港区,赤阪８丁目,-,港区赤阪8-10-22ニュー新坂ビルb1f,35.6703639,139.7268965,EDITION,CLUB,House ･ Techno ･ Electro ･ EDM ･ Dance Music,03-6721-1945,-,,500人,,https://www.tokyo-club.net/edition/
,港区,六本木５丁目,六本木,港区六本木5-2-4第2鳥勝ビルb1f,35.662247,139.7338937,ENZO Bar,ラウンジバー,HipHop ･ R&B ･ Rock ･ House ･ Trance ･ Techno ･ Psychedelic,Closed,-,,3000円,-,https://www.tokyo-club.net/enzo-bar/
,港区,麻布十番１丁目,-,港区麻布十番1-4-5深尾ビル1f/b1f,35.6569619,139.7353052,ELE TOKYO,CLUB,Dance Music ･ Electro ･ Allmix ･ EDM ･ Other,Closed,-,,"地階メインフロア: 400人
1階ラウンジ: 100人
中二階: 30席未満","6,000円",https://www.tokyo-club.net/ele-tokyo/
,港区,麻布十番１丁目,-,港区麻布十番1-7-5フェスタ麻布b2f,35.6564722,139.7348476,IVY,ナイトクラブ,Allmix,Closed,-,,250人,,https://www.tokyo-club.net/ivy/
,港区,六本木３丁目,六本木,港区六本木3-14-11kentosビル3f,35.6624746,139.7345153,REIGN TOKYO,ラウンジ,HipHop ･ EDM ･ R&B ･ TOP40,Closed,-,,200人,,https://www.tokyo-club.net/reign/
,港区,南青山５丁目,-,港区南青山5-8-10コモド南青山ビル8f,35.6625342,139.7120602,Le Donjon M,バー,Techno ･ Trance ･ House ･ HipHop ･ Jazz ･ R&B,Closed,-,,30人,3000円,https://www.tokyo-club.net/le-donjon-m/
,港区,六本木３丁目,六本木,港区六本木3-15-24アリエスビル2f,35.6626768,139.7352604,Two Dogs Taproom,レストラン ･ バー,Others,03-5413-0333,-,,2000円～3000円,2013年11月,https://www.tokyo-club.net/two-dogs-taproom/
,港区,六本木３丁目,六本木,港区六本木3-11-6泰明ビル3f,35.663129,139.7330944,Sheyda BAR,ラウンジバー,House ･ TOP40 ･ Billboard ･ Latin ･ R&B,03-6447-0148,-,,40席前後,"1,000円",https://www.tokyo-club.net/sheyda-bar/
,港区,西麻布１丁目,-,港区西麻布1-10-11セソーラス西麻布b1f/b2f,35.66104,139.7241171,FREQ.,イベントスペース,House ･ Techno ･ EDM ･ HipHop ･ R&B ･ DUBSTEP ･ Disco ･ Electro,Closed,-,,700人,4000円,https://www.tokyo-club.net/freq/
,港区,六本木３丁目,六本木,港区六本木3-14-7アロービルb1f,35.6625667,139.734926,7Sense,ラウンジ,Allmix,営業不明,-,,150人,"平日 / 男性2500円 女性1000円 (フリードリンク)
金･土･祝前日 / 男性2000円 女性1000円 (2ドリンク)
※最新の情報とは異なる可能性があります。必ず事前に下記HPをご覧下さい",https://www.tokyo-club.net/sevensense/
,港区,六本木３丁目,六本木,港区六本木3-14-11kentosビル2f,35.6624746,139.7345153,RED AREA,DJバー,HipHop ･ Allmix ･ R&B,Closed,-,,"1,000円～",-,https://www.tokyo-club.net/red-area/
,港区,赤坂３丁目,赤坂,港区赤坂3-10-17マーカスビル4f,35.6762174,139.7365166,Nos Vida,DJラウンジバー,Crossover ･ Jazz ･ Techno ･ House,Closed,-,,90人,3000円,https://www.tokyo-club.net/nos-vida/
,港区,芝５丁目,-,港区芝5-36-7三田ベルジュビルb1f,35.64501860000001,139.7453851,GUARDIAN DININGBAR & SOUL,ダイニングバー,Soul ･ Jazz ･ Lounge ･ Live ･ Others,03-5419-6718,-,,120人,"4,000円",https://www.tokyo-club.net/guardian-diningbarandsoul/
,港区,南青山３丁目,-,港区南青山3-18-19フェスタ表参道ビルb1f,35.6651715,139.7128739,ORIGAMI,CLUB,House ･ Techno ･ Electro,Closed,-,,約400人,"エントランス料金
木-土･祝前日のみ 22:00～ 3000円～",https://www.tokyo-club.net/origami/
,港区,南青山３丁目,-,港区南青山3-1-5ラ･クラースビルb1f,35.6684896,139.7165467,Crystal LOUNGE,ラウンジ,Allmix ･ HipHop ･ House ･ R&B ･ Electronic,Closed,-,,"男性3000円2ドリンク
女性2000円2ドリンク
※イベント等によって異なります。必ず事前に、下記HPをご覧下さい",2013年9月 / 閉店: 2016年8月27日,https://www.tokyo-club.net/crystal-lounge/
,港区,六本木５丁目,六本木,港区六本木5-5-1ロアビル2f,35.6620101,139.7345733,CLUB SIX TOKYO,CLUB,Allmix ･ HipHop ･ R&B ･ EDM ･ Electro ･ TOP40,Closed,-,,500人,"エントランス料金
平日
男性2000円 / 女性1500円

週末 ･ 祝前日
男性3500円 / 女性1500円
※1or2ドリンク付き、ハッピーアワー割り有
※イベント等によって変更となる可能性があります。上記はあくまで目安です。必ず事前に下記HPをご覧下さい",https://www.tokyo-club.net/six-tokyo/
,港区,六本木５丁目,六本木,港区六本木5-10-25exけやき坂ビルr棟1f,35.6592102,139.7325451,GOLD CAFE,ライブレストラン,Allmix,Closed,-,,350人,5000円,https://www.tokyo-club.net/gold-cafe/
,港区,赤坂２丁目,赤坂,港区赤坂2-14-1赤坂山王会館b1f,35.6728528,139.7378808,CLUB TENJIKU,ライブハウス,Allmix ･ POPs ･ Live ･ Rock ･ All Genre ･ EDM,Closed,-,,150人,,https://www.tokyo-club.net/club-tenjiku/
,港区,南青山３丁目,-,港区南青山3-18-19フェスタ表参道ビル新館2f,35.6652,139.7131175,Sprite,ラウンジ,R&B ･ Electronic ･ HipHop ･ House ･ EDM ･ Reggae ･ Allmix,Closed,-,,450人,,https://www.tokyo-club.net/sprite/
,港区,六本木３丁目,六本木,港区六本木3-15-24ウィン六本木1f,35.66257,139.7354893,EL CAFE LATINO,バー,Latin ･ Salsa ･ Dance,03-3402-8989,-,,30席,金･土 エントランス1500円,https://www.tokyo-club.net/el-cafe-latino/
,港区,六本木７丁目,六本木,港区六本木7-10-3小林ビルb1f,35.6646572,139.7292087,PARAISO,ダイニングバー,Salsa ･ Dance ･ Latin,Closed,-,,2500円前後,-,https://www.tokyo-club.net/paraiso/
,港区,六本木３丁目,六本木,港区六本木3-11-621泰明ビル3f,35.663129,139.7330944,COPACABANA,バー,Latin ･ Salsa ･ Allmix,Closed,-,,,-,https://www.tokyo-club.net/copacabana/
,港区,六本木７丁目,六本木,港区六本木7-14-23セントラル六本木1f,35.6636191,139.731694,R2 SUPPERCLUB,ラウンジバー,Soul ･ Jazz ･ Electronic ･ Live ･ Funk ･ Lounge,03-6447-0002,-,,250名 (127席) / 120坪,"4,000円",https://www.tokyo-club.net/r2-supperclub/
,港区,西麻布１丁目,-,港区西麻布1-10-11セソーラス西麻布b1f/b2f,35.66104,139.7241171,DOUBLE TOKYO,ライブスペース,Allmix ･ House ･ EDM ･ Electronic ･ R&B,Closed,-,,700人以上,,https://www.tokyo-club.net/double-tokyo/
,港区,六本木７丁目,六本木,港区六本木7-13-71f-b1f,35.6640023,139.7305494,V2 TOKYO,CLUB,Allmix ･ House ･ HipHop ･ Live ･ Electro ･ EDM ･ R&B,03-5474-0091,-,,450名,"4,500円",https://www.tokyo-club.net/v2-tokyo/
,港区,南青山４丁目,-,港区南青山4-9-1シンプル青山ビルb1f,35.667352,139.7181655,月見ル君想フ,ライブハウス,Live ･ POPs ･ R&B ･ Jazz ･ Funk ･ etc.,03-5474-8115,-,,150人,,https://www.tokyo-club.net/tsuki-miru-kimiomofu/
,港区,六本木５丁目,六本木,港区六本木5-18-21fiveplazab2f,35.6609169,139.7369946,Club EDGE,ライブハウス,Live ･ POPs ･ Rock ･ Funk ･ All Genre ･ Others,03-3505-4561,-,,150人,3000円前後,https://www.tokyo-club.net/club-edge/
