0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
,指標名,文化財,,,,,,,,,,,,,,,,
,出典,国指定文化財等データベース,,,,,,,,,,,,,,,,
,年次,2026/3/2取得,,,,,,,,,,,,,,,,
,URL,https://kunishitei.bunka.go.jp/,,,,,,,,,,,,,,,,
,備考,（2023年：559件、2024年：578件、2025年：579件）※所在地の記載のないもの、無形を除く,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,区,町丁,エリア,住所,緯度,経度,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,保管施設の名称,所有者名,管理団体又は責任者
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,唐物肩衝茶入〈銘松屋／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,中国,南宋,19591218,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,三田２丁目,-,東京都港区三田2-15-45,35.64923529,139.7428676,岩偶,,国宝・重要文化財（美術工芸品）,重要文化財,考古資料,日本,縄文,19740608,,東京都（東京都）,東京都港区三田2-15-45,学校法人慶應義塾
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,観世音菩薩受記経,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,日本,奈良,19311214,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,三田２丁目,-,東京都港区三田2-15-45,35.64923529,139.7428676,岩版,,国宝・重要文化財（美術工芸品）,重要文化財,考古資料,日本,縄文,19740608,,東京都（東京都）,東京都港区三田2-15-45,学校法人慶應義塾
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,観普賢経〈（裝飾経）／〉,,国宝・重要文化財（美術工芸品）,国宝,書跡・典籍,日本,平安,,19750612,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63231263,139.7268709,菊枝蒔絵手箱,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,鎌倉,19790606,,東京都（東京都）,東京都港区白金台2-20-12,畠山記念館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,居涇和尚墨蹟〈弔白雲恵曉偈／〉,,国宝・重要文化財（美術工芸品）,重要文化財,書跡・典籍,中国,元,19540320,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,赤坂９丁目,六本木,東京都港区赤坂9-7-4東京ミット゛タウンカ゛ーテ゛ンサイト゛,35.66684968,139.7307138,桐竹鳳凰蒔絵文台及硯箱,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,桃山,19610217,,東京都（東京都）,サントリー美術館　東京都港区赤坂9-7-4東京ミット゛タウンカ゛ーテ゛ンサイト゛,サントリー美術館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66225119,139.7170835,金襴手下蕪花生,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,中国,明,19550622,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
,港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63231263,139.7268709,金襴手六角瓢形花生,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,中国,明,19560628,,東京都（東京都）,東京都港区白金台2-20-12,畠山記念館
,港区,白金台２丁目,-,東京都港区白金台2-20-12,35.63231263,139.7268709,金襴手六角瓢形花生,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,中国,明,19560628,,東京都（東京都）,東京都港区白金台2-20-12,畠山記念館
,港区,南青山６丁目,-,東京都港区南青山6-5-1,35.66156583,139.7175169,黒韋威肩取腹巻〈大袖付／〉,,国宝・重要文化財（美術工芸品）,重要文化財,工芸品,日本,室町,20230627,,東京都（東京都）,東京都港区南青山6-5-1,公益財団法人根津美術館
