lat,lon,name
35.6921701,139.6949482,かちどき薬局 センター店
35.6854547,139.688574,西新宿調剤薬局
35.6894128,139.6966603,ユーアイ薬局 新宿店
35.6933404,139.6927145,アイン薬局 西新宿店
35.6917166,139.6877474,ドラッグセイムス西新宿6丁目薬局
35.6919228,139.6938894,かちどき薬局 三井店
35.6882614,139.6933813,ミキ調剤薬局
35.7077108,139.7290808,やまぶき薬局
35.7030276,139.700075,龍生堂薬局 新大久保店
35.6978039,139.7151589,抜弁天薬局
35.7044117,139.6998708,アイン薬局 新大久保店
35.7010519,139.7403263,アイファ薬局 神楽坂店
35.7077422,139.7350368,カラサワ薬局
35.7041066,139.6998557,フロンティア薬局 新大久保店
35.6947248,139.7203695,市ヶ谷ファマシー薬局 あけぼの橋通り店
35.7034277,139.7364445,さくら薬局 神楽坂店
35.7050437,139.7342202,あかぎ薬局
35.6982743,139.7011953,ユーアイ薬局 新大久保店
35.7054947,139.7318951,中里薬局
35.6975817,139.7134913,レジーナ薬局 東新宿店
35.6966768,139.701163,健康プラザ薬局
35.7040545,139.7002087,ひな薬局
35.7223883,139.7037567,目白薬局
35.7207629,139.6944063,かちどき薬局
35.7067628,139.689222,丸美屋薬局 北新宿店
35.7220752,139.6955061,さくら薬局 目白店
35.7219074,139.6994171,ウエルシア薬局 新宿目白店
35.7003312,139.7067739,ほほえみ薬局
35.7030127,139.7430961,さくら薬局 飯田橋駅前店
35.6977845,139.734487,有限会社 萱沼薬局
35.702974,139.7433084,訪問薬樹薬局 飯田橋
35.7196455,139.6948667,グラム薬局 下落合店
35.7009952,139.7085307,あいの薬局
35.7156437,139.700708,オリーブ薬局
35.7021247,139.6939653,スギ薬局 北新宿3丁目店
35.7145558,139.6873812,さくら薬局 中井店
35.7158428,139.6885156,薬王堂薬局
35.6996127,139.7279433,パール薬局
35.7109128,139.6906588,レジーナ薬局 上落合店
35.6906152,139.7073596,みらくる薬局 新宿三丁目店
35.6909076,139.6865122,ハラダ薬局 西新宿店
35.6951706,139.7370858,(株)エスシーグループ 鈴薬局市ヶ谷店
35.7148163,139.6920348,エムエム株式会社 こぐま薬局
35.7083953,139.736343,アイセイ薬局 江戸川橋店
35.6796605,139.7201219,ヒカリ薬局信濃町店
35.6904769,139.7099005,つばさ薬局 新宿店
35.7060461,139.720311,吉村薬局
35.6983376,139.7341094,薬局ラクトファーマシー
35.7017556,139.6949136,土方薬局
35.7024163,139.7328663,千代田薬局
35.6920778,139.7216564,あけぼの薬局
35.6874381,139.722054,サン薬局
35.7012686,139.7078578,ひかり薬局 (株)エスシーグループ
35.6961562,139.6894173,アガペ新宿薬局
35.6583132,139.6915769,松濤薬局
35.6773914,139.7080952,薬樹薬局北参道
35.6879838,139.699015,新宿薬局
35.6463232,139.7119128,城南薬局
35.6569801,139.7006742,渋谷駅前げんき薬局
35.6463938,139.7088964,つる薬局 恵比寿店
35.6815766,139.7036159,かもめ薬局 代々木店
35.6688366,139.6903316,ヒカリ薬局 代々木公園店
35.674286,139.6680114,アイセイ薬局 笹塚店
35.6864042,139.7029769,アガペ新宿南口薬局
35.6458146,139.7083665,太陽堂薬局
35.6687053,139.6896434,薬局コアファーマシー代々木八幡店
35.6458544,139.7220155,クラヤかかりつけ薬局 広尾白金
35.6738193,139.666199,南山堂薬局 笹塚店
35.669218,139.6810876,代々木上原駅前薬局
