0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,指標名,バス停,,,,,,,,,,,,
,出典,navitime,,,,,,,,,,,,
,年次,2026/01/26取得,,,,,,,,,,,,
,URL,https://www.navitime.co.jp/,,,,,,,,,,,,
,備考,(2023年度：3645件、2024年度：3652件、2025年度：3571件),,,,,,,,,,,,
,,,,,,,,,,,,,,
,区,町丁目,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面1,方面2,種類
,江東区,亀戸６丁目,-,江東区亀戸1丁目40−6,35.696682,139.824829,亀戸駅通り,13,0.07692307692307693,都０７,都営バス,門前仲町（バス）方面,錦糸町駅前方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸1丁目40−6,35.696682,139.824829,亀戸駅通り,13,0.07692307692307693,錦１１,都営バス,亀戸駅前方面,,バス停
,江東区,亀戸６丁目,-,江東区亀戸1丁目40−6,35.696682,139.824829,亀戸駅通り,13,0.07692307692307693,錦１８,都営バス,国際展示場駅前方面,錦糸町駅前方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸1丁目40−6,35.696682,139.824829,亀戸駅通り,13,0.07692307692307693,錦２５,都営バス,錦糸町駅前方面,葛西駅前方面,バス停
,江東区,亀戸６丁目,-,江東区亀戸1丁目40−6,35.696682,139.824829,亀戸駅通り,13,0.07692307692307693,錦２７,都営バス,錦糸町駅前方面,小岩駅前方面,バス停
,江東区,亀戸１丁目,-,江東区亀戸1丁目43亀戸１丁目,35.696455,139.820813,亀戸１丁目,8,0.125,両２８,都営バス,葛西橋/第六葛西小学校前方面,両国駅前方面,バス停
,江東区,亀戸１丁目,-,江東区亀戸1丁目43亀戸１丁目,35.696455,139.820813,亀戸１丁目,8,0.125,両２８〔日曹橋経由〕,都営バス,臨海車庫方面,,バス停
,江東区,亀戸１丁目,-,江東区亀戸1丁目43亀戸１丁目,35.696455,139.820813,亀戸１丁目,8,0.125,急行０５/直行03,都営バス,日本科学未来館方面,錦糸町駅前方面,バス停
,江東区,亀戸１丁目,-,江東区亀戸1丁目43亀戸１丁目,35.696455,139.820813,亀戸１丁目,8,0.125,都０７,都営バス,門前仲町（バス）方面,錦糸町駅前方面,バス停
,江東区,亀戸１丁目,-,江東区亀戸1丁目43亀戸１丁目,35.696455,139.820813,亀戸１丁目,8,0.125,錦１１,都営バス,築地駅前方面,亀戸駅前方面,バス停
,江東区,亀戸１丁目,-,江東区亀戸1丁目43亀戸１丁目,35.696455,139.820813,亀戸１丁目,8,0.125,錦１８,都営バス,国際展示場駅前方面,錦糸町駅前方面,バス停
,江東区,亀戸１丁目,-,江東区亀戸1丁目43亀戸１丁目,35.696455,139.820813,亀戸１丁目,8,0.125,錦２５,都営バス,錦糸町駅前方面,葛西駅前方面,バス停
,江東区,亀戸１丁目,-,江東区亀戸1丁目43亀戸１丁目,35.696455,139.820813,亀戸１丁目,8,0.125,錦２７,都営バス,錦糸町駅前方面,小岩駅前方面,バス停
,江東区,亀戸３丁目,-,江東区亀戸3丁目36柳島,35.70722,139.8202,柳島(東京都),1,1,門３３,都営バス,亀戸駅前方面,豊海水産埠頭方面,バス停
,江東区,亀戸３丁目,-,江東区亀戸3丁目3亀戸天神前,35.701633,139.82117,亀戸天神前,2,0.5,上２６,都営バス,上野公園（東京都）方面,亀戸駅前方面,バス停
,江東区,亀戸３丁目,-,江東区亀戸3丁目3亀戸天神前,35.701633,139.82117,亀戸天神前,2,0.5,草２４,都営バス,浅草寿町方面,東大島駅前〔大島口〕方面,バス停
,江東区,亀戸３丁目,-,江東区亀戸3丁目57−22,35.704147,139.825368,亀戸香取神社,1,1,新小59,京成バス/京成バス東京,浅草寿町方面,新小岩駅東北広場方面,バス停
,江東区,亀戸４丁目,-,江東区亀戸4丁目18亀戸４丁目,35.701143,139.825486,亀戸４丁目,4,0.25,上２６,都営バス,上野公園（東京都）方面,亀戸駅前方面,バス停
