0,1,2,3,4,5,6,7,8,9
,,,,,,,,,
,指標名,病院・診療所・クリニック,,,,,,,
,新宿区,西落合１丁目,-,東京都新宿区西落合1-15-12レジデンス落合1階,35.7220312,139.6814664,西落合リーフ歯科・矯正歯科,歯科 矯正歯科 歯科口腔外科 小児歯科,https://www.leaf-dentalclinic.com/
,新宿区,四谷三栄町,-,東京都新宿区四谷三栄町7-14,35.6884492,139.7250569,田山・皿井耳鼻咽喉科・ボイスクリニック,耳鼻いんこう科 田山・皿井耳鼻咽喉科,https://www.tayama-jibika.com/
,新宿区,水道町,-,東京都新宿区水道町4-13マルエツ江戸川橋店3階,35.7085952,139.7361907,江戸川橋駅前内科・甲状腺クリニック,内科 内分泌内科 糖尿病内科 江戸川橋駅前内科,https://edogawabashi-ekimae.com/
,新宿区,中落合１丁目,-,東京都新宿区中落合1-17-2,35.715464,139.6879977,中井駅前耳鼻咽喉科,中井駅前耳鼻咽喉科,https://nakai-jibika-cl.com/
,新宿区,西新宿７丁目,-,東京都新宿区西新宿7-10-1o-guardshinjuku5階,35.6939124,139.6987432,医療法人社団 東京桜十字 新宿桜十字クリニック,内科 消化器内科,https://www.sakurajyuji-healthcare.jp/clinic/shinjuku/
,新宿区,新宿２丁目,-,東京都新宿区新宿2-12-4アコード新宿8階,35.6906152,139.7073596,新宿ペリカンこころクリニック,心療内科 精神科,-
,新宿区,新宿７丁目,-,東京都新宿区新宿7-27-6coeru東新宿8f,35.6982138,139.7078029,東新宿あらい内科クリニック,脳神経内科 腎臓内科 内科 東新宿あらい内科,https://clinic-arai.jp/
,新宿区,新宿５丁目,-,東京都新宿区新宿5-11-28スターハイム104,35.6930074,139.7085927,セントオルメディカルクリニック,精神科 心療内科 美容皮膚科,https://stolu-medical.com/
,新宿区,西新宿７丁目,-,東京都新宿区西新宿7-10-1o-guardshinjuku9f,35.6939124,139.6987432,医療法人社団 斗南堂 八王子クリニック新宿,肛門外科,https://hachicli.or.jp/shinjuku/
,新宿区,新宿３丁目,-,東京都新宿区新宿3-25-9新宿モアビル3f,35.6926796,139.7021366,新宿ファストクリニック,性感染症内科,https://fast-clinic.com/
