指標名,ホテル,,,,,,,,,
出典,Rakuten API,,,,,,,,,
年次,2024/02/07取得,,,,,,,,,
URL,https://app.rakuten.co.jp/services/api/Travel/SimpleHotelSearch/20170426,,,,,,,,,
備考,(2021年度：1649件、2022年度：1721件、2023年度：1099件),,,,,,,,,
,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,レビュー数,室数,ホテルURL
中央区,銀座８丁目,-,東京都中央区銀座8-7-13,35.66799064,139.7604809,銀座国際ホテル,3.91,1872,95,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=864
江東区,白河１丁目,-,東京都江東区白河1-6-12,35.68229009,139.7996159,コンフォートホテル東京清澄白河,4.03,7158,168,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=31972
中央区,日本橋馬喰町１丁目,-,東京都中央区日本橋馬喰町1-10-11,35.69414664,139.7829168,コンフォートホテル東京東日本橋,4.16,6383,259,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=70295
中央区,日本橋小舟町１４丁目,-,東京都中央区日本橋小舟町14-13,35.68759726,139.7787896,スーパーホテル東京・日本橋三越前,4.25,1141,83,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=136289
千代田区,神田東松下町１１丁目,-,東京都千代田区神田東松下町11-2,35.69355481,139.774437,コンフォートホテル東京神田,4.08,4044,103,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=69217
中央区,日本橋小網町４丁目,-,東京都中央区日本橋小網町4-6,35.6819841,139.7821674,アルモントイン東京日本橋,4.39,2885,91,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1835
江東区,南砂７丁目,-,東京都江東区南砂7-10‐14,35.66899922,139.8348482,Ｌ　ｓｔａｙ＆ｇｒｏｗ南砂町,4.44,245,217,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=181376
千代田区,神田佐久間町３丁目,-,東京都千代田区神田佐久間町3-2,35.6974214,139.7769896,アパホテル〈秋葉原駅東〉（全館禁煙）,3.74,88,168,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=183213
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1,35.6870475,139.7730634,マンダリン　オリエンタル　東京,4.75,21,179,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=184009
中央区,日本橋本町４丁目,日八京,東京都中央区日本橋本町4-7-9,35.68998856,139.7752121,東急ステイ日本橋,3.69,1890,121,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=40568
中央区,八丁堀２丁目,-,東京都中央区八丁堀2-13-1,35.6771349,139.7761552,ホテル八重の翠東京,4.29,484,218,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=178005
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町1-6-5,35.69774599,139.7736869,レム秋葉原,4.21,2420,260,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=70253
中央区,築地６丁目,-,東京都中央区築地6-23-8,35.6640925,139.771321,トーセイホテル　ココネ築地銀座プレミア,4.22,27,205,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=187176
江東区,富岡１丁目,-,東京都江東区富岡1-23-2,35.67115798,139.7986747,東急ステイ門前仲町,4.17,1600,110,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=41707
中央区,日本橋馬喰町１丁目,-,東京都中央区日本橋馬喰町1-6-6,35.69306121,139.7824386,アパホテル〈日本橋　馬喰町駅前〉（全室禁煙）,4.29,298,193,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168428
中央区,新富２丁目,-,東京都中央区新富2-5-10,35.671605,139.773834,アパホテル〈銀座　新富町駅前〉（旧アパホテル〈新富町駅前〉）,3.9,588,135,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=142746
中央区,日本橋浜町３丁目,-,東京都中央区日本橋浜町3-20-2,35.68457927,139.7893906,ＨＡＭＡＣＨＯ　ＨＯＴＥＬ　ＴＯＫＹＯ（浜町ホテル　東京）,4.35,635,170,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=171899
千代田区,東神田１丁目,-,東京都千代田区東神田1-14-1,35.69367501,139.7812297,アパホテル〈日本橋　馬喰町駅北〉,4.36,339,127,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166134
中央区,日本橋中洲４丁目,-,東京都中央区日本橋中洲4-9,35.68328651,139.7902129,エスペリアイン日本橋箱崎,3.85,841,114,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168463
中央区,日本橋小網町１６丁目,-,東京都中央区日本橋小網町16-12,35.6850395,139.7801454,ヴィアインプライム日本橋人形町（ＪＲ西日本グループ）,4.19,519,240,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=176563
江東区,東陽２丁目,-,東京都江東区東陽2-3-12,35.66784218,139.8169011,ホテルルートインＧｒａｎｄ東京東陽町,4.37,1170,209,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=16727
千代田区,外神田１丁目,-,東京都千代田区外神田1-2-12,35.698002,139.770831,安心お宿　秋葉原電気街店,4.24,915,144,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=142653
中央区,新富１丁目,-,東京都中央区新富1-14-7,35.67314046,139.7754266,アパホテル〈八丁堀駅南〉,3.84,1099,135,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=109469
中央区,日本橋本石町３丁目,日八京,東京都中央区日本橋本石町3-1-6,35.6864208,139.7705193,Ｊホテル東京ジオ,4.14,187,95,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=172447
中央区,築地,-,東京都中央区築地 ３－１－５,35.66942142,139.774749,はとバス直営　銀座キャピタルホテル茜,3.81,6005,301,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=367
江東区,東陽１丁目,-,東京都江東区東陽1丁目16-16,35.66714764,139.8106267,アパホテル〈東京木場〉,3.46,3073,153,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=38738
中央区,銀座１丁目,-,東京都中央区銀座1-15-11,35.6735334,139.7698698,ホテルサンルート銀座,3.81,791,165,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147713
中央区,日本橋堀留町１丁目,-,東京都中央区日本橋堀留町1-10-10,35.6889638,139.7797589,ビジネスホテル堀留ヴィラ,3.6,972,92,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1420
中央区,銀座７丁目,-,東京都中央区銀座7-11-12,35.6681089,139.7632092,相鉄フレッサイン　銀座七丁目,4.04,655,286,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153207
中央区,銀座２丁目,-,東京都中央区銀座2-11-6,35.67250809,139.7690989,ザ・スクエアホテル銀座,4,214,182,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168198
中央区,銀座６丁目,-,東京都中央区銀座6-4-14,35.67124863,139.7613168,銀座ベルビューホテル,3.69,1375,44,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=15041
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-6-3,35.6834113,139.7667158,丸ノ内ホテル,4.76,927,205,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=5562
中央区,銀座７丁目,-,東京都中央区銀座7-10-1 フロント3階,35.66898228,139.7636222,ホテルグレイスリー銀座,4.07,2767,270,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=53403
中央区,銀座８丁目,-,東京都中央区銀座8-9-4,35.66817809,139.7624001,ザ　ロイヤルパーク　キャンバス　銀座８,3.33,278,121,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=168230
中央区,日本橋横山町５丁目,-,東京都中央区日本橋横山町5-6,35.6925034,139.7832008,アパホテル〈日本橋　馬喰横山駅前〉（全室禁煙）,4.2,174,281,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=179996
中央区,築地７丁目,-,東京都中央区築地7丁目10番11号,35.66607736,139.7749936,アパホテル〈築地駅南〉,4.11,639,115,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=129539
千代田区,神田須田町２丁目,-,東京都千代田区神田須田町2-17-10,35.69647117,139.7732845,ホテルリソルステイ秋葉原,4.31,32,132,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182883
中央区,京橋３丁目,日八京,東京都中央区京橋3-11-2,35.674358,139.771723,アパホテル〈銀座　宝町〉（東京駅八重洲南口）,3.86,351,108,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=144960
千代田区,内神田２丁目,-,東京都千代田区内神田2-1-2,35.6892731,139.7669695,三井ガーデンホテル大手町,4.45,285,191,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166074
中央区,新富１丁目,-,東京都中央区新富1-17-8,35.67163086,139.7752033,アパホテル〈八丁堀　新富町〉,4.18,170,141,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=166354
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町2-10-3,35.6938394,139.772369,アパホテル〈神田駅前〉,4.28,308,142,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165193
中央区,銀座５丁目,-,東京都中央区銀座5丁目13番12号,35.66867905,139.7663992,ホテルグランバッハ東京銀座,4.47,58,144,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=182693
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町2-58-2,35.68724207,139.7906164,東横ＩＮＮ東京駅新大橋前,3.85,595,208,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=75217
千代田区,岩本町２丁目,-,東京都千代田区岩本町2-1-1,35.69213277,139.7751203,アパホテル〈神田駅東〉,4.07,895,158,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=136820
中央区,日本橋小網町１０丁目,-,東京都中央区日本橋小網町10-7,35.6825789,139.7808292,ホテルリブマックス日本橋小網町,3.1,215,95,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=177433
中央区,築地４丁目,-,東京都中央区築地4-11-5,35.66586616,139.770869,東急ステイ築地（旧：東急ステイ東銀座）,3.93,1057,124,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=41702
中央区,日本橋小舟町９丁目,-,東京都中央区日本橋小舟町9-14,35.68550584,139.7792397,住庄ほてる,3.99,1581,83,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=562
千代田区,神田練塀町４４丁目,-,東京都千代田区神田練塀町44-4,35.69989624,139.7749858,女性だけが泊まれるカプセルホテル　秋葉原ＢＡＹ　ＨＯＴＥＬ（秋葉原ベイホテル）,4.03,494,130,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=153370
中央区,築地２丁目,-,東京都中央区築地2-2-1,35.67010137,139.7739073,変なホテル東京　銀座,4.09,329,98,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=164860
中央区,新富１丁目,-,東京都中央区新富１丁目12番11号,35.67317725,139.774348,アパホテル〈銀座　新富町駅前北〉（全室禁煙）（旧アパホテル〈新富町駅北〉）,4.18,215,98,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=158365
中央区,東日本橋３丁目,-,東京都中央区東日本橋3-12-14,35.69262621,139.7846799,アパホテル〈東日本橋駅前〉,3.98,704,219,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147027
千代田区,神田紺屋町８丁目,-,東京都千代田区神田紺屋町8-1,35.69190298,139.7740228,相鉄フレッサイン東京神田,4.25,200,115,https://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=165857
