指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2024/2/2取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,2020年度：645件、2021年度：679件、2022年度：728件、2023年度：793件）,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間
江東区,南砂二丁目,-,東京都江東区南砂2-38-3,35.669535,139.825517,H1-65.ローソン南砂日曹橋店 / LAWSON Minamisuna Nissobashi shop,-,Open for 24 hours
江東区,大島九丁目,-,東京都江東区大島9-1-15,35.687677,139.846284,H1-66.中川船番所資料館 / Nakagawa ship Bansho museum,-,Open for 24 hours
江東区,亀戸九丁目,-,東京都江東区亀戸9-18-10,35.697784,139.843076,H1-67.セブン-イレブン 江東亀戸９丁目店 / Seven-Eleven Koto Kameido 9chome store,-,Open for 24 hours
江東区,豊洲六丁目,-,東京都江東区豊洲6-2-3,35.64572,139.791401,H1-68.芝浦工業大学附属中学高等学校 / Shibaura Institute of Technology Junior and Senior High School,-,Open for 24 hours
江東区,石島,-,東京都江東区石島5-8-3,35.680269,139.812166,H1-69.ファミリーマート江東石島店 / FamilyMart Koto Ishijima shop,-,Open for 24 hours
江東区,有明二丁目,-,東京都江東区有明2-3-5,35.633179,139.783819,H1-70.有明スポーツセンター / Ariake sports center,-,Open 8:30-22:30
江東区,東陽四丁目,-,東京都江東区東陽4-6-11,35.670829,139.819332,H1-71.セブン-イレブン 江東東陽4丁目店 / Seven-Eleven Koto Toyo 4-Chome store,-,Open for 24 hours
江東区,深川二丁目,-,東京都江東区深川2-7-6,35.674867,139.797423,H1-72.ネクストサイト深川ビル / NEXTSITE Fukagawa Building,-,Open for 24 hours
江東区,冬木,-,東京都江東区冬木11-17,35.67352,139.800037,H1-73.イシマビル / Ishima Building,-,Open for 24 hours
江東区,新木場二丁目,-,東京都江東区新木場2-7-1,35.638277,139.831968,H1-74.タダノ教習センター / TADANO KYOSHU CENTER,-,Open for 24 hours
江東区,扇橋二丁目,-,東京都江東区扇橋2-10-3,35.683982,139.815269,H1-75.ジオ深川住吉 / GEO FUKAGAWA SUMIYOSHI,-,Open for 24 hours
江東区,有明一丁目,-,東京都江東区有明1-3-33,35.63794,139.788402,H1-76.有明物流センター / Ariake Logistic Center,-,Open for 24 hours
江東区,東砂二丁目,-,東京都江東区東砂2-12-31,35.684466,139.84399,H1-77.ライフ東砂店 / LIFE Higashisuna Store,-,Open for 24 hours
江東区,新木場一丁目,-,東京都江東区新木場1-8-19,35.645818,139.835003,H1-78.ローソン新木場一丁目店 / LAWSON Shinkiba 1-Chome shop,-,Open for 24 hours
江東区,豊洲三丁目,-,東京都江東区豊洲3-1-1,35.659354,139.79357,H1-81.豊洲IHIビル（北側）/Toyosu IHI Building(north side),-,Open for 24 hours
江東区,北砂三丁目,-,東京都江東区北砂3-3-7,35.683624,139.827131,H1-82.セブン-イレブン 北砂3丁目明治通り店 / Seven-Eleven Kitasuna 3-Chome Meijidori store,-,Open for 24 hours
江東区,東雲二丁目,-,東京都江東区東雲2-3-22,35.642248,139.800229,H1-83.ローソン江東東雲店 / LAWSON Koto Shinonome shop,-,Open for 24 hours
江東区,辰巳二丁目,-,東京都江東区辰巳2-8-17,35.647287,139.817399,H1-84.NTT東日本辰巳ビル / NTT-East Tatsumi Build,-,Open for 24 hours
江東区,塩浜二丁目,-,東京都江東区塩浜2-4-35,35.662368,139.803767,H1-87.パークアクシス木場キャナルウエスト / Park Axis Kiba Canal West,-,Open for 24 hours
江東区,有明一丁目,-,東京都江東区有明1-5-22,35.63736,139.781743,H1-89.BUDDY スポーツアリーナ / BUDDY SPORTS ARENA,-,Open for 24 hours
江東区,枝川一丁目,-,東京都江東区枝川1-10-24,35.654483,139.804342,H1-90.富士倉庫運輸㈱ FACE-1前 / Fujisokounyu.co. FACE-1 Bldg.,-,Open for 24 hours
江東区,亀戸一丁目,-,東京都江東区亀戸1-41-2,35.697017,139.823745,H1-91.亀戸駅北口第三自転車駐車場 / Kameido sta. North 3rd Bicycle garage,-,Open for 24 hours
江東区,亀戸五丁目,-,東京都江東区亀戸5-1,35.697686,139.8268,H1-92.亀戸駅東口第二自転車駐車場 / Kameido sta. East 2nd Bicycle garage,-,Open for 24 hours
江東区,新木場一丁目,-,東京都江東区新木場1-12,35.639894,139.83557,H1-93.新木場一丁目公園 / Shinkiba 1chome Park,-,Open for 24 hours
