指標名,世界トップ企業,,,,,,,,,,,,,,,
出典,Forbes/Fortune,,,,,,,,,,,,,,,
年次,2023年,,,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000, https://fortune.com/global500/2023,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,
,,,,,,,,,Forbes,,,,,,,
区,町丁,エリア,住所,緯度,経度,Name,会社名,Ranking,Rank,SALES,PROFIT,ASSETS,MARKETVALUE,Employees,URL,
港区,赤坂９丁目,六本木,東京都港区赤坂９丁目７番３号,35.66555,139.7304,Fujifilm Holdings,富士フイルムホールディングス株式会社,Forbes Global 2023,551,$20.98B,$1.58B,$31.44B,$21.28B,75470,https://www.forbes.com/companies/fujifilm-holdings/,
港区,赤坂５丁目,赤坂,東京都港区赤坂５－３－１　赤坂Ｂｉｚタワー,35.67318,139.73636,Tokyo Electron,東京エレクトロン株式会社,Forbes Global 2023,556,$16.84B,$3.65B,$15.86B,$54.6B,15634,https://www.forbes.com/companies/tokyo-electron/,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目４－１,35.68436,139.76493,Sumitomo Mitsui Trust,三井住友トラスト・ホールディングス株式会社,Forbes Global 2023,558,$11.75B,$1.31B,$516.55B,$13.37B,22024,https://www.forbes.com/companies/sumitomo-mitsui-trust/,
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２丁目３番２号　郵船ビル,35.68152,139.76292,Nippon Yusen,日本郵船株式会社,Forbes Global 2023,567,$20.19B,$9.41B,$28.46B,$11.69B,35165,https://www.forbes.com/companies/nippon-yusen/,
渋谷区,代々木２丁目,-,東京都渋谷区代々木２丁目２番２号,35.68732,139.70006,East Japan Railway,東日本旅客鉄道株式会社,Forbes Global 2023,600,$17.75B,$732.3M,$70.27B,$21.96B,-,https://www.forbes.com/companies/east-japan-railway/,
新宿区,西新宿１丁目,-,東京都新宿区西新宿１丁目２６－１,35.6927,139.69611,Sompo,ＳＯＭＰＯホールディングス株式会社,Forbes Global 2023,608,$33.79B,$598.6M,$113.22B,$14.05B,47776,https://www.forbes.com/companies/sompo/,
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内三丁目２番３号,35.6777,139.76173,Mitsubishi Heavy Industries,三菱重工業株式会社,Forbes Global 2023,620,$31.57B,$988.1M,$41.52B,$13.01B,77283,https://www.forbes.com/companies/mitsubishi-heavy-industries/,
千代田区,大手町１丁目,大丸有,東京都千代田区丸の内三丁目１番１号,35.68775,139.76226,Idemitsu Kosan,出光興産株式会社,Forbes Global 2023,626,$70.33B,$2.5B,$39.47B,$6.44B,14209,https://www.forbes.com/companies/idemitsu-kosan/,
中央区,日本橋１丁目,日八京,東京都中央区日本橋１丁目９－１,35.68378,139.77615,Nomura,野村證券株式会社,Forbes Global 2023,656,$18.35B,$684.7M,$358.94B,$10.69B,26402,https://www.forbes.com/companies/nomura/,
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿１丁目２０－８　,35.64679,139.71339,Subaru,株式会社ＳＵＢＡＲＵ,Forbes Global 2023,667,$26.95B,$1.23B,$29.16B,$12.57B,36910,https://www.forbes.com/companies/subaru/,
港区,芝浦１丁目,-,東京都港区芝浦１丁目１－１　,35.65164,139.75797,Toshiba,株式会社東芝,Forbes Global 2023,668,$25.48B,$1.24B,$26.57B,$14.16B,106648,https://www.forbes.com/companies/toshiba/,
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１－１－１　大手町パークビル,35.68661,139.76282,Mitsubishi Estate,三菱地所株式会社,Forbes Global 2023,675,$10.27B,$1.3B,$53.15B,$15.84B,10202,https://www.forbes.com/companies/mitsubishi-estate/,
千代田区,内幸町２丁目,-,東京都千代田区内幸町２丁目２番３号,35.67033,139.75431,JFE Holdings,ＪＦＥ（ジェイエフイー）ホールディングス株式会社,Forbes Global 2023,678,$39.36B,$1.59B,$43.22B,$6.93B,64296,https://www.forbes.com/companies/jfe-holdings/,
江東区,豊洲３丁目,-,東京都江東区豊洲３丁目２番２４号,35.65759,139.79497,Renesas Electronics,ルネサス　エレクトロニクス株式会社,Forbes Global 2023,685,$11.17B,$2.23B,$21.34B,$24.65B,21017,https://www.forbes.com/companies/renesas-electronics/,
港区,海岸１丁目,-,東京都港区海岸１－５－２０,35.65345,139.75855,Tokyo Gas,東京ガス株式会社,Forbes Global 2023,717,$24.27B,$2.07B,$26.91B,$9.02B,16858,https://www.forbes.com/companies/tokyo-gas/,
港区,芝５丁目,-,東京都港区芝五丁目７番１号,35.64943,139.74794,NEC,日本電気株式会社,Forbes Global 2023,744,$24.45B,$844.9M,$29.93B,$11.83B,118527,https://www.forbes.com/companies/nec/,
千代田区,神田司町２丁目,-,東京都千代田区神田司町２－９,35.69351,139.76695,Otsuka Holding,大塚ホールディングス株式会社,Forbes Global 2023,771,$13.21B,$1.02B,$23.52B,$18.87B,33482,https://www.forbes.com/companies/otsuka-holding/,
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門２丁目１番１号,35.66985,139.74687,Mitsui OSK Lines,株式会社　商船三井,Forbes Global 2023,775,$11.89B,$5.87B,$26.78B,$8.51B,8571,https://www.forbes.com/companies/mitsui-osk-lines/,
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町三丁目５番１号,35.68832,139.77507,Daiichi Sankyo,第一三共株式会社,Forbes Global 2023,808,$9.43B,$805.7M,$18.85B,$66.62B,16033,https://www.forbes.com/companies/daiichi-sankyo/,
江東区,木場１丁目,-,東京都江東区木場１丁目５番６５号　深川ギャザリア　Ｗ２棟,35.66733,139.80327,Resona Holdings,株式会社りそなホールディングス,Forbes Global 2023,823,$6.35B,$814.7M,$556.79B,$11.62B,19744,https://www.forbes.com/companies/resona-holdings/,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－５－１,35.68254,139.76429,Mitsubishi UFJ Lease,三菱ＵＦＪリース株式会社,Forbes Global 2023,831,$14.16B,$833.1M,$84.32B,$7.48B,8803,https://www.forbes.com/companies/mitsubishi-ufj-lease/,
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目５番１号,35.68147,139.77383,TDK,ＴＤＫ株式会社,Forbes Global 2023,852,$16.09B,$842.6M,$23.65B,$13.73B,129284,https://www.forbes.com/companies/tdk/,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－１－１,35.6845,139.76122,Mitsubishi Chemical,三菱ケミカル株式会社,Forbes Global 2023,890,$34.08B,$547.9M,$44.45B,$8.36B,-,https://www.forbes.com/companies/mitsubishi-chemical/,
千代田区,内幸町１丁目,-,東京都千代田区内幸町１丁目１番３号,35.67011,139.75843,Tokyo Electric Power,東京電力ホールディングス株式会社,Forbes Global 2023,895,$57.55B,$-912.3M,$101.91B,$5.77B,37891,https://www.forbes.com/companies/tokyo-electric-power/,
中央区,日本橋本町２丁目,日八京,東京都中央区日本橋本町２－５－１,35.68726,139.77611,Astellas Pharma,アステラス製薬株式会社,Forbes Global 2023,918,$11.21B,$728.4M,$18.46B,$27.7B,15455,https://www.forbes.com/companies/astellas-pharma/,
新宿区,西新宿２丁目,-,東京都新宿区西新宿二丁目４番１号,35.68804,139.69351,Sumitomo Realty,住友不動産株式会社,Forbes Global 2023,925,$7.03B,$1.19B,$45.16B,$10.84B,13040,https://www.forbes.com/companies/sumitomo-realty/,
