指標名,観光地,,,,,,,,,
出典,google places API,,,,,,,,,
年次,2024/02/09取得,,,,,,,,,
URL,https://maps.googleapis.com/maps/api/place/nearbysearch,,,,,,,,,
備考,(2021年度：1925件、2022年度：1922件、2023年度：2497件),,,,,,,,,
,,,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,place_id
千代田区,元赤坂１丁目,赤坂,港区元赤坂１丁目４,35.676217,139.7327907,豊川稲荷縁起説明板,"tourist_attraction, point_of_interest, establishment",0,0,ChIJw48jshCNGGARRnsUxkRxq80
千代田区,紀尾井町,赤坂,千代田区紀尾井町１,35.6808301,139.7383134,諏訪坂,"tourist_attraction, point_of_interest, establishment",3.3,4,ChIJjenolXuMGGARgOBTvZTPBp4
千代田区,永田町１丁目,赤坂,千代田区永田町１丁目１−２,35.6771964,139.7478462,日本 水準原点,"tourist_attraction, point_of_interest, establishment",4.2,190,ChIJN_ucJIqLGGARpSbER4BCoPQ
千代田区,永田町１丁目,赤坂,千代田区永田町１丁目７−１,35.675888,139.744858,国会議事堂,"tourist_attraction, point_of_interest, establishment",4,972,ChIJibDhsomLGGARkIZSXvrUx0g
千代田区,一番町,-,千代田区一番町２５,35.6858735,139.7419312,半蔵門ミュージアム,"museum, tourist_attraction, point_of_interest, establishment",4.5,227,ChIJAQDQVmWMGGAR4dNK6sEJZ80
千代田区,-,-,千代田区,35.684946,139.7446913,第一東京市立中学校発祥之地,"tourist_attraction, point_of_interest, establishment",3.6,7,ChIJq0g-TXCMGGAR-o7ekmZpZaI
千代田区,永田町２丁目,赤坂,千代田区永田町２丁目１８,35.678173,139.7402878,華族女学校の遺蹟碑,"tourist_attraction, point_of_interest, establishment",3.3,7,ChIJuVLHr3mMGGAR9ACBD0mo7E8
千代田区,紀尾井町,赤坂,千代田区紀尾井町１−２,35.6799926,139.7379363,東京ガーデンテラス紀尾井町,"tourist_attraction, point_of_interest, establishment",4.1,6016,ChIJ4Z9j7XuMGGAR9u6LL1dJtJ0
千代田区,紀尾井町,赤坂,千代田区紀尾井町３−３２,35.6811949,139.737333,紀尾井アートギャラリー・江戸の伊勢型紙美術館,"tourist_attraction, museum, point_of_interest, establishment",3.3,10,ChIJ63TAg3uMGGARUhoxazPhn7Q
千代田区,元赤坂１丁目,赤坂,港区元赤坂１丁目４−７,35.6764056,139.73285,豊川稲荷東京別院,"tourist_attraction, place_of_worship, point_of_interest, establishment",4.5,4058,ChIJK-keEn6MGGARyZaLZnQVdgU
千代田区,赤坂５丁目,赤坂,港区赤坂５丁目２−４７,35.6728914,139.7338235,円通寺坂公園,"tourist_attraction, park, point_of_interest, establishment",3.8,13,ChIJdSILd4CLGGARadTS5i-puZ8
千代田区,神田錦町１丁目,-,千代田区神田錦町１丁目２９,35.6898185,139.7641521,豊展観守像,"tourist_attraction, point_of_interest, establishment",3.9,9,ChIJ8fSyPD2NGGAReCau2PgziT0
