,,,,,,,,,,,2023年度,昨年
指標名,保育園,,,認可保育所,https://www.fukushi.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/index.html,,,,,認可,644,603
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,,認証A,88,98
年次,2024/2/6取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,,認証B,11,12
URL,右記参照,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,,認定こども園（幼保連携型）,7,7
備考,（2021年度：1073件、2022年度：1080件、2023年度：792件）,,,,,,,,,認定こども園（保育所型）,41,38
,,,,,,,,,,認定こども園（地方裁量型）,0,1
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,データ時点,,,
江東区,富岡２丁目,-,江東区富岡二丁目１１番６号,35.670479,139.80141,木下の保育園　富岡,認可,78,令和5年10月1日時点,,,
江東区,枝川１丁目,-,江東区枝川１－２－９,35.658989,139.802598,豊洲枝川さくらんぼ,認可,100,令和5年10月1日時点,,,
江東区,枝川３丁目,-,江東区枝川三丁目６番１５号,35.658418,139.810472,愛隣シャローム保育園,認可,99,令和5年10月1日時点,,,
江東区,枝川２丁目,-,江東区枝川二丁目２５番１０号,35.657313,139.808166,深川愛隣保育園,認可,95,令和5年10月1日時点,,,
江東区,潮見２丁目,-,江東区潮見１－２８－８　ベイフレール潮見２Ｆ・３Ｆ,35.657886,139.816345,太陽の子　潮見保育園,認可,60,令和5年10月1日時点,,,
江東区,潮見２丁目,-,江東区潮見一丁目２９番１５－１０１号,35.657886,139.816345,江東区潮見保育園,認可,120,令和5年10月1日時点,,,
江東区,辰巳１丁目,-,江東区辰巳１－１０－８１－１０１,35.648193,139.811381,江東区辰巳第三保育園,認可,120,令和5年10月1日時点,,,
江東区,辰巳１丁目,-,江東区辰巳１－２－４　１・２階,35.649466,139.80866,江東区辰巳第二保育園,認可,103,令和5年10月1日時点,,,
江東区,豊洲３丁目,-,江東区豊洲３－２－２０　豊洲フロント１０６,35.656897,139.79589,ゆらりん豊洲フロント保育園,認可,60,令和5年10月1日時点,,,
江東区,豊洲３丁目,-,江東区豊洲３－４－８,35.656674,139.798005,ＴＫチルドレンズファーム豊洲校,認可,50,令和5年10月1日時点,,,
江東区,豊洲３丁目,-,江東区豊洲３－４－８　スーパービバホーム２階,35.656674,139.798005,ＴＫチルドレンズファーム豊洲第二校,認可,45,令和5年10月1日時点,,,
江東区,豊洲３丁目,-,江東区豊洲３－６－８　１階,35.659995,139.795965,アスク豊洲保育園,認可,60,令和5年10月1日時点,,,
江東区,豊洲３丁目,-,江東区豊洲４－１－８,35.654589,139.79652,さくらさくみらい豊洲,認可,69,令和5年10月1日時点,,,
江東区,豊洲５丁目,-,江東区豊洲５－１－２６,35.65195,139.794937,グローバルキッズ豊洲,認可,160,令和5年10月1日時点,,,
江東区,豊洲３丁目,-,江東区豊洲５－６－２９,35.654589,139.79652,グローバルキッズ豊洲五丁目保育園,認可,91,令和5年10月1日時点,,,
江東区,豊洲５丁目,-,江東区豊洲５－６－５２　１階,35.650611,139.799241,アイグラン保育園豊洲,認可,55,令和5年10月1日時点,,,
江東区,豊洲６丁目,-,江東区豊洲6-2-10 2F,35.649424,139.79303,小学館アカデミーしんとよす保育園,認可,243,令和5年10月1日時点,,,
江東区,豊洲３丁目,-,江東区豊洲五丁目５番２５号,35.654589,139.79652,キッズポケット豊洲保育園,認可,77,令和5年10月1日時点,,,
江東区,豊洲３丁目,-,江東区豊洲三丁目５番２１－１０２号,35.654589,139.79652,蓮美幼児学園とよすナーサリー,認可,134,令和5年10月1日時点,,,
江東区,豊洲３丁目,-,江東区豊洲三丁目５番３号,35.654589,139.79652,蓮美幼児学園第２とよすナーサリー,認可,87,令和5年10月1日時点,,,
江東区,豊洲４丁目,-,江東区豊洲四丁目１０番１－１０６号,35.653792,139.80131,ゆらりん豊四保育園,認可,75,令和5年10月1日時点,,,
江東区,豊洲３丁目,-,江東区豊洲四丁目１１番２０－１３８号,35.654589,139.79652,ひまわりキッズガーデン豊洲,認可,91,令和5年10月1日時点,,,
江東区,豊洲３丁目,-,江東区豊洲四丁目１番２４号,35.654589,139.79652,ミアヘルサ保育園ひびき豊洲,認可,120,令和5年10月1日時点,,,
江東区,豊洲３丁目,-,江東区豊洲四丁目５番８号,35.654589,139.79652,江東区豊洲保育園,認可,130,令和5年10月1日時点,,,
江東区,豊洲２丁目,-,江東区豊洲二丁目５番３－１０１号,35.658361,139.792201,ＭＩＷＡシンフォニア保育園,認可,120,令和5年10月1日時点,,,
江東区,東雲１丁目,-,江東区東雲１－１０－１４,35.650661,139.802414,グローバルキッズしののめ園,認可,81,令和5年10月1日時点,,,
江東区,東雲１丁目,-,江東区東雲１－８－５－１０１,35.644941,139.800236,江東区東雲保育園,認可,77,令和5年10月1日時点,,,
江東区,東雲２丁目,-,江東区東雲２－１－２２,35.643794,139.801499,みんなのみらいをつくる保育園東雲,認可,50,令和5年10月1日時点,,,
江東区,東雲２丁目,-,江東区東雲２－４－４－１０３,35.643329,139.799294,江東区東雲第二保育園,認可,82,令和5年10月1日時点,,,
江東区,東雲１丁目,-,江東区東雲一丁目８番１８号,35.644821,139.800916,ＹＭＣＡオリーブ保育園,認可,114,令和5年10月1日時点,,,
江東区,東雲１丁目,-,江東区東雲一丁目９番１４－１０４号,35.646477,139.804421,ＹＭＣＡキャナルコート保育園,認可,117,令和5年10月1日時点,,,
江東区,東雲１丁目,-,江東区東雲一丁目９番１８－２０３号,35.647664,139.804229,ひまわりキッズガーデン東雲,認可,96,令和5年10月1日時点,,,
江東区,東雲１丁目,-,江東区東雲一丁目９番５１号,35.649163,139.804535,東雲キャナルコートナーサリースクール,認可,90,令和5年10月1日時点,,,
江東区,東雲２丁目,-,江東区東雲二丁目３番１７号３階,35.642184,139.800721,ナーサリールームベリーベアー東雲,認可,119,令和5年10月1日時点,,,
江東区,有明１丁目,-,江東区有明１－２－１２,35.641812,139.794567,みらいく有明園,認可,94,令和5年10月1日時点,,,
江東区,有明１丁目,-,江東区有明１－３－１,35.638781,139.790132,キッズスマイル江東有明,認可,58,令和5年10月1日時点,,,
江東区,有明１丁目,-,江東区有明１－５－２　２階,35.636114,139.782622,さんいく保育園有明,認可,91,令和5年10月1日時点,,,
江東区,有明１丁目,-,江東区有明１－５－２２,35.63736,139.781743,江東湾岸サテライトスマートナーサリースクール,認可,271,令和5年10月1日時点,,,
江東区,有明１丁目,-,江東区有明１－６－３０,35.634283,139.783021,おはよう保育園有明,認可,64,令和5年10月1日時点,,,
江東区,有明３丁目,-,江東区有明３－６－１１　３階,35.630895,139.790628,ニチイキッズありあけ保育園,認可,71,令和5年10月1日時点,,,
江東区,有明１丁目,-,江東区有明一丁目４番１１号,35.637139,139.787248,ひまわりキッズガーデン有明,認可,122,令和5年10月1日時点,,,
江東区,有明１丁目,-,江東区有明一丁目４番２０号,35.63666,139.786425,ひまわりキッズガーデン有明の森,認可,117,令和5年10月1日時点,,,
江東区,有明３丁目,-,江東区有明三丁目７番２６号,35.631467,139.79179,江東湾岸サテライトナーサリースクール（本園）,認可,325,令和5年10月1日時点,,,
江東区,亀戸１丁目,-,江東区亀戸１－２４－６,35.694531,139.824046,江東区亀戸第三保育園,認可,135,令和5年10月1日時点,,,
江東区,亀戸１丁目,-,江東区亀戸１－４３－８　１階,35.696675,139.820766,おはよう保育園　亀戸,認可,45,令和5年10月1日時点,,,
江東区,亀戸２丁目,-,江東区亀戸２－１０－１０,35.700341,139.8231,クオリスキッズ亀戸保育園,認可,80,令和5年10月1日時点,,,
江東区,亀戸３丁目,-,江東区亀戸３ー４３ー２３,35.703735,139.822001,にじいろ保育園亀戸,認可,79,令和5年10月1日時点,,,
江東区,亀戸５丁目,-,江東区亀戸５－１－１５,35.697896,139.832286,グローバルキッズ亀戸園,認可,121,令和5年10月1日時点,,,
江東区,亀戸６丁目,-,江東区亀戸６－３１－１,35.695395,139.828689,ポピンズナーサリースクール亀戸,認可,80,令和5年10月1日時点,,,
江東区,亀戸６丁目,-,江東区亀戸６－４２ー１３,35.696339,139.831974,こころこうとう保育園,認可,92,令和5年10月1日時点,,,
江東区,亀戸６丁目,-,江東区亀戸６－５４－２－１０１,35.696525,139.832462,江東区亀戸保育園,認可,72,令和5年10月1日時点,,,
江東区,亀戸７丁目,-,江東区亀戸７－１０－１　１階,35.697658,139.834213,まなびの森保育園亀戸,認可,80,令和5年10月1日時点,,,
江東区,亀戸７丁目,-,江東区亀戸７－３８－１２　１・２階,35.697506,139.839351,保育園ミルキーウェイ亀戸園,認可,52,令和5年10月1日時点,,,
江東区,亀戸７丁目,-,江東区亀戸７－３９－２８,35.696654,139.839444,江東亀戸サテライトグローバルキッズ竪川園,認可,198,令和5年10月1日時点,,,
江東区,亀戸７丁目,-,江東区亀戸７－４１－１６　江東区青少年交流プラザ３・４階,35.696776,139.837388,江東区亀戸第二保育園,認可,103,令和5年10月1日時点,,,
江東区,亀戸９丁目,-,江東区亀戸九丁目３４番１－１４０号,35.700283,139.840446,亀戸こころ保育園,認可,136,令和5年10月1日時点,,,
江東区,亀戸９丁目,-,江東区亀戸九丁目３６番１０号,35.698439,139.838956,亀戸浅間保育園,認可,80,令和5年10月1日時点,,,
江東区,亀戸４丁目,-,江東区亀戸四丁目１３番１８号,35.700941,139.82818,アンジェリカ亀戸保育園,認可,78,令和5年10月1日時点,,,
江東区,亀戸４丁目,-,江東区亀戸四丁目２１番１３号,35.702639,139.826584,江東区亀戸第四保育園,認可,131,令和5年10月1日時点,,,
江東区,亀戸２丁目,-,江東区亀戸二丁目６番２－１０２号,35.70017,139.822557,陽だまり保育園,認可,80,令和5年10月1日時点,,,
江東区,亀戸６丁目,-,江東区亀戸六丁目５３番１１号,35.695916,139.83265,コビープリスクールかめいど,認可,46,令和5年10月1日時点,,,
江東区,大島１丁目,-,江東区大島１－１０－５,35.688712,139.823399,グローバルキッズ西大島園,認可,73,令和5年10月1日時点,,,
江東区,大島３丁目,-,江東区大島３－１４－５　１階,35.689826,139.828118,プチ・ナーサリー西大島,認可,60,令和5年10月1日時点,,,
江東区,大島３丁目,-,江東区大島３－１５－１０,35.690609,139.828836,大島なかよし保育園,認可,45,令和5年10月1日時点,,,
江東区,大島４丁目,-,江東区大島４－１－６－１３０,35.687428,139.830089,江東区大島第二保育園,認可,92,令和5年10月1日時点,,,
江東区,大島４丁目,-,江東区大島４－２１－３－１０１,35.686485,139.831799,江東区大島第五保育園,認可,105,令和5年10月1日時点,,,
江東区,大島５丁目,-,江東区大島５－２７－１３,35.686747,139.835882,太陽の子　大島五丁目保育園,認可,78,令和5年10月1日時点,,,
江東区,大島５丁目,-,江東区大島５－３０－１２,35.687737,139.835003,HOPPAおおじまタウン,認可,60,令和5年10月1日時点,,,
江東区,大島５丁目,-,江東区大島５－４０－４　１階,35.687026,139.837178,江東区大島保育園,認可,98,令和5年10月1日時点,,,
江東区,大島６丁目,-,江東区大島６－１－６－１３０,35.692341,139.833261,江東区大島第三保育園,認可,101,令和5年10月1日時点,,,
江東区,大島６丁目,-,江東区大島６－２２－８,35.692938,139.837237,ココロラボインターナショナル大島,認可,56,令和5年10月1日時点,,,
江東区,大島６丁目,-,江東区大島６－２６－１１,35.691102,139.837016,キッズスマイル江東大島,認可,60,令和5年10月1日時点,,,
江東区,大島７丁目,-,江東区大島７－３７－１３,35.691958,139.841564,かがやき保育園,認可,161,令和5年10月1日時点,,,
江東区,大島８丁目,-,江東区大島８－１２－２０－１０１,35.687331,139.839009,江東区大島第四保育園,認可,99,令和5年10月1日時点,,,
江東区,大島８丁目,-,江東区大島８－３１－２,35.68899,139.84211,アスク東大島保育園,認可,70,令和5年10月1日時点,,,
江東区,大島９丁目,-,江東区大島９－７－８－１０１,35.694046,139.844188,江東区わかば保育園,認可,112,令和5年10月1日時点,,,
江東区,大島３丁目,-,江東区大島三丁目８番７号,35.692453,139.828276,花と鳥保育園,認可,90,令和5年10月1日時点,,,
江東区,大島２丁目,-,江東区大島二丁目３６番１５号,35.691557,139.825282,マミー保育園西大島,認可,60,令和5年10月1日時点,,,
江東区,北砂５丁目,-,江東区北砂１－１－４－１０１,35.682403,139.831695,江東区北砂保育園,認可,100,令和5年10月1日時点,,,
江東区,北砂１丁目,-,江東区北砂１－３－３０,35.684136,139.823684,江東区小名木川保育園,認可,140,令和5年10月1日時点,,,
江東区,北砂５丁目,-,江東区北砂１－９－６,35.682403,139.831695,スクルドエンジェル北砂園,認可,73,令和5年10月1日時点,,,
江東区,北砂３丁目,-,江東区北砂3-4-15 1F,35.684637,139.827387,つくし保育園,認可,46,令和5年10月1日時点,,,
江東区,北砂５丁目,-,江東区北砂５－１－２３,35.68022,139.832834,キッズスマイル江東北砂,認可,85,令和5年10月1日時点,,,
江東区,北砂５丁目,-,江東区北砂５－１－２８,35.679965,139.832554,Ｍｉｌｋｙ　Ｗａｙ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｎｕｒｓｅｒｙ　Ｓｃｈｏｏｌ　北砂校,認可,69,令和5年10月1日時点,,,
江東区,北砂５丁目,-,江東区北砂５－１７－５,35.682068,139.834313,にじいろ保育園北砂,認可,69,令和5年10月1日時点,,,
江東区,北砂５丁目,-,江東区北砂５－２０－１０－１０１,35.685559,139.833809,江東区亀高第二保育園,認可,110,令和5年10月1日時点,,,
江東区,北砂５丁目,-,江東区北砂５－２０－３－１０１,35.682307,139.832035,江東区小名木川第二保育園,認可,122,令和5年10月1日時点,,,
江東区,北砂５丁目,-,江東区北砂５－２０－９－１０１,35.684801,139.833006,江東区亀高保育園,認可,111,令和5年10月1日時点,,,
江東区,北砂５丁目,-,江東区北砂６－２７－１９,35.682403,139.831695,みらいく北砂園,認可,63,令和5年10月1日時点,,,
江東区,北砂５丁目,-,江東区北砂五丁目１４番１０号,35.680734,139.834512,砂町友愛園,認可,100,令和5年10月1日時点,,,
江東区,北砂５丁目,-,江東区北砂四丁目１８番２７号,35.682403,139.831695,砂町保育園,認可,100,令和5年10月1日時点,,,
江東区,東砂５丁目,-,江東区東砂１－５－３－１０１,35.677307,139.84193,江東区東砂第三保育園,認可,103,令和5年10月1日時点,,,
江東区,東砂５丁目,-,江東区東砂２－１３－２－１０１,35.677307,139.84193,江東区東砂保育園,認可,80,令和5年10月1日時点,,,
江東区,東砂２丁目,-,江東区東砂２－６－４－１０１,35.684457,139.842979,江東区東砂第二保育園,認可,84,令和5年10月1日時点,,,
江東区,東砂５丁目,-,江東区東砂３－２８－１,35.677307,139.84193,マミー保育園東砂,認可,150,令和5年10月1日時点,,,
江東区,東砂３丁目,-,江東区東砂３－３０－１１,35.680994,139.844492,みらいく東砂園,認可,60,令和5年10月1日時点,,,
江東区,東砂７丁目,-,江東区東砂７－１０－３,35.671788,139.839046,メリーポピンズ南砂ルーム,認可,64,令和5年10月1日時点,,,
江東区,東砂５丁目,-,江東区東砂７－１７－３５－１０１,35.677307,139.84193,江東区東砂第四保育園,認可,92,令和5年10月1日時点,,,
江東区,東砂７丁目,-,江東区東砂７－１８－１８,35.67528,139.837739,にじいろ保育園東砂,認可,100,令和5年10月1日時点,,,
江東区,東砂８丁目,-,江東区東砂８－１９－４,35.667701,139.84161,キッズスマイル江東東砂,認可,58,令和5年10月1日時点,,,
江東区,東砂６丁目,-,江東区東砂六丁目２番１６号,35.669828,139.841543,ともしび保育園,認可,107,令和5年10月1日時点,,,
江東区,新砂３丁目,-,江東区新砂三丁目３番１１号,35.659429,139.831695,江東区新砂保育園,認可,119,令和5年10月1日時点,,,
江東区,南砂２丁目,-,江東区南砂２－２－１１,35.669609,139.823522,南砂あら川保育園,認可,63,令和5年10月1日時点,,,
江東区,南砂２丁目,-,江東区南砂２－２８－２７,35.675431,139.821666,ドリームキッズランド保育園,認可,55,令和5年10月1日時点,,,
江東区,南砂２丁目,-,江東区南砂２－３－３－１０２,35.67317,139.823004,江東区南砂第三保育園,認可,104,令和5年10月1日時点,,,
江東区,南砂２丁目,-,江東区南砂２－３－４－１０１,35.671798,139.823245,江東区南砂第四保育園,認可,111,令和5年10月1日時点,,,
江東区,南砂２丁目,-,江東区南砂２－３６－１０　光陽ビル１Ｆ,35.67232,139.825845,太陽の子　南砂２丁目保育園,認可,90,令和5年10月1日時点,,,
江東区,南砂２丁目,-,江東区南砂２－３－６－１０３,35.670193,139.823849,江東区南砂第五保育園,認可,70,令和5年10月1日時点,,,
江東区,南砂３丁目,-,江東区南砂３－１４－６,35.670138,139.832883,グローバルキッズ南砂園,認可,99,令和5年10月1日時点,,,
江東区,南砂４丁目,-,江東区南砂４－１８－４　１・２階,35.672965,139.832479,ルーチェ保育園　南砂,認可,60,令和5年10月1日時点,,,
江東区,南砂３丁目,-,江東区南砂４－４－１－１０２,35.672828,139.827857,江東区南砂第一保育園,認可,97,令和5年10月1日時点,,,
江東区,南砂６丁目,-,江東区南砂６－１０－１１,35.670636,139.835577,おはよう保育園　南砂町,認可,80,令和5年10月1日時点,,,
江東区,南砂７丁目,-,江東区南砂7-10-9 1F,35.668332,139.835084,ひまわり保育園,認可,46,令和5年10月1日時点,,,
江東区,南砂７丁目,-,江東区南砂７－９－１１,35.669867,139.835156,江東区城東保育園,認可,119,令和5年10月1日時点,,,
江東区,南砂３丁目,-,江東区南砂三丁目１０番８号,35.67006,139.830469,南砂町保育園,認可,90,令和5年10月1日時点,,,
江東区,南砂７丁目,-,江東区南砂七丁目１４番１７号,35.668907,139.837783,八幡保育園,認可,65,令和5年10月1日時点,,,
江東区,南砂２丁目,-,江東区南砂二丁目３番１－１０１号,35.670288,139.822001,江東区南砂第二保育園,認可,109,令和5年10月1日時点,,,
江東区,南砂６丁目,-,江東区南砂六丁目８番３号,35.671211,139.834853,江東区南砂さくら保育園,認可,100,令和5年10月1日時点,,,
品川区,北品川１丁目,-,品川区北品川１－２８－１０,35.620262,139.741477,さくらさくみらい　北品川,認可,63,令和5年10月1日時点,,,
品川区,北品川３丁目,-,品川区北品川三丁目６番１号,35.620436,139.739278,さくらさくみらい御殿山,認可,59,令和5年10月1日時点,,,
品川区,東品川２丁目,-,品川区東品川２－５－５　ハーバーワンビル１Ｆ,35.621181,139.749404,ウィズブック保育園天王洲,認可,73,令和5年10月1日時点,,,
品川区,東品川３丁目,-,品川区東品川３－２５－９,35.613004,139.74742,ほっぺるランド東品川,認可,72,令和5年10月1日時点,,,
品川区,東品川３丁目,-,品川区東品川３－２６－２１,35.61246,139.746063,みらいく東品川園,認可,60,令和5年10月1日時点,,,
品川区,東品川４丁目,-,品川区東品川４－１１－３６,35.607714,139.747879,まなびの森保育園品川シーサイド,認可,80,令和5年10月1日時点,,,
品川区,東品川４丁目,-,品川区東品川４－８－８,35.609444,139.745848,アンジェリカ東品川保育園,認可,90,令和5年10月1日時点,,,
品川区,東品川４丁目,-,品川区東品川４－８－８　２Ｆ,35.609444,139.745848,青物横丁えほん保育園,認可,80,令和5年10月1日時点,,,
品川区,東品川４丁目,-,品川区東品川４－９－２０,35.608856,139.745444,さくらさくみらい　東品川,認可,70,令和5年10月1日時点,,,
品川区,南品川５丁目,-,品川区南品川５－３－１０,35.611592,139.741692,太陽の子南品川保育園,認可,80,令和5年10月1日時点,,,
品川区,南品川６丁目,-,品川区南品川６－１５－２２,35.609421,139.738259,さんさん森の保育園大井町,認可,99,令和5年10月1日時点,,,
品川区,南品川６丁目,-,品川区南品川６－３－４,35.612082,139.737686,こころしながわおおいまち保育園,認可,97,令和5年10月1日時点,,,
品川区,東大井１丁目,-,品川区東大井１－５－６,35.606354,139.745783,さくらさくみらい品川シーサイド,認可,73,令和5年10月1日時点,,,
品川区,東大井２丁目,-,品川区東大井２－１１－４,35.601445,139.740075,さくらさくみらい　東大井,認可,64,令和5年10月1日時点,,,
品川区,東大井３丁目,-,品川区東大井３－１－１１,35.60413,139.73852,アソシエ東大井公園保育園,認可,69,令和5年10月1日時点,,,
品川区,東大井３丁目,-,品川区東大井３－１８－２,35.600614,139.738533,アンジェリカはまかわ保育園,認可,90,令和5年10月1日時点,,,
品川区,東大井４丁目,-,品川区東大井４－１２－１１,35.605727,139.738758,みらいく東大井園,認可,60,令和5年10月1日時点,,,
品川区,東大井５丁目,-,品川区東大井５－２１－９,35.605055,139.735066,大井町えほん保育園,認可,73,令和5年10月1日時点,,,
品川区,東大井１丁目,-,品川区東大井一丁目３番６号,35.606338,139.744172,こころしながわひがしおおい保育園,認可,90,令和5年10月1日時点,,,
品川区,勝島１丁目,-,品川区勝島１－６－３２,35.596166,139.743656,えがおの森保育園・かつしま,認可,73,令和5年10月1日時点,,,
品川区,勝島１丁目,-,品川区勝島１－６－５,35.597671,139.744406,ポピンズナーサリースクール勝島,認可,60,令和5年10月1日時点,,,
品川区,勝島３丁目,-,品川区勝島３－２－２,35.59298,139.738947,にじいろ保育園勝島,認可,92,令和5年10月1日時点,,,
品川区,大井１丁目,-,品川区南大井１－１６－６,35.607461,139.730236,にじいろ保育園南大井,認可,69,令和5年10月1日時点,,,
品川区,南大井１丁目,-,品川区南大井１－８－２３,35.596351,139.739481,グローバルキッズ立会川園,認可,60,令和5年10月1日時点,,,
品川区,南大井６丁目,-,品川区南大井６－１６－１６,35.59097,139.730197,大空と大地のなーさりぃ大森駅前園,認可,80,令和5年10月1日時点,,,
品川区,南大井６丁目,-,品川区南大井６－２２－７　大森ベルポートＥ館１Ｆ,35.589186,139.732192,アスク南大井保育園,認可,90,令和5年10月1日時点,,,
品川区,南大井６丁目,-,品川区南大井６－２６－２　Ｂ館１Ｆ,35.588164,139.731514,キッズガーデン南大井,認可,90,令和5年10月1日時点,,,
品川区,大井３丁目,-,品川区大井３－１７－１１,35.601706,139.731055,クオリスキッズ大井町保育園,認可,60,令和5年10月1日時点,,,
品川区,大井３丁目,-,品川区大井３－２６－７,35.600728,139.730496,クオリスキッズ大井町第２保育園,認可,60,令和5年10月1日時点,,,
品川区,大井１丁目,-,品川区大井一丁目３１番１号シティタワー大井町１階,35.6055,139.730833,しなおおコスモ保育園,認可,69,令和5年10月1日時点,,,
品川区,西大井４丁目,-,品川区西大井１－４－１,35.59767,139.720499,まなびの森保育園西大井,認可,100,令和5年10月1日時点,,,
品川区,西大井４丁目,-,品川区西大井６－６－２,35.59767,139.720499,グローバルキッズ西大井園,認可,86,令和5年10月1日時点,,,
品川区,西大井４丁目,-,品川区西大井６－７－１,35.59767,139.720499,西大井えほん保育園,認可,80,令和5年10月1日時点,,,
品川区,北品川３丁目,-,品川区北品川５－９－１５,35.620918,139.738379,グローバルキッズ大崎園,認可,60,令和5年10月1日時点,,,
品川区,北品川３丁目,-,品川区北品川６－７－２２,35.620918,139.738379,キッズガーデン北品川,認可,90,令和5年10月1日時点,,,
品川区,上大崎３丁目,-,品川区上大崎３－１３－１４,35.631542,139.718769,ポピンズナーサリースクール上大崎,認可,102,令和5年10月1日時点,,,
品川区,大崎３丁目,-,品川区上大崎３－１４－３５,35.617715,139.723771,ＴＫチルドレンズファーム上大崎校,認可,43,令和5年10月1日時点,,,
品川区,上大崎４丁目,-,品川区上大崎４－５－３７本多電機ビル１・２階,35.628599,139.715569,キッズガーデン品川上大崎,認可,108,令和5年10月1日時点,,,
品川区,東五反田１丁目,-,品川区東五反田１－２－２５,35.627836,139.727223,ほっぺるランド東五反田,認可,60,令和5年10月1日時点,,,
品川区,東五反田１丁目,-,品川区東五反田４－７－２０,35.627278,139.725607,大空と大地のなーさりぃ東五反田園,認可,100,令和5年10月1日時点,,,
品川区,西五反田１丁目,-,品川区西五反田１－２１－８,35.622972,139.723263,まなびの森保育園大崎広小路,認可,73,令和5年10月1日時点,,,
品川区,西五反田２丁目,-,品川区西五反田２－１１－８　学研ビルＭＢ階,35.627337,139.7203,Ｇａｋｋｅｎこども園,認可,76,令和5年10月1日時点,,,
品川区,西五反田３丁目,-,品川区西五反田３－１２－１２　２Ｆ,35.62728,139.714755,不動前えほん保育園,認可,88,令和5年10月1日時点,,,
品川区,西五反田３丁目,-,品川区西五反田３－４－１０　目黒ＭＡＲＣレジデンスタワー２Ｆ,35.629162,139.717786,ポピンズナーサリースクール目黒,認可,76,令和5年10月1日時点,,,
品川区,西五反田３丁目,-,品川区西五反田３－８－８,35.626434,139.717975,ウィズブック保育園西五反田,認可,88,令和5年10月1日時点,,,
品川区,西五反田７丁目,-,品川区西五反田５－６－３８,35.623568,139.719222,こころしながわふどうまえ保育園,認可,97,令和5年10月1日時点,,,
品川区,西五反田７丁目,-,品川区西五反田７－１９－１　２Ｆ,35.623891,139.718502,太陽の子西五反田保育園,認可,60,令和5年10月1日時点,,,
品川区,西五反田８丁目,-,品川区西五反田８－１０－２１,35.619577,139.72032,キッズガーデン品川西五反田,認可,83,令和5年10月1日時点,,,
品川区,西五反田８丁目,-,品川区西五反田８－１０－８,35.619616,139.719522,ポピンズナーサリースクール西五反田,認可,70,令和5年10月1日時点,,,
品川区,西五反田１丁目,-,品川区西五反田一丁目２９番２号吾作ビル,35.624998,139.722115,キッズガーデン五反田駅前,認可,73,令和5年10月1日時点,,,
品川区,大崎２丁目,-,品川区大崎２－１－１　ＴｈｉｎｋＰａｒｋ　Ｐｌａｚａ１階,35.618466,139.727592,ＡＩＡＩ　ＮＵＲＳＥＲＹ　大崎,認可,60,令和5年10月1日時点,,,
品川区,大崎３丁目,-,品川区大崎３－６－３２,35.62044,139.726585,Ｇａｋｋｅｎほいくえん　大崎,認可,80,令和5年10月1日時点,,,
品川区,大崎４丁目,-,品川区大崎４－１－２　ウィン第２五反田ビル２Ｆ,35.622509,139.722933,ベネッセ大崎広小路保育園,認可,88,令和5年10月1日時点,,,
品川区,大崎５丁目,-,品川区大崎５－４－３　小野ビル１階,35.623111,139.725328,にじいろ保育園大崎,認可,60,令和5年10月1日時点,,,
品川区,西品川２丁目,-,品川区西品川２－２２－２,35.612777,139.725378,キッズガーデン西品川,認可,60,令和5年10月1日時点,,,
品川区,戸越５丁目,-,品川区戸越５－１４－２３,35.610557,139.715199,グローバルキッズ戸越園,認可,60,令和5年10月1日時点,,,
品川区,戸越４丁目,-,品川区戸越六丁目１５番５号,35.612722,139.717945,キッズラボ中延園,認可,73,令和5年10月1日時点,,,
品川区,豊町５丁目,-,品川区豊町５－１３－１５,35.605169,139.72007,キッズガーデン品川豊町,認可,83,令和5年10月1日時点,,,
品川区,豊町３丁目,-,品川区豊町三丁目２番１３号,35.608136,139.719369,さんさん森の保育園戸越公園,認可,84,令和5年10月1日時点,,,
品川区,二葉１丁目,-,品川区二葉１－１２－１８,35.606797,139.726801,ポピンズナーサリースクール大井町,認可,60,令和5年10月1日時点,,,
品川区,二葉４丁目,-,品川区二葉４－２－１３,35.602651,139.713816,こころしながわなかのぶ保育園,認可,88,令和5年10月1日時点,,,
品川区,二葉４丁目,-,品川区二葉四丁目３番８号,35.602916,139.714723,はぐはぐキッズ二葉,認可,60,令和5年10月1日時点,,,
品川区,東中延２丁目,-,品川区東中延１－６－２,35.609207,139.713477,モニカ荏原中延園,認可,60,令和5年10月1日時点,,,
品川区,中延４丁目,-,品川区中延２－６－４,35.605055,139.710285,こころしながわえばら保育園,認可,107,令和5年10月1日時点,,,
品川区,中延４丁目,-,品川区中延４－５－７,35.605055,139.710285,グローバルキッズ中延園,認可,57,令和5年10月1日時点,,,
品川区,中延４丁目,-,品川区中延５－２－１,35.605055,139.710285,グローバルキッズ荏原町保育園,認可,90,令和5年10月1日時点,,,
品川区,中延４丁目,-,品川区中延６－１－１９,35.605055,139.710285,このえ中延保育園,認可,70,令和5年10月1日時点,,,
