,,,,,,,,,,,2023年度,昨年
指標名,保育園,,,認可保育所,https://www.fukushi.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/index.html,,,,,認可,644,603
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,,認証A,88,98
年次,2024/2/6取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,,認証B,11,12
URL,右記参照,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,,認定こども園（幼保連携型）,7,7
備考,（2021年度：1073件、2022年度：1080件、2023年度：792件）,,,,,,,,,認定こども園（保育所型）,41,38
,,,,,,,,,,認定こども園（地方裁量型）,0,1
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,データ時点,,,
中央区,日本橋蛎殻町１丁目,-,中央区日本橋蛎殻町１－１６－１１　ＥＤＧＥ日本橋蛎殻町１・２階,35.683098,139.782587,グローバルキッズかきがら園,認可,45,令和5年10月1日時点,,,
中央区,日本橋蛎殻町１丁目,-,中央区日本橋蛎殻町１－２９－９　ネオテック水天宮ビル１・２階,35.683135,139.783942,アイグラン保育園水天宮,認可,90,令和5年10月1日時点,,,
中央区,日本橋蛎殻町１丁目,-,中央区日本橋蛎殻町１－３５－５　セイラン水天宮ビル１・２階・Ｂ１階,35.681745,139.786077,キッズラボ水天宮前園,認可,56,令和5年10月1日時点,,,
中央区,日本橋蛎殻町２丁目,-,中央区日本橋蛎殻町２－１５－５　水天宮ＣＰビル１～４Ｆ,35.684317,139.786891,ＴＨＲＥＥ　ＳＴＡＲ　ＮＵＲＳＥＲＹ蛎殻町園,認可,100,令和5年10月1日時点,,,
中央区,日本橋箱崎町,-,中央区日本橋箱崎町１７ー９　箱崎升喜ビル１・２階,35.680607,139.785087,コビープリスクールはこざき,認可,70,令和5年10月1日時点,,,
中央区,日本橋茅場町２丁目,-,中央区日本橋茅場町２－１６－６,35.678166,139.779924,ほっぺるランド茅場町,認可,62,令和5年10月1日時点,,,
中央区,日本橋３丁目,日八京,中央区日本橋３－１５－１０,35.678738,139.775033,ＥＤＯ日本橋保育園,認可,60,令和5年10月1日時点,,,
中央区,八重洲２丁目,日八京,中央区八重洲2-1-4 八重洲セントラルスクエアB２～B３F,35.679772,139.769811,昭和こども園,認可,65,令和5年10月1日時点,,,
中央区,京橋２丁目,日八京,中央区京橋２－１７－７,35.676195,139.773394,京橋こども園,認可,69,令和5年10月1日時点,,,
中央区,八丁堀４丁目,-,中央区八丁堀４－５－１０,35.673996,139.775865,八丁堀保育園,認可,79,令和5年10月1日時点,,,
