指標名,ナイトライフ施設,,,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,,,
年次,2024/01/31取得,,,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,,,
備考,(2021年度：343件、2022年度：344件、2023年度：514件),,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,業種,ジャンル,電話,営業時間,定休日,キャパシティ,平均利用金額,URL
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-22-12 長島第一ビルB1F,35.656595,139.6957,翠月,CLUB,House ･ Techno ･ Disco ･ Soul ･ Ambient ･ etc.,03-6455-0140,21:00-05:00 ※変動の可能性あり,日,100名,"3,000円～ 目安",https://www.tokyo-club.net/mitsuki/
新宿区,新宿２丁目,-,東京都新宿区新宿2-11-4 ストークビル長崎1F,35.6902973,139.7072716,DRAGON MEN,ミュージックバー,All Genre,03-3341-0606,18:00-03:00 / 金･土 18:00-06:00,無し,200人,"600円～2,000円",https://www.tokyo-club.net/dragon-men/
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-14-8 (O-EASTと同じ建物)5F,35.6586841,139.6956445,TSUTAYA O-Crest,ライブハウス,All Genre,03-3770-1095,18:00前後から ※スケジュールにより変動,不定,200～250名,"2,500円～",https://www.tokyo-club.net/o-crest/
渋谷区,宇田川町１２丁目,-,東京都渋谷区宇田川町12-3 ニュー渋谷コーポラス1F,35.6617771,139.6980776,CLUB VIZEL,CLUB,Allmix ･ HipHop ･ House ･ R&B ･ EDM ･ BlackMusic ･ Reggae ･ etc.,03-6455-3131,20:00-04:30 ※イベントにより変動,無し,約400人,"3,000円～",https://www.tokyo-club.net/vizel/
渋谷区,円山町２丁目,-,東京都渋谷区円山町2-3 6F-5F,35.6584922,139.6953087,TSUTAYA O-nest,ライブハウス,All Genre,03-3462-4420,※スケジュールによる,不定,250名,"2,500円～",https://www.tokyo-club.net/o-nest/
港区,六本木３丁目,六本木,東京都港区六本木3-14-7 アロービルB1F,35.662558,139.7349233,Seven Tokyo,クラブ,Allmix,03-6804-5196,20:00～,(日 ･ 月 ※要事前確認、祝前の場合変更の可能性あり),150名前後,"3,000円",https://www.tokyo-club.net/seven-tokyo/
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-3 梅村ビル5F,35.6948485,139.7041011,ORIZURU,クラブ,House ･ Techno ･ Dub ･ etc.,Closed,"木 21:00-05:00
金･土 21:00-05:00 / 06:00-10:00
※変更の可能性がある為、事前に要確認",日,150人,"3,000円 ※目安",https://www.tokyo-club.net/orizuru/
新宿区,新宿２丁目,-,東京都新宿区新宿2-11-2 CASA VERDE 1F-B1F,35.690086,139.7077713,EAGLE TOKYO BLUE,ラウンジバー,Electro ･ HipHop ･ POPs ･ R&B ･ etc.,03-6876-8450,18:00～,無し,ドリンク700円～ (ノーチャージ),スマホ決済・クレジットカード・QRコード決済利用可,https://www.tokyo-club.net/eagle-tokyo-blue/
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-17-2 トップ美奄B1F,35.6587521,139.6966616,THE WU DJ's bar,バー,Allmix ･ House ･ HipHop ･ POPs ･ Bass ･ R&B ･ Trap ･ A-POP ･ etc.,不明,20:00～,,20名未満 (18席),"2,000円～",https://www.tokyo-club.net/the-wu/
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-31 TRUNK HOTEL内1F,35.6641277,139.7037846,TRUNK (LOUNGE),バー＆カフェ (ホテル),HipHop ･ House ･ Chill out ･ Live ･ R&B ･ Disco ･ Acoustic,03-5766-3210 (※ホテル),09:00-23:00 / 金･土 09:00-24:00,無し,80席,"1,000円 (ノーチャージ)",https://www.tokyo-club.net/trunk-lounge/
