,,,,,,,
指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2024/01/12取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,(2021年度：912件、2022年度：959件、2023年度：1422件),,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
千代田区,外神田5丁目,-,東京都千代田区外神田5-1-10 千住ビル B1-4F,1/3rd Fitness(ワンサード フィットネス) 秋葉原店,スポーツクラブ/フィットネスクラブ,35.7034447,139.7723765
千代田区,内幸町1丁目,-,東京都千代田区内幸町1-1-6 NTT日比谷ビル B1F,ARスポーツセンター HADO ARENA(ハドーアリーナ) 日比谷店,スポーツクラブ/フィットネスクラブ,35.6713018,139.7573579
千代田区,神田花岡町1丁目,-,東京都千代田区神田花岡町1-1 ヨドバシカメラマルチメディアAkiba 9F,Akiba Golf Studio(アキバゴルフスタジオ),ゴルフ練習場,35.6989753,139.7746922
千代田区,三崎町2丁目,-,東京都千代田区三崎町2-6-6 光建ビル 3-5F,格闘技ジム アカデミア・アーザ,スポーツクラブ/フィットネスクラブ,35.7002316,139.7538779
千代田区,内幸町1丁目,-,東京都千代田区内幸町1-7-1 日比谷OKUROJI G11 GINZA SIDE,finetrack HIBIYA HUT(ファイントラック ヒビヤ ハット),スポーツ用品/スポーツウェア,35.6705812,139.7593551
千代田区,神田小川町2丁目,-,東京都千代田区神田小川町2-4-6 OUTDOOR PLAZA 5F,RDC BASE(アールディーシー ベース) 神田小川町店,スポーツ施設/運動公園,35.6946176,139.7643204
千代田区,富士見2丁目,-,東京都千代田区富士見2-4-9 千代田富士見スカイマンション 209,Y personal training gym(ワイ パーソナル トレーニング ジム) ワイジム,スポーツクラブ/フィットネスクラブ,35.6998004,139.7459431
千代田区,神田三崎町2丁目,-,東京都千代田区神田三崎町2-17-9 ACN水道橋駅前ビル B1F,ACN GOLF RANGE(エーシーエヌ ゴルフ レンジ) 水道橋,ゴルフ練習場,35.7013581,139.7533788
千代田区,有楽町1丁目,大丸有,東京都千代田区有楽町1-7-1 有楽町電気ビル 1F,BEAMS&WINDS(ビームス アンド ウインズ) 有楽町,その他洋服/洋品,35.674216,139.7613345
千代田区,有楽町1丁目,大丸有,東京都千代田区有楽町1-12-1 新有楽町ビルB2F,ビームス&ウィンズ ステーション (ゴルフ&ランニング),スポーツ用品/スポーツウェア,35.6755604,139.7620932
千代田区,神田小川町3丁目,-,東京都千代田区神田小川町3-6-6 大栄堂ビル1-2F,Goldwin(ゴールドウィン) THE NORTH FACE神田店,スポーツ用品/スポーツウェア,35.6952575,139.7621531
千代田区,有楽町2丁目,大丸有,東京都千代田区有楽町2-10-1 東京交通会館 1F,STEPGOLF PREMIUM YURAKUCHO(ステップゴルフ プレミアム ユウラクチョウ),ゴルフ練習場,35.6748902,139.7643308
千代田区,六番町1丁目,-,東京都千代田区六番町1-7,MTX ACADEMY(アカデミー),スポーツクラブ/フィットネスクラブ,35.6877657,139.7348063
千代田区,麹町2丁目,-,東京都千代田区麹町2-8-5 麹町285ビル B1F,キャピタルゴルフレンジ,ゴルフ練習場,35.6850513,139.7401948
千代田区,神田岩本町1丁目,-,東京都千代田区神田岩本町1-1 岩本町ビル 3F,Bodyke(ボディーク) 秋葉原本店,スポーツクラブ/フィットネスクラブ,35.6961509,139.7750724
千代田区,丸の内1丁目,大丸有,東京都千代田区丸の内1-9-1 大丸東京店 11F ゴルフウェア・ゴルフギア売場,FUSO DREAM(フソウ ドリーム)工房 大丸東京店,ゴルフショップ,35.6815527,139.7689401
千代田区,神田神保町2丁目,-,東京都千代田区神田神保町2-4 1F,AirFly TOKYO(エアフライ トウキョウ),スポーツ用品/スポーツウェア,35.6962366,139.7561437
千代田区,九段南4丁目,-,東京都千代田区九段南4-7-22 メゾンドシャルー104号,WISE 1 GOLF SQUARE(ワイズワン ゴルフ スクエア) 市ヶ谷店,スポーツスクール/体験,35.6911672,139.7392169
千代田区,神田須田町2丁目,-,東京都千代田区神田須田町2-1-3 BP秋葉原ビル 2F,パーソナルトレーニングジムREAL WORKOUT(リアルワークアウト) 秋葉原・神田店,スポーツクラブ/フィットネスクラブ,35.6958477,139.7737344
千代田区,平河町2丁目,-,東京都千代田区平河町2-5-5 全国旅館会館ビル B1F,永田町パーソナルジムObito(オビト),スポーツクラブ/フィットネスクラブ,35.67993,139.7392827
千代田区,神田神保町1丁目,-,東京都千代田区神田神保町1-103 東京パークタワー1F,LoungeRange(ラウンジレンジ) 神保町,ゴルフ練習場,35.6942062,139.7592182
千代田区,鍛冶町2丁目,-,東京都千代田区鍛冶町2-9-4 日宝神田イーストII 5F,Apple GYM(アップルジム) 神田店,スポーツクラブ/フィットネスクラブ,35.693044,139.7719072
