指標名,レストラン,,,,,,,
出典,hotpepper,,,,,,,
年次,2024/01/19取得,,,,,,,
URL,http://webservice.recruit.co.jp/hotpepper/gourmet/v1,,,,,,,
備考,(2021年度：35615件、2022年度：35814件、2023年度：15927件),,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,レストラン名,ジャンル,URL
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町２－３－５　aune有楽町３Ｆ,35.6732623,139.7615889,楽蔵 うたげ 銀座 有楽町駅前店,居酒屋,https://www.hotpepper.jp/strJ000962885/?vos=nhppalsa000016
千代田区,内神田３丁目,-,東京都千代田区内神田３－１２－１０　神田西口ＮＳビル６Ｆ,35.69115358,139.7701947,肉と日本酒 いぶり 神田西口店,居酒屋,https://www.hotpepper.jp/strJ003599898/?vos=nhppalsa000016
千代田区,有楽町,-,東京都千代田区有楽町２‐3‐6　2F,35.67318676,139.7617578,まぐろ奉行とかに代官 有楽町店,居酒屋,https://www.hotpepper.jp/strJ003694036/?vos=nhppalsa000016
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町１-15 川初ビル７階,35.69784572,139.7744585,食彩の房 秋葉原店,居酒屋,https://www.hotpepper.jp/strJ003533125/?vos=nhppalsa000016
千代田区,内神田３丁目,-,東京都千代田区内神田３-12-4,35.69125995,139.7699661,九州炭火酒場 ばってん 神田店,居酒屋,https://www.hotpepper.jp/strJ003599251/?vos=nhppalsa000016
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町１－１５ 川初ビル１０Ｆ,35.69772156,139.774499,博多焼き鳥 野菜巻き 半蔵 秋葉原駅前店,居酒屋,https://www.hotpepper.jp/strJ001184413/?vos=nhppalsa000016
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町１－１６　ダイニングスクエア秋葉原ビル３F,35.69796376,139.7746118,楽蔵 RAKUZO 秋葉原駅前店,居酒屋,https://www.hotpepper.jp/strJ000028639/?vos=nhppalsa000016
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-2-9　TS日比谷ビル3階,35.67261928,139.7600627,園庭京 有楽町本店,居酒屋,https://www.hotpepper.jp/strJ003451204/?vos=nhppalsa000016
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町２-12-11,35.69310756,139.7716184,焼肉 宴会 焼肉酒場 2919 神田駅前,焼肉・ホルモン,https://www.hotpepper.jp/strJ001276861/?vos=nhppalsa000016
千代田区,飯田橋４丁目,-,東京都千代田区飯田橋４-8-2 第4山商ビル4F,35.70122846,139.7460885,完全個室居酒屋 八鶴 飯田橋店,居酒屋,https://www.hotpepper.jp/strJ003560454/?vos=nhppalsa000016
千代田区,神田三崎町２丁目,-,東京都千代田区神田三崎町２－１８－９　ISM水道橋　１F,35.70134502,139.7528468,大衆IZAKAYAエイト 水道橋店,居酒屋,https://www.hotpepper.jp/strJ000244964/?vos=nhppalsa000016
千代田区,神田三崎町３丁目,-,東京都千代田区神田三崎町３-3-17　ABリバービル2F,35.70070508,139.7522691,完全個室ダイニング サディの木 水道橋店,居酒屋,https://www.hotpepper.jp/strJ001128456/?vos=nhppalsa000016
千代田区,神田司町２丁目,-,東京都千代田区神田司町２-19司町ビル１Ｆ,35.6931602,139.7666099,上海台所 神田店,中華,https://www.hotpepper.jp/strJ000741514/?vos=nhppalsa000016
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１－６－１　第二日比谷ビル７階,35.67384137,139.7605206,完全個室居酒屋 ともしび 有楽町本店,居酒屋,https://www.hotpepper.jp/strJ003324919/?vos=nhppalsa000016
千代田区,内神田,-,東京都千代田区内神田３‐１４‐７　内神田３‐１４ビル４Ｆ,35.6918271,139.7699152,ゴルフバー59 フィフティナイン,バー・カクテル,https://www.hotpepper.jp/strJ000999055/?vos=nhppalsa000016
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町１-２１-１　ChiyodaTerrace８階 E2,35.6977688,139.7751981,和牛＆海鮮居酒屋 炭焼き海鮮料理×黒毛和牛 焼牛-やきうし-離れ 秋葉原,居酒屋,https://www.hotpepper.jp/strJ003474596/?vos=nhppalsa000016
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台２-10-6お茶の水aビル１階,35.69888921,139.7641101,御茶ノ水 和食 天 TEN,居酒屋,https://www.hotpepper.jp/strJ003497867/?vos=nhppalsa000016
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町２-3-1 福石ビル３F,35.67303259,139.7612506,にくと魚 有楽町日比谷店,居酒屋,https://www.hotpepper.jp/strJ003560411/?vos=nhppalsa000016
千代田区,神田三崎町２丁目,-,東京都千代田区神田三崎町２丁目10-3　TDSビル1F,35.701337,139.7540353,それゆけ!鶏ヤロー! 水道橋店,居酒屋,https://www.hotpepper.jp/strJ001280256/?vos=nhppalsa000016
千代田区,神田小川町３丁目,-,東京都千代田区神田小川町３-14-1　小川町平木ビル2F,35.6963669,139.7608091,焼肉あきら 漸,焼肉・ホルモン,https://www.hotpepper.jp/strJ003532002/?vos=nhppalsa000016
千代田区,飯田橋４丁目,-,東京都千代田区飯田橋４-7-8,35.70095377,139.7462085,野菜串巻き&肉寿司 全席個室 飯田橋邸,居酒屋,https://www.hotpepper.jp/strJ003599712/?vos=nhppalsa000016
千代田区,鍛冶町１丁目,-,東京都千代田区鍛冶町１-７-９　大朋ビル５階,35.69070506,139.7717457,楽蔵 RAKUZO 神田駅前店,居酒屋,https://www.hotpepper.jp/strJ000635930/?vos=nhppalsa000016
千代田区,内神田３丁目,-,東京都千代田区内神田３丁目２１－８　神田北口合同ビル４階－B,35.69269592,139.7706848,2000円 食べ放題飲み放題 居酒屋 おすすめ屋 神田秋葉原店,居酒屋,https://www.hotpepper.jp/strJ003582082/?vos=nhppalsa000016
