指標名,スタートアップ企業,,,,,,,,,,,,
出典,IINITIAL,,,,,,,,,,,,
年次,2024/02/06取得,,,,,,,,,,,,
URL,https://initial.inc/companies,,,,,,,,,,,,
備考,(2021年度：8785件、2022年度：-件、2023年度：11361件),,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,会社名,代表者,従業員数,総調達額,URL,設立,タイプ,業種
千代田区,一ツ橋１丁目,-,東京都千代田区一ツ橋1-1-1,35.6909195,139.7574614,株式会社パソナ,上田　宗央,"1,111",,http://www.pasona.co.jp/,1989/9/27,IPO / Exit企業,ビジネスサービス
千代田区,一ツ橋１丁目,-,東京都千代田区一ツ橋1-1-1 パレスサイドビル5F,35.6909195,139.7574614,株式会社MyAnimeList,溝口　敦,,"911,000",https://myanimelist.net/,2020/7/10,未公開企業,ビジネスサービス
千代田区,一ツ橋１丁目,-,東京都千代田区一ツ橋1-2-2 竹橋ビル16階,35.6921132,139.7565031,株式会社ノンピ,柿沼　寛之、　上形　秀一郎,174,"856,904",https://www.nonpi.com/,2003/3/3,未公開企業,消費者向けサービス・販売
千代田区,一ツ橋１丁目,-,東京都千代田区一ツ橋1-1-1 パレスサイドビル8F,35.6909195,139.7574614,ラクラス株式会社,村田　一,147,"1,415,097",https://www.lacras.co.jp/,2005/5/20,未公開企業,コンピューター - ITサービス
千代田区,一ツ橋１丁目,-,東京都千代田区一ツ橋1-1-1 パレスサイドビル5F,35.6909195,139.7574614,株式会社フライヤー,大賀　康史,55,"974,572",https://www.flierinc.com/,2013/6/4,未公開企業,消費者向けサービス・販売
千代田区,一ツ橋１丁目,-,東京都千代田区一ツ橋1-1-1パレスサイドビル5F 株式会社メディアドゥ内,35.6909195,139.7574614,株式会社マンガ新聞,角野　信彦,,"11,380",http://www.manga-news.jp/,2015/3/30,未公開企業,消費者向けサービス・販売
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋2-6-12 上村ビル,35.6947909,139.7570321,株式会社hon.jp,塩崎　泰三,,"3,000",http://hon.jp/,2008/11/1,未公開企業,コンピューター - ITサービス
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋2-6-3 一ツ橋ビル2F,35.6945793,139.7563034,ビーパートナーズ株式会社,紀平　伸太郎,70,"10,000",http://www.bee-partners.co.jp/,2009/12/7,未公開企業,コンピューター - ソフトウェア
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋2-5-5 岩波書店一ツ橋ビル11F,35.6946764,139.7576553,株式会社ラネクシー,二瓶　孝二、　小瀬　充,84,"1,085,000",http://www.runexy.co.jp/,1995/11/1,未公開企業,コンピューター - ソフトウェア
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋2丁目5-5 岩波書店一ツ橋ビル 11階,35.6946764,139.7576553,株式会社エディックワークス,栗田　浩樹,34,"60,000",http://www.edicworks.com/,2006/10/10,未公開企業,通信・ネットワーキング
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋2-5-5 岩波書店一ツ橋ビル14F,35.6946764,139.7576553,株式会社ミックスネットワーク,吉川　隆二,,273500,http://www.micsnet.co.jp/,35649,未公開企業,コンピューター - ソフトウェア
千代田区,一番町,-,東京都千代田区一番町8,35.687164,139.740357,そーせいグループ株式会社,田村　眞一,23,,http://www.sosei.com/,1990/6/22,IPO / Exit企業,バイオテクノロジー
千代田区,一番町,-,東京都千代田区一番町6 一番町スクエア5F,35.6872886,139.7413538,WellsTech株式会社,平山　翔大,11,"55,200",https://gif-techs.wellstech.jp/,2020/11/6,未公開企業,コンピューター - ITサービス
千代田区,一番町,-,東京都千代田区一番町19 全国農業共済会館,35.6860106,139.7408169,株式会社JET,名塚　元臣,13,"50,000",https://jet-e.jp/index.html,2013/8/6,未公開企業,バイオテクノロジー
千代田区,一番町,-,東京都千代田区一番町6 相模屋本社ビル7F,35.6876085,139.7418314,株式会社クロスラボ,安井　透,,"4,500",http://xroslab.com/,2011/11/1,未公開企業,コンピューター - ソフトウェア
千代田区,一番町,-,東京都千代田区一番町6 相模屋本社ビル7F,35.6876085,139.7418314,Karydo TherapeutiX株式会社,佐藤　匠徳,,"227,000",https://karydo-tx.com/,2015/10/15,未公開企業,医療・ヘルスケア ICT
千代田区,一番町,-,東京都千代田区一番町8 住友不動産一番町ビル8F,35.6871692,139.7403345,e-Janネットワークス株式会社,坂本　史郎,114,"45,000",http://www.e-jan.co.jp/,2000/3/6,未公開企業,コンピューター - ITサービス
千代田区,一番町,-,東京都千代田区一番町6 相模屋本社ビル7F,35.6876085,139.7418314,モード・フィルム株式会社,若山　泰親,,"7,000",http://www.modefilms.co.jp,2011/12/5,未公開企業,ビジネスサービス
千代田区,一番町,-,東京都千代田区一番町6 相模屋本社ビル7F,35.6876085,139.7418314,Karydo TherapeutiX株式会社,佐藤　匠徳,,"227,000",https://karydo-tx.com/,2015/10/15,未公開企業,医療・ヘルスケア ICT
千代田区,一番町,-,東京都千代田区一番町6 相模屋本社ビル 7F,35.6876085,139.7418314,AICRO株式会社,山口　太一、　西畑　俊樹,5,,https://www.aicro.jp/,2021/8/2,未公開企業,医療・ヘルスケア
千代田区,一番町,-,東京都千代田区一番町18 川喜多メモリアルビル8F,35.6885702,139.7423036,株式会社デジタルアセットマーケッツ,西本　一也,15,"3,885,840",https://corp.digiasset.co.jp/,2018/8/1,未公開企業,金融・保険・不動産
千代田区,一番町,-,東京都千代田区一番町8 住友不動産一番町ビル7階,35.6871692,139.7403345,READYFOR株式会社,米良 はるか,166,"3,338,878",https://corp.readyfor.jp/,2014/7/2,未公開企業,コンピューター - ITサービス
千代田区,一番町,-,東京都千代田区一番町6 相模屋本社ビル7階713号室,35.6876085,139.7418314,バイオコーク技研株式会社,上杉　浩之,2,"258,400",http://www.biocokelab.com/,2006/3/2,未公開企業,産業・エネルギー
千代田区,一番町,-,東京都千代田区一番町6相模屋本社ビル7F 一番町 インキュベーションセンター,35.6875891,139.741854,株式会社ゴーレム,野村　大輔,5,"41,000",https://www.about.gorlem.com/,2022/1/4,未公開企業,産業・エネルギー ICT
千代田区,一番町,-,東京都千代田区一番町6 相模屋本社ビル 7F一番町インキュベーションセンター内,35.6875891,139.741854,DAC-NOTE株式会社,岡辺　スバル雅之,1,"35,500",https://dac-note.jp/,2022/3/30,未公開企業,コンピューター - ITサービス
千代田区,一番町１０丁目,-,東京都千代田区一番町10-2,35.6866505,139.7399354,株式会社理研免疫再生医学,徳岡　治衛,7,"325,048",http://www.riken-irm.com/,2014/10/23,未公開企業,医療・ヘルスケア
千代田区,一番町１０丁目,-,東京都千代田区一番町10-8 一番町ウエストビル5階,35.6865864,139.7397757,合同会社ユビキタスライフスタイル研究所,萩原　高行,1,"9,000",https://www.ulslab.com/,2013/3/28,未公開企業,コンピューター - ITサービス
千代田区,一番町１０丁目,-,東京都千代田区一番町10-10 相模屋第3ビル4階,35.6864445,139.7395562,株式会社イージス・ソリューションズ,岡田　有弘,0,29375,http://www.ezis.co.jp/,38770,未公開企業,半導体/その他電子部品・製品
千代田区,一番町１０丁目,-,東京都千代田区一番町10-10 相模屋第3ビル4階,35.6864445,139.7395562,株式会社イージス・ソリューションズ,岡田　有弘,0,29375,http://www.ezis.co.jp/,38770,未公開企業,半導体/その他電子部品・製品
千代田区,一番町１３丁目,-,東京都千代田区一番町13-6-1503,35.6866782,139.740723,株式会社イクス-ビジネスプロデューサーズ,亀山　明,,"23,000",http://ex-b.jp,1998/1/1,未公開企業,ビジネスサービス
千代田区,一番町１６丁目,-,東京都千代田区一番町16-1 共同ビル一番町4F,35.6882184,139.7416251,株式会社FOLIO,甲斐　真一郎,91,"15,200,026",https://corp.folio-sec.com/,2015/12/10,未公開企業,コンピューター - ソフトウェア
千代田区,一番町１６丁目,-,東京都千代田区一番町16-1 共同ビル一番町4F,35.6882184,139.7416251,株式会社FOLIOホールディングス,甲斐　真一郎,3,"6,724,015",https://corp.folio-sec.com/,2019/4/1,未公開企業,金融・保険・不動産 ICT
千代田区,一番町１７丁目,-,東京都千代田区一番町17-2,35.686003,139.7403486,Rekoo Japan株式会社,劉　勇,6,"20,100",http://www.rekoo.co.jp/,2009/10/27,未公開企業,コンピューター - ソフトウェア
千代田区,一番町１７丁目,-,102-0082　東京都千代田区一番町17-6,35.6862204,139.7404883,株式会社メガフュージョン,進藤　晶弘,73,,http://www.megachips.co.jp/index.html,,IPO / Exit企業,
千代田区,一番町１７丁目,-,東京都千代田区一番町17-6 一番町MSビル1F,35.6862204,139.7404883,mixtape合同会社,多田　雅斗,3,600,https://form.run/,2016/1/4,未公開企業,コンピューター - ソフトウェア
千代田区,一番町１７丁目,-,東京都千代田区一番町17-6 一番町MSビル2Ｆ,35.6862204,139.7404883,株式会社ベーシック,秋山　勝,153,"2,511,227",https://basicinc.jp/,2004/3/18,未公開企業,コンピューター - ソフトウェア
千代田区,一番町１７丁目,-,東京都千代田区一番町17-6 MSビル1F 株式会社ベーシック内,35.6862191,139.7404652,株式会社フルセイル,有賀　之和,10,"10,000",http://fsail.jp/,2014/2/20,未公開企業,コンピューター - ソフトウェア
千代田区,一番町２２丁目,-,東京都千代田区一番町22-3,35.6885385,139.7401776,株式会社DoctorPlus,西野　輝泰,0,"10,000",http://www.doctorplus.jp/,2007/6/1,未公開企業,医療・ヘルスケア
千代田区,一番町２２丁目,-,東京都千代田区一番町22-3,35.6885385,139.7401776,株式会社Cardio Flow Design,西野　輝泰,8,,http://cfd.life/ja/,2015/8/1,未公開企業,医療・ヘルスケア
千代田区,一番町２２丁目,-,東京都千代田区一番町22-3,35.6885385,139.7401776,株式会社アンチキャンサーテクノロジズ,中山　敬一,,,http://anticancer.jp/,2023/9/1,未公開企業,医療・ヘルスケア
千代田区,一番町２丁目,-,東京都千代田区一番町2-2 一番町第二TGビル,35.6884222,139.7443064,株式会社TOLOT,末松　亜斗夢,21,"841,968",http://tolot.com/,1995/10/26,未公開企業,コンピューター - ITサービス
千代田区,一番町２丁目,-,東京都千代田区一番町2-2 一番町第二TGビル4階,35.6884222,139.7443064,株式会社アトム,末松　弥奈子,34,"8,000",http://www.atom.co.jp/,2012/6/15,未公開企業,コンピューター - ソフトウェア
千代田区,一番町２丁目,-,東京都千代田区一番町2-2 一番町第二TGビル2F,35.6884222,139.7443064,株式会社ジャパンタイムズキューブ,末松　弥奈子,,"10,000",https://www.service.comfacts.info/,2017/1/4,未公開企業,コンピューター - ITサービス
千代田区,一番町４丁目,-,東京都千代田区一番町4-5,35.6882121,139.7432986,ピックハイブ株式会社,永冨　泰高、　白砂　晃,2,"120,195",https://uxent.com/,2014/7/22,未公開企業,コンピューター - ソフトウェア
千代田区,一番町４丁目,-,東京都千代田区一番町4-6 一番町中央ビル,35.6884133,139.7434529,株式会社トレードワークス,浅見　勝弘,69,,https://www.tworks.co.jp/,1999/1/8,IPO / Exit企業,コンピューター - ITサービス
千代田区,一番町４丁目,-,東京都千代田区一番町4-6 一番町中央ビル2F,35.6884133,139.7434529,イグナイトアイ株式会社,吉田　崇,,"10,000",https://www.igniteeye.com/,2013/5/1,未公開企業,コンピューター - ソフトウェア
千代田区,一番町４丁目,-,東京都千代田区一番町4-6 一番町中央ビル 2F,35.6884133,139.7434529,playground株式会社,伊藤　圭史,45,"102,000",https://playground.live/,2017/6/1,未公開企業,コンピューター - ITサービス
千代田区,一番町４丁目,-,東京都千代田区一番町4-6 一番町中央ビル 2F,35.6884133,139.7434529,playground株式会社,伊藤　圭史,45,"102,000",https://playground.live/,2017/6/1,未公開企業,コンピューター - ITサービス
千代田区,一番町７丁目,-,東京都千代田区一番町7-1 一番町ビルヂング6階,35.6874612,139.7426867,株式会社UniBis,丸山　裕,2,"27,500",https://unibis.jp/,2019/7/1,未公開企業,コンピューター - ITサービス
千代田区,一番町９丁目,-,東京都千代田区一番町9-5,35.6873077,139.7428693,リテラス・メディカ株式会社,澁谷　信雄,0,"31,000",,2011/6/30,未公開企業,医療・ヘルスケア ICT
渋谷区,宇田川町１４丁目,-,東京都渋谷区宇田川町14-13 宇田川町ビルディング7F,35.662154,139.6982571,カエルム株式会社,戸川　貴詞,34,"10,000",http://caelum-jp.com/,2001/12/10,未公開企業,ビジネスサービス
渋谷区,宇田川町１４丁目,-,東京都渋谷区宇田川町14-13 宇田川町ビルディング7F,35.662154,139.6982571,カエルム株式会社,戸川　貴詞,34,"10,000",http://caelum-jp.com/,2001/12/10,未公開企業,ビジネスサービス
渋谷区,宇田川町１４丁目,-,東京都渋谷区宇田川町14-13 宇田川町ビルディング5階,35.662154,139.6982571,株式会社スムーズ,小泉　拓,28,"1,235,000",https://corp.smooth.jp/,2019/5/10,未公開企業,金融・保険・不動産
